case_name,legacy_reg_column,new_svd_score,pinv_score,old_ridge_score,old_fast_score,old_fast_denominator,new_pinv_relative_error,old_ridge_pinv_relative_error,old_fast_pinv_relative_error,new_effective_rank,new_status,new_finite_flag,old_ridge_finite_flag,old_fast_finite_flag,pass_flag,phase_factor
well_conditioned,1e-10,19.3310667267985,19.3310667267985,19.3310667247285,19.3310667247285,1.000000000216,5.51347796116507e-16,1.07084423005136e-10,1.07084423005136e-10,2,OK,1,1,1,1,1
near_rank_deficient,1e-10,19.331851380975,19.3294129682819,11.0144819490438,11.0144684252598,2.00000016548074e-10,0.000126150374932484,0.430169867697599,0.430170567345541,2,OK,1,1,1,1,1
exact_duplicate,1e-10,11.0144819495945,11.0144819495945,11.0144819490438,11.0144773070433,2.00000016548074e-10,3.22549321435066e-16,4.99996605129354e-11,4.21495200086447e-07,1,RANK_DEFICIENT,1,1,1,1,1
scale_1e-8,1e-10,19.3310667267985,19.3310667267985,2.10547197471491e-05,2.10547197471491e-05,1.000002160001e-20,7.3513039482201e-16,0.99999891083508,0.99999891083508,2,OK,1,1,1,1,1
scale_1,1e-10,19.3310667267985,19.3310667267985,19.3310667247285,19.3310667247285,1.000000000216,5.51347796116507e-16,1.07084423005136e-10,1.07084423005136e-10,2,OK,1,1,1,1,1
scale_1e8,1e-10,19.3310667267985,19.3310667267985,19.3310667267985,19.3310667267985,1e+32,3.67565197411005e-16,3.67565197411005e-16,5.51347796116508e-16,2,OK,1,1,1,1,1
