method_id,method_class,subset_id,elevation_mask,azimuth_mask,I_e,I_a,B_el,B_az,B_out,physical_subset_hash,alias_group_id,alias_group_size,is_duplicate_physical_method,primary_label,comparison_independence_status,stage7_1_stable_code_identity_hash
FULL_PARENT_5X5,FULL_PARENT,RECT_E31_A31,31,31,1;2;3;4;5,1;2;3;4;5,5,5,25,af8ea5f51120e480abdfe3d837797f33548a9adad861319ead5a928cec3dfed9,PHYSICAL_SUBSET_ALIAS_01,1,0,FULL_PARENT_5X5,DISTINCT_PHYSICAL_SUBSET,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
STAGE6_CENTER_3X3,FIXED_RECTANGLE,RECT_E14_A14,14,14,2;3;4,2;3;4,3,3,9,c6ba821a1ac8b8f7487b9b0ea053961146a40cde6c208917389bac08832ec26a,PHYSICAL_SUBSET_ALIAS_02,2,1,FIXED_RECT_3X3,IDENTICAL_PHYSICAL_SUBSET_NOT_INDEPENDENT_METHOD,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
FIXED_AZ_1X3,FIXED_RECTANGLE,RECT_E04_A14,4,14,3,2;3;4,1,3,3,20a4f85d667314d1ffe1919025389568770e9d64e0a6e1cb7b32c6caec61d11e,PHYSICAL_SUBSET_ALIAS_03,1,0,FIXED_AZ_1X3,DISTINCT_PHYSICAL_SUBSET,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
FIXED_EL_3X1,FIXED_RECTANGLE,RECT_E14_A04,14,4,2;3;4,3,3,1,3,8fd3c55f27014296f6517e758d39cca0e399ed28fa0a6c844af4404e704bd552,PHYSICAL_SUBSET_ALIAS_04,1,0,FIXED_EL_3X1,DISTINCT_PHYSICAL_SUBSET,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
FIXED_RECT_3X3,FIXED_RECTANGLE,RECT_E14_A14,14,14,2;3;4,2;3;4,3,3,9,c6ba821a1ac8b8f7487b9b0ea053961146a40cde6c208917389bac08832ec26a,PHYSICAL_SUBSET_ALIAS_02,2,1,FIXED_RECT_3X3,IDENTICAL_PHYSICAL_SUBSET_NOT_INDEPENDENT_METHOD,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
FIXED_RECT_3X5,FIXED_RECTANGLE,RECT_E14_A31,14,31,2;3;4,1;2;3;4;5,3,5,15,1b509b566b2a1b13d677be460f2f7fcf69dace0ae7b30c91117974e991b24062,PHYSICAL_SUBSET_ALIAS_05,2,1,FIXED_RECT_3X5,IDENTICAL_PHYSICAL_SUBSET_NOT_INDEPENDENT_METHOD,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
FIXED_RECT_5X3,FIXED_RECTANGLE,RECT_E31_A14,31,14,1;2;3;4;5,2;3;4,5,3,15,57509e7e986a06f3ca75f1271145e818667ac29366d1217db558199238561ac3,PHYSICAL_SUBSET_ALIAS_06,1,0,FIXED_RECT_5X3,DISTINCT_PHYSICAL_SUBSET,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
EXACT_ETA_080,EXACT,RECT_E14_A31,14,31,2;3;4,1;2;3;4;5,3,5,15,1b509b566b2a1b13d677be460f2f7fcf69dace0ae7b30c91117974e991b24062,PHYSICAL_SUBSET_ALIAS_05,2,1,FIXED_RECT_3X5,IDENTICAL_PHYSICAL_SUBSET_NOT_INDEPENDENT_METHOD,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
GREEDY_ETA_080,GREEDY,RECT_E28_A31,28,31,3;4;5,1;2;3;4;5,3,5,15,733d7b6492da9fc4ce6c936cafe61473086ce9e67eb3b14ab691859377acc1b0,PHYSICAL_SUBSET_ALIAS_07,1,0,GREEDY_ETA_080,DISTINCT_PHYSICAL_SUBSET,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
