paired_group_id,paired_group_index,scenario_id,element_snr_db,trial_index,trial_seed,method_id,subset_id,target1_az_deg,target1_el_deg,target2_az_deg,target2_el_deg,realized_element_snr_db,historical_registered_domain_pass,tolerant_registered_domain_pass,boundary_numeric_disagreement_flag,domain_tolerance_deg,edge_diagnostic_domain_pass,oracle_k_success,azimuth_error_deg,elevation_error_deg,pair_error_deg,unconditional_penalized_error,wrong_local_peak,converged,normalized_score,normalized_score_gap_to_full_parent,score_calls,SVD_calls,iterations,multi_start_count,status,diagnostic_status,selection_effect_status,method_varying_objects,common_trial_identity_hash,stage7_1_stable_code_identity_hash
EDGE_D0318_SNR_+00_DB,1,D0318,0,1,20260719,FIXED_RECT_3X5,RECT_E14_A31,7.6,10,7.6,10.4,-0.128212845206673,1,1,0,7.105427357601e-15,1,1,8.88178419700125e-16,0,8.88178419700125e-16,8.88178419700125e-16,0,1,0.995605788350486,-0.00373896228269466,244,244,3,1,ORACLE_DML_CONVERGED,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,W_I;C_I;T_I;G_BANK,93ef3ec38da57971e04765ce0a4928d36f144eca677b7848b45b82b1e7e67e13,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
EDGE_D0318_SNR_+00_DB,1,D0318,0,1,20260719,GREEDY_ETA_080,RECT_E28_A31,7.6,10,7.6,10.4,-0.128212845206673,1,1,0,7.105427357601e-15,1,1,8.88178419700125e-16,0,8.88178419700125e-16,8.88178419700125e-16,0,1,0.995399140619234,-0.00353231455144287,244,244,3,1,ORACLE_DML_CONVERGED,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,W_I;C_I;T_I;G_BANK,93ef3ec38da57971e04765ce0a4928d36f144eca677b7848b45b82b1e7e67e13,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
EDGE_D0318_SNR_+00_DB,1,D0318,0,1,20260719,FULL_PARENT_5X5,RECT_E31_A31,7.6,10,7.6,10.4,-0.128212845206673,1,1,0,7.105427357601e-15,1,1,8.88178419700125e-16,0,8.88178419700125e-16,8.88178419700125e-16,0,1,0.991866826067792,0,244,244,3,1,ORACLE_DML_CONVERGED,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,W_I;C_I;T_I;G_BANK,93ef3ec38da57971e04765ce0a4928d36f144eca677b7848b45b82b1e7e67e13,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
EDGE_D0318_SNR_+00_DB,1,D0318,0,2,20260720,FIXED_RECT_3X5,RECT_E14_A31,7.6,10,7.6,10.4,0.0214592730212338,1,1,0,7.105427357601e-15,1,0,8.88178419700125e-16,0.212132034355965,0.212132034355965,0.632455532033676,0,1,0.995625635385463,-0.0043711484485357,202,202,2,1,ORACLE_DML_CONVERGED,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,W_I;C_I;T_I;G_BANK,14c244fbd8f2f908cad4cbe4d9ee648aa3f8b02c8de616c8424341f8194f428e,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
EDGE_D0318_SNR_+00_DB,1,D0318,0,2,20260720,GREEDY_ETA_080,RECT_E28_A31,7.6,10,7.6,10.4,0.0214592730212338,1,1,0,7.105427357601e-15,1,0,8.88178419700125e-16,0.212132034355965,0.212132034355965,0.632455532033676,0,1,0.99565900033271,-0.00440451339578207,202,202,2,1,ORACLE_DML_CONVERGED,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,W_I;C_I;T_I;G_BANK,14c244fbd8f2f908cad4cbe4d9ee648aa3f8b02c8de616c8424341f8194f428e,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
EDGE_D0318_SNR_+00_DB,1,D0318,0,2,20260720,FULL_PARENT_5X5,RECT_E31_A31,7.6,10,7.6,10.4,0.0214592730212338,1,1,0,7.105427357601e-15,1,0,8.88178419700125e-16,0.212132034355965,0.212132034355965,0.632455532033676,0,1,0.991254486936928,0,202,202,2,1,ORACLE_DML_CONVERGED,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,W_I;C_I;T_I;G_BANK,14c244fbd8f2f908cad4cbe4d9ee648aa3f8b02c8de616c8424341f8194f428e,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
EDGE_D0318_SNR_+00_DB,1,D0318,0,3,20260721,FIXED_RECT_3X5,RECT_E14_A31,7.6,10,7.6,10.4,-0.0709848278079822,1,1,0,7.105427357601e-15,1,0,8.88178419700125e-16,0.291547594742265,0.291547594742265,0.632455532033676,0,1,0.995684555413576,-0.00436260370156416,202,202,2,1,ORACLE_DML_CONVERGED,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,W_I;C_I;T_I;G_BANK,0e040c0d78647689d5bf8b538bfbadd3b95e8676997fb8cc4167627810017994,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
EDGE_D0318_SNR_+00_DB,1,D0318,0,3,20260721,GREEDY_ETA_080,RECT_E28_A31,7.6,10,7.6,10.4,-0.0709848278079822,1,1,0,7.105427357601e-15,1,0,8.88178419700125e-16,0.291547594742265,0.291547594742265,0.632455532033676,0,1,0.995941415869724,-0.00461946415771242,202,202,2,1,ORACLE_DML_CONVERGED,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,W_I;C_I;T_I;G_BANK,0e040c0d78647689d5bf8b538bfbadd3b95e8676997fb8cc4167627810017994,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
EDGE_D0318_SNR_+00_DB,1,D0318,0,3,20260721,FULL_PARENT_5X5,RECT_E31_A31,7.6,10,7.6,10.4,-0.0709848278079822,1,1,0,7.105427357601e-15,1,0,8.88178419700125e-16,0.291547594742265,0.291547594742265,0.632455532033676,0,1,0.991321951712012,0,202,202,2,1,ORACLE_DML_CONVERGED,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,W_I;C_I;T_I;G_BANK,0e040c0d78647689d5bf8b538bfbadd3b95e8676997fb8cc4167627810017994,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
EDGE_D0318_SNR_+00_DB,1,D0318,0,4,20260722,FIXED_RECT_3X5,RECT_E14_A31,7.6,10,7.6,10.4,0.0481426410873525,1,1,0,7.105427357601e-15,1,0,0.0707106781186545,0.291547594742265,0.3,0.632455532033676,0,1,0.995586773457229,-0.00272671355004173,248,248,3,1,ORACLE_DML_CONVERGED,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,W_I;C_I;T_I;G_BANK,4c1e0713bc32b754e1c67dd6e9515c6332f4176d3f745af4e08077a9ffd52dd9,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
EDGE_D0318_SNR_+00_DB,1,D0318,0,4,20260722,GREEDY_ETA_080,RECT_E28_A31,7.6,10,7.6,10.4,0.0481426410873525,1,1,0,7.105427357601e-15,1,0,0.0707106781186545,0.291547594742265,0.3,0.632455532033676,0,1,0.99563367902362,-0.00277361911643281,248,248,3,1,ORACLE_DML_CONVERGED,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,W_I;C_I;T_I;G_BANK,4c1e0713bc32b754e1c67dd6e9515c6332f4176d3f745af4e08077a9ffd52dd9,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
EDGE_D0318_SNR_+00_DB,1,D0318,0,4,20260722,FULL_PARENT_5X5,RECT_E31_A31,7.6,10,7.6,10.4,0.0481426410873525,1,1,0,7.105427357601e-15,1,0,0.0707106781186545,0.291547594742265,0.3,0.632455532033676,0,1,0.992860059907187,0,248,248,3,1,ORACLE_DML_CONVERGED,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,NOT_USED_FOR_STAGE7_SELECTION_OR_OPERATING_POINT,W_I;C_I;T_I;G_BANK,4c1e0713bc32b754e1c67dd6e9515c6332f4176d3f745af4e08077a9ffd52dd9,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
