artifact_id,file_name,primary_key_columns,primary_key,column_name,comparison_type,current_row_count,historical_row_count,mismatch_count,maximum_absolute_difference,maximum_relative_difference,historical_value_numeric,current_value_numeric,absolute_difference,relative_difference,diagnostic_reason,absolute_tolerance,relative_tolerance,pass_flag,stage7_1_stable_code_identity_hash
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,eta_parent_relative,NUMERIC_ABS_OR_REL,961,961,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,worst_design_scenario_id,EXACT_TEXT,961,961,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,worst_validation_scenario_id,EXACT_TEXT,961,961,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,worst_holdout_scenario_id,EXACT_TEXT,961,961,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,minimum_whitening_rank,EXACT_NUMERIC,961,961,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,minimum_manifold_rank,EXACT_NUMERIC,961,961,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,minimum_fim_rank,EXACT_NUMERIC,961,961,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,data_processing_violation_count,EXACT_NUMERIC,961,961,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,status,EXACT_TEXT,961,961,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,covariance_decomposition_count,EXACT_NUMERIC,961,961,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,whitener_eigendecomposition_count,EXACT_NUMERIC,961,961,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,fim_evaluation_count,EXACT_NUMERIC,961,961,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_subset_enumeration,fim_subset_enumeration.csv,subset_id,,generalized_eigenvalue_evaluation_count,EXACT_NUMERIC,961,961,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,__PRIMARY_KEY__,EXACT,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,eta0,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,method_id,EXACT_TEXT,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,subset_id,EXACT_TEXT,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,elevation_mask_integer,EXACT_NUMERIC,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,azimuth_mask_integer,EXACT_NUMERIC,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,B_e,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,B_a,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,B_out,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,MAC_total,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,eta_design,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,eta_validation,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,eta_holdout,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,eta_parent,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,fim_gate_pass,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,status,EXACT_TEXT,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,scheme_A_pass,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,scheme_B_pass,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,finite_sample_pareto_pass,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
