metric,value,unit,status,pass_flag,fixed_measurement_hash,theory_status_detail,physical_null_status,stage6_controls_hash,stage6_experiment_plan_hash,phase_factor,theory_status,prior_art_status
maximum_normalized_gram_tail_ratio_error,6.11803083117035e-06,absolute_ratio_error,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
minimum_tail_point_count,3,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
maximum_exact_identity_relative_error,1.39768507616424e-12,relative,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
maximum_geometry_invariance_error,9.43356504023996e-13,relative,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
synthetic_null_fitted_order,6,log_log_slope,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
maximum_synthetic_null_ratio_error,2.22044604925031e-16,absolute_ratio_error,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
mathematical_validation_pass,1,boolean,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
validation_runtime_sec,7.7739525,second,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
fixed_model_memory_bytes,38074687,byte,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
registered_test_row_count,3491,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
code_analyzer_message_count,0,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
stage6_scope_violation_count,0,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
stage5_frozen_file_count,14,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
