subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total,output_channel_count,output_bytes_complex_double,weight_memory_bytes,estimated_data_movement_bytes,incremental_cost_over_conventional,eta_design,eta_validation,eta_holdout,eta_parent_relative,worst_design_scenario_id,worst_validation_scenario_id,worst_holdout_scenario_id,minimum_whitening_rank,minimum_manifold_rank,minimum_fim_rank,data_processing_violation_count,runtime,offline_subset_design_runtime,status,covariance_decomposition_count,whitener_eigendecomposition_count,fim_evaluation_count,generalized_eigenvalue_evaluation_count,measured_online_dbf_runtime
RECT_E01_A11,1,11,1,1;2;4,1;6;16,1,3,3,2080,195,2275,3,48,99840,33328,130,1.60031153540287e-10,1.45249659073141e-05,4.67429443035383e-10,1.67290995380988e-10,D0320,V0234,H0028,3,2,4,0,0.2220184,0.2220184,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E01_A12,1,12,1,3;4,11;16,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2119609,0.2119609,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E01_A13,1,13,1,1;3;4,1;11;16,1,3,3,2080,195,2275,3,48,99840,33328,130,1.66834456594194e-10,1.66130062551667e-05,2.88966512003463e-11,1.72901837087273e-10,D0320,V0234,H0129,3,2,4,0,0.2268773,0.2268773,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E01_A14,1,14,1,2;3;4,6;11;16,1,3,3,2080,195,2275,3,48,99840,33328,130,2.00373691526727e-10,1.95703936304331e-05,4.67605512043328e-10,2.00373803970718e-10,D0319,V0234,H0129,3,2,4,0,0.2349522,0.2349522,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E01_A15,1,15,1,1;2;3;4,1;6;11;16,1,4,4,2080,260,2340,4,64,133120,33344,195,3.04166534381974e-08,2.21675918080384e-05,4.72299145189188e-08,3.3249149334697e-08,D0318,V0156,H0085,4,2,4,0,0.2357109,0.2357109,FIM_SCENARIO_VALID,2,2,1184,2368,2.059765625e-06
RECT_E01_A16,1,16,1,5,21,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1317148,0.1317148,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,2.1703125e-06
RECT_E01_A17,1,17,1,1;5,1;21,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2225908,0.2225908,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E01_A18,1,18,1,2;5,6;21,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2236673,0.2236673,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E01_A19,1,19,1,1;2;5,1;6;21,1,3,3,2080,195,2275,3,48,99840,33328,130,1.56170902239086e-10,1.65145365491274e-05,3.85320222380579e-10,1.7053078860306e-10,D0320,V0234,H0085,3,2,4,0,0.2213866,0.2213866,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E01_A20,1,20,1,3;5,11;21,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2262856,0.2262856,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
