scenario_id,data_split,center_az_deg,center_el_deg,direction_az_component,direction_el_component,separation_deg,target1_az_deg,target1_el_deg,target2_az_deg,target2_el_deg,source_profile_id,L,secondary_power_db,correlation_magnitude,correlation_phase_rad,noise_covariance_id,registered_domain_pass,holdout_seed,sampling_rule
D0030,DESIGN,8,10,1,0,0.4,7.8,10,8.2,10,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0031,DESIGN,8,10,1,0,0.4,7.8,10,8.2,10,P3,4,-6,0.9,1.5707963267949,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0032,DESIGN,8,10,1,0,0.4,7.8,10,8.2,10,P3,4,-6,0.9,1.5707963267949,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0033,DESIGN,8,10,0,1,0.05,8,9.975,8,10.025,P0,4,0,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0034,DESIGN,8,10,0,1,0.05,8,9.975,8,10.025,P0,4,0,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0035,DESIGN,8,10,0,1,0.05,8,9.975,8,10.025,P1,4,-6,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0036,DESIGN,8,10,0,1,0.05,8,9.975,8,10.025,P1,4,-6,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0037,DESIGN,8,10,0,1,0.05,8,9.975,8,10.025,P2,4,0,0.9,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0038,DESIGN,8,10,0,1,0.05,8,9.975,8,10.025,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0039,DESIGN,8,10,0,1,0.05,8,9.975,8,10.025,P3,4,-6,0.9,1.5707963267949,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0040,DESIGN,8,10,0,1,0.05,8,9.975,8,10.025,P3,4,-6,0.9,1.5707963267949,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0041,DESIGN,8,10,0,1,0.1,8,9.95,8,10.05,P0,4,0,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0042,DESIGN,8,10,0,1,0.1,8,9.95,8,10.05,P0,4,0,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0043,DESIGN,8,10,0,1,0.1,8,9.95,8,10.05,P1,4,-6,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0044,DESIGN,8,10,0,1,0.1,8,9.95,8,10.05,P1,4,-6,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0045,DESIGN,8,10,0,1,0.1,8,9.95,8,10.05,P2,4,0,0.9,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0046,DESIGN,8,10,0,1,0.1,8,9.95,8,10.05,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0047,DESIGN,8,10,0,1,0.1,8,9.95,8,10.05,P3,4,-6,0.9,1.5707963267949,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0048,DESIGN,8,10,0,1,0.1,8,9.95,8,10.05,P3,4,-6,0.9,1.5707963267949,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0049,DESIGN,8,10,0,1,0.2,8,9.9,8,10.1,P0,4,0,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0050,DESIGN,8,10,0,1,0.2,8,9.9,8,10.1,P0,4,0,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0051,DESIGN,8,10,0,1,0.2,8,9.9,8,10.1,P1,4,-6,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0052,DESIGN,8,10,0,1,0.2,8,9.9,8,10.1,P1,4,-6,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0053,DESIGN,8,10,0,1,0.2,8,9.9,8,10.1,P2,4,0,0.9,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0054,DESIGN,8,10,0,1,0.2,8,9.9,8,10.1,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0055,DESIGN,8,10,0,1,0.2,8,9.9,8,10.1,P3,4,-6,0.9,1.5707963267949,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0056,DESIGN,8,10,0,1,0.2,8,9.9,8,10.1,P3,4,-6,0.9,1.5707963267949,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0057,DESIGN,8,10,0,1,0.4,8,9.8,8,10.2,P0,4,0,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0058,DESIGN,8,10,0,1,0.4,8,9.8,8,10.2,P0,4,0,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0059,DESIGN,8,10,0,1,0.4,8,9.8,8,10.2,P1,4,-6,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
