eta0,method_id,subset_id,elevation_mask_integer,azimuth_mask_integer,B_e,B_a,B_out,MAC_total,eta_design,eta_validation,eta_holdout,eta_parent,fim_gate_pass,status,scheme_A_pass,scheme_B_pass,finite_sample_pareto_pass,strongest_fixed_baseline,decision_status
0.8,EXACT_ETA_080,RECT_E14_A31,14,31,3,5,15,7215,0.812182048193117,0.854926015011046,0.816394839929115,0.823236874435238,1,FIM_DESIGN_VALIDATION_HOLDOUT_PASS,0,0,0,FIXED_RECT_3X5,SYSTEM_DESIGN_ANALYSIS_ONLY
0.9,EXACT_ETA_090,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.823236874435238,0,DESIGN_OPERATING_POINT_INFEASIBLE,0,0,0,FIXED_RECT_3X5,FIM_GATE_REJECTED
0.95,EXACT_ETA_095,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.823236874435238,0,DESIGN_OPERATING_POINT_INFEASIBLE,0,0,0,FIXED_RECT_3X5,FIM_GATE_REJECTED
