subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total
RECT_E02_A31,2,31,2,1;2;3;4;5,2;7;12;17;22,1,5,5,2080,325,2405
RECT_E03_A01,3,1,1;2,1,1;2,2,1,2,4160,130,4290
RECT_E03_A02,3,2,1;2,2,6;7,2,1,2,4160,130,4290
RECT_E03_A03,3,3,1;2,1;2,1;2;6;7,2,2,4,4160,260,4420
RECT_E03_A04,3,4,1;2,3,11;12,2,1,2,4160,130,4290
RECT_E03_A05,3,5,1;2,1;3,1;2;11;12,2,2,4,4160,260,4420
RECT_E03_A06,3,6,1;2,2;3,6;7;11;12,2,2,4,4160,260,4420
RECT_E03_A07,3,7,1;2,1;2;3,1;2;6;7;11;12,2,3,6,4160,390,4550
RECT_E03_A08,3,8,1;2,4,16;17,2,1,2,4160,130,4290
RECT_E03_A09,3,9,1;2,1;4,1;2;16;17,2,2,4,4160,260,4420
RECT_E03_A10,3,10,1;2,2;4,6;7;16;17,2,2,4,4160,260,4420
RECT_E03_A11,3,11,1;2,1;2;4,1;2;6;7;16;17,2,3,6,4160,390,4550
RECT_E03_A12,3,12,1;2,3;4,11;12;16;17,2,2,4,4160,260,4420
RECT_E03_A13,3,13,1;2,1;3;4,1;2;11;12;16;17,2,3,6,4160,390,4550
RECT_E03_A14,3,14,1;2,2;3;4,6;7;11;12;16;17,2,3,6,4160,390,4550
RECT_E03_A15,3,15,1;2,1;2;3;4,1;2;6;7;11;12;16;17,2,4,8,4160,520,4680
RECT_E03_A16,3,16,1;2,5,21;22,2,1,2,4160,130,4290
RECT_E03_A17,3,17,1;2,1;5,1;2;21;22,2,2,4,4160,260,4420
RECT_E03_A18,3,18,1;2,2;5,6;7;21;22,2,2,4,4160,260,4420
RECT_E03_A19,3,19,1;2,1;2;5,1;2;6;7;21;22,2,3,6,4160,390,4550
RECT_E03_A20,3,20,1;2,3;5,11;12;21;22,2,2,4,4160,260,4420
RECT_E03_A21,3,21,1;2,1;3;5,1;2;11;12;21;22,2,3,6,4160,390,4550
RECT_E03_A22,3,22,1;2,2;3;5,6;7;11;12;21;22,2,3,6,4160,390,4550
RECT_E03_A23,3,23,1;2,1;2;3;5,1;2;6;7;11;12;21;22,2,4,8,4160,520,4680
RECT_E03_A24,3,24,1;2,4;5,16;17;21;22,2,2,4,4160,260,4420
RECT_E03_A25,3,25,1;2,1;4;5,1;2;16;17;21;22,2,3,6,4160,390,4550
RECT_E03_A26,3,26,1;2,2;4;5,6;7;16;17;21;22,2,3,6,4160,390,4550
RECT_E03_A27,3,27,1;2,1;2;4;5,1;2;6;7;16;17;21;22,2,4,8,4160,520,4680
RECT_E03_A28,3,28,1;2,3;4;5,11;12;16;17;21;22,2,3,6,4160,390,4550
RECT_E03_A29,3,29,1;2,1;3;4;5,1;2;11;12;16;17;21;22,2,4,8,4160,520,4680
RECT_E03_A30,3,30,1;2,2;3;4;5,6;7;11;12;16;17;21;22,2,4,8,4160,520,4680
RECT_E03_A31,3,31,1;2,1;2;3;4;5,1;2;6;7;11;12;16;17;21;22,2,5,10,4160,650,4810
RECT_E04_A01,4,1,3,1,3,1,1,1,2080,65,2145
RECT_E04_A02,4,2,3,2,8,1,1,1,2080,65,2145
RECT_E04_A03,4,3,3,1;2,3;8,1,2,2,2080,130,2210
RECT_E04_A04,4,4,3,3,13,1,1,1,2080,65,2145
RECT_E04_A05,4,5,3,1;3,3;13,1,2,2,2080,130,2210
RECT_E04_A06,4,6,3,2;3,8;13,1,2,2,2080,130,2210
RECT_E04_A07,4,7,3,1;2;3,3;8;13,1,3,3,2080,195,2275
RECT_E04_A08,4,8,3,4,18,1,1,1,2080,65,2145
RECT_E04_A09,4,9,3,1;4,3;18,1,2,2,2080,130,2210
RECT_E04_A10,4,10,3,2;4,8;18,1,2,2,2080,130,2210
RECT_E04_A11,4,11,3,1;2;4,3;8;18,1,3,3,2080,195,2275
RECT_E04_A12,4,12,3,3;4,13;18,1,2,2,2080,130,2210
RECT_E04_A13,4,13,3,1;3;4,3;13;18,1,3,3,2080,195,2275
RECT_E04_A14,4,14,3,2;3;4,8;13;18,1,3,3,2080,195,2275
RECT_E04_A15,4,15,3,1;2;3;4,3;8;13;18,1,4,4,2080,260,2340
RECT_E04_A16,4,16,3,5,23,1,1,1,2080,65,2145
RECT_E04_A17,4,17,3,1;5,3;23,1,2,2,2080,130,2210
RECT_E04_A18,4,18,3,2;5,8;23,1,2,2,2080,130,2210
RECT_E04_A19,4,19,3,1;2;5,3;8;23,1,3,3,2080,195,2275
RECT_E04_A20,4,20,3,3;5,13;23,1,2,2,2080,130,2210
RECT_E04_A21,4,21,3,1;3;5,3;13;23,1,3,3,2080,195,2275
RECT_E04_A22,4,22,3,2;3;5,8;13;23,1,3,3,2080,195,2275
RECT_E04_A23,4,23,3,1;2;3;5,3;8;13;23,1,4,4,2080,260,2340
RECT_E04_A24,4,24,3,4;5,18;23,1,2,2,2080,130,2210
RECT_E04_A25,4,25,3,1;4;5,3;18;23,1,3,3,2080,195,2275
RECT_E04_A26,4,26,3,2;4;5,8;18;23,1,3,3,2080,195,2275
RECT_E04_A27,4,27,3,1;2;4;5,3;8;18;23,1,4,4,2080,260,2340
RECT_E04_A28,4,28,3,3;4;5,13;18;23,1,3,3,2080,195,2275
RECT_E04_A29,4,29,3,1;3;4;5,3;13;18;23,1,4,4,2080,260,2340
RECT_E04_A30,4,30,3,2;3;4;5,8;13;18;23,1,4,4,2080,260,2340
RECT_E04_A31,4,31,3,1;2;3;4;5,3;8;13;18;23,1,5,5,2080,325,2405
RECT_E05_A01,5,1,1;3,1,1;3,2,1,2,4160,130,4290
RECT_E05_A02,5,2,1;3,2,6;8,2,1,2,4160,130,4290
RECT_E05_A03,5,3,1;3,1;2,1;3;6;8,2,2,4,4160,260,4420
RECT_E05_A04,5,4,1;3,3,11;13,2,1,2,4160,130,4290
RECT_E05_A05,5,5,1;3,1;3,1;3;11;13,2,2,4,4160,260,4420
RECT_E05_A06,5,6,1;3,2;3,6;8;11;13,2,2,4,4160,260,4420
RECT_E05_A07,5,7,1;3,1;2;3,1;3;6;8;11;13,2,3,6,4160,390,4550
RECT_E05_A08,5,8,1;3,4,16;18,2,1,2,4160,130,4290
RECT_E05_A09,5,9,1;3,1;4,1;3;16;18,2,2,4,4160,260,4420
RECT_E05_A10,5,10,1;3,2;4,6;8;16;18,2,2,4,4160,260,4420
RECT_E05_A11,5,11,1;3,1;2;4,1;3;6;8;16;18,2,3,6,4160,390,4550
RECT_E05_A12,5,12,1;3,3;4,11;13;16;18,2,2,4,4160,260,4420
RECT_E05_A13,5,13,1;3,1;3;4,1;3;11;13;16;18,2,3,6,4160,390,4550
RECT_E05_A14,5,14,1;3,2;3;4,6;8;11;13;16;18,2,3,6,4160,390,4550
RECT_E05_A15,5,15,1;3,1;2;3;4,1;3;6;8;11;13;16;18,2,4,8,4160,520,4680
RECT_E05_A16,5,16,1;3,5,21;23,2,1,2,4160,130,4290
RECT_E05_A17,5,17,1;3,1;5,1;3;21;23,2,2,4,4160,260,4420
RECT_E05_A18,5,18,1;3,2;5,6;8;21;23,2,2,4,4160,260,4420
RECT_E05_A19,5,19,1;3,1;2;5,1;3;6;8;21;23,2,3,6,4160,390,4550
RECT_E05_A20,5,20,1;3,3;5,11;13;21;23,2,2,4,4160,260,4420
RECT_E05_A21,5,21,1;3,1;3;5,1;3;11;13;21;23,2,3,6,4160,390,4550
RECT_E05_A22,5,22,1;3,2;3;5,6;8;11;13;21;23,2,3,6,4160,390,4550
RECT_E05_A23,5,23,1;3,1;2;3;5,1;3;6;8;11;13;21;23,2,4,8,4160,520,4680
RECT_E05_A24,5,24,1;3,4;5,16;18;21;23,2,2,4,4160,260,4420
RECT_E05_A25,5,25,1;3,1;4;5,1;3;16;18;21;23,2,3,6,4160,390,4550
RECT_E05_A26,5,26,1;3,2;4;5,6;8;16;18;21;23,2,3,6,4160,390,4550
RECT_E05_A27,5,27,1;3,1;2;4;5,1;3;6;8;16;18;21;23,2,4,8,4160,520,4680
RECT_E05_A28,5,28,1;3,3;4;5,11;13;16;18;21;23,2,3,6,4160,390,4550
RECT_E05_A29,5,29,1;3,1;3;4;5,1;3;11;13;16;18;21;23,2,4,8,4160,520,4680
RECT_E05_A30,5,30,1;3,2;3;4;5,6;8;11;13;16;18;21;23,2,4,8,4160,520,4680
RECT_E05_A31,5,31,1;3,1;2;3;4;5,1;3;6;8;11;13;16;18;21;23,2,5,10,4160,650,4810
RECT_E06_A01,6,1,2;3,1,2;3,2,1,2,4160,130,4290
RECT_E06_A02,6,2,2;3,2,7;8,2,1,2,4160,130,4290
RECT_E06_A03,6,3,2;3,1;2,2;3;7;8,2,2,4,4160,260,4420
RECT_E06_A04,6,4,2;3,3,12;13,2,1,2,4160,130,4290
RECT_E06_A05,6,5,2;3,1;3,2;3;12;13,2,2,4,4160,260,4420
RECT_E06_A06,6,6,2;3,2;3,7;8;12;13,2,2,4,4160,260,4420
RECT_E06_A07,6,7,2;3,1;2;3,2;3;7;8;12;13,2,3,6,4160,390,4550
RECT_E06_A08,6,8,2;3,4,17;18,2,1,2,4160,130,4290
RECT_E06_A09,6,9,2;3,1;4,2;3;17;18,2,2,4,4160,260,4420
RECT_E06_A10,6,10,2;3,2;4,7;8;17;18,2,2,4,4160,260,4420
RECT_E06_A11,6,11,2;3,1;2;4,2;3;7;8;17;18,2,3,6,4160,390,4550
RECT_E06_A12,6,12,2;3,3;4,12;13;17;18,2,2,4,4160,260,4420
RECT_E06_A13,6,13,2;3,1;3;4,2;3;12;13;17;18,2,3,6,4160,390,4550
RECT_E06_A14,6,14,2;3,2;3;4,7;8;12;13;17;18,2,3,6,4160,390,4550
RECT_E06_A15,6,15,2;3,1;2;3;4,2;3;7;8;12;13;17;18,2,4,8,4160,520,4680
RECT_E06_A16,6,16,2;3,5,22;23,2,1,2,4160,130,4290
RECT_E06_A17,6,17,2;3,1;5,2;3;22;23,2,2,4,4160,260,4420
RECT_E06_A18,6,18,2;3,2;5,7;8;22;23,2,2,4,4160,260,4420
RECT_E06_A19,6,19,2;3,1;2;5,2;3;7;8;22;23,2,3,6,4160,390,4550
RECT_E06_A20,6,20,2;3,3;5,12;13;22;23,2,2,4,4160,260,4420
RECT_E06_A21,6,21,2;3,1;3;5,2;3;12;13;22;23,2,3,6,4160,390,4550
RECT_E06_A22,6,22,2;3,2;3;5,7;8;12;13;22;23,2,3,6,4160,390,4550
RECT_E06_A23,6,23,2;3,1;2;3;5,2;3;7;8;12;13;22;23,2,4,8,4160,520,4680
