method_id,method_class,subset_id,MAC_total,B_out,eta_design,eta_validation,eta_holdout,oracle_k_success_rate,wrong_local_peak_rate,unconditional_penalized_error,threshold_success_rate,similar_eta_different_wrong_peak_flag,higher_eta_worse_threshold_flag,same_cost_different_risk_flag
FULL_PARENT_5X5,FULL_PARENT,RECT_E31_A31,12025,25,0.823236874435238,0.865788692440534,0.837108372852045,0.654827586206897,0.0389655172413793,0.282018098798774,0.524444444444444,0,0,0
STAGE6_CENTER_3X3,FIXED_RECTANGLE,RECT_E14_A14,6825,9,0.37099845358891,0.594880263954348,0.389199983243962,0.656896551724138,0.0360344827586207,0.281606084877914,0.526666666666667,0,0,0
FIXED_AZ_1X3,FIXED_RECTANGLE,RECT_E04_A14,2275,3,2.37863514137949e-10,2.57204734237336e-05,6.46049202868701e-10,0.144310344827586,0.315,0.560994455028186,0.104722222222222,1,0,0
FIXED_EL_3X1,FIXED_RECTANGLE,RECT_E14_A04,6435,3,9.82271253634494e-12,0,2.69364956511596e-11,0.218793103448276,0.457241379310345,0.516063825031412,0.211666666666667,1,0,0
FIXED_RECT_3X3,FIXED_RECTANGLE,RECT_E14_A14,6825,9,0.37099845358891,0.594880263954348,0.389199983243962,0.656896551724138,0.0360344827586207,0.281606084877914,0.526666666666667,0,0,0
FIXED_RECT_3X5,FIXED_RECTANGLE,RECT_E14_A31,7215,15,0.812182048193117,0.854926015011046,0.816394839929115,0.655689655172414,0.0348275862068965,0.281383896732325,0.525555555555556,0,0,0
FIXED_RECT_5X3,FIXED_RECTANGLE,RECT_E31_A14,11375,15,0.379473202409332,0.603308602030474,0.398103759951492,0.658103448275862,0.0346551724137931,0.280577054221252,0.53,0,0,0
EXACT_ETA_080,EXACT,RECT_E14_A31,7215,15,0.812182048193117,0.854926015011046,0.816394839929115,0.655689655172414,0.0348275862068965,0.281383896732325,0.525555555555556,0,0,0
GREEDY_ETA_080,GREEDY,RECT_E28_A31,7215,15,0.818362440953709,0.855324196074235,0.831796740997647,0.657068965517241,0.0375862068965517,0.280749400240802,0.528611111111111,0,0,0
