subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total,output_channel_count,output_bytes_complex_double,weight_memory_bytes,estimated_data_movement_bytes,incremental_cost_over_conventional,eta_design,eta_validation,eta_holdout,eta_parent_relative,worst_design_scenario_id,worst_validation_scenario_id,worst_holdout_scenario_id,minimum_whitening_rank,minimum_manifold_rank,minimum_fim_rank,data_processing_violation_count,runtime,offline_subset_design_runtime,status,covariance_decomposition_count,whitener_eigendecomposition_count,fim_evaluation_count,generalized_eigenvalue_evaluation_count,greedy_evaluation_count,greedy_runtime,greedy_status,eta0,exact_subset_id,same_subset_flag,cost_gap,eta_gap,exact_MAC_total,exact_eta_design
RECT_E28_A31,28,31,3;4;5,1;2;3;4;5,3;4;5;8;9;10;13;14;15;18;19;20;23;24;25,3,5,15,6240,975,7215,15,240,499200,33520,5070,0.818362440953709,0.855324196074235,0.831796740997647,0.878170684985505,D0286,V0050,H0230,15,2,4,0,1.0395891,1.0395891,FIM_SCENARIO_VALID,2,2,1184,2368,56832,42.5843777,GREEDY_EXACT_REEVALUATION_COMPLETE,0.8,RECT_E14_A31,0,0,0.00618039276059235,7215,0.812182048193117
RECT_E31_A31,31,31,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,5,5,25,10400,1625,12025,25,400,832000,33680,9880,0.823236874435238,0.865788692440534,0.837108372852045,0.999999999995173,D0158,V0014,H0230,25,2,4,0,0.3832113,0.3832113,FIM_SCENARIO_VALID,2,2,1184,2368,43808,25.3311044,GREEDY_EXACT_REEVALUATION_COMPLETE,0.9,,0,NaN,NaN,NaN,NaN
RECT_E31_A31,31,31,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,5,5,25,10400,1625,12025,25,400,832000,33680,9880,0.823236874435238,0.865788692440534,0.837108372852045,0.999999999995173,D0158,V0014,H0230,25,2,4,0,0.3338075,0.3338075,FIM_SCENARIO_VALID,2,2,1184,2368,43808,12.6641998,GREEDY_EXACT_REEVALUATION_COMPLETE,0.95,,0,NaN,NaN,NaN,NaN
