metric,value,unit,pass_flag,phase_factor
active_phase_factor,1,dimensionless,1,1
extra_phase_argument_rejected,1,boolean,1,1
formula_cases,9,count,1,1
formula_max_abs_error,0,absolute,1,1
formula_max_relative_error,0,relative,1,1
derivative_centers,9,count,1,1
max_relative_error_az_rad,1.0198340328244e-09,relative,1,1
max_relative_error_el_rad,1.47592443119979e-09,relative,1,1
active_az_beamwidth_3db_deg,2.02750334078263,degree,1,1
legacy_az_beamwidth_3db_deg,1.01371372554593,degree,1,1
az_beamwidth_ratio_factor1_over_factor2,2.0000748630396,ratio,1,1
active_el_beamwidth_3db_deg,2.83783852951301,degree,1,1
legacy_el_beamwidth_3db_deg,1.41881474336388,degree,1,1
el_beamwidth_ratio_factor1_over_factor2,2.00014733620878,ratio,1,1
max_pattern_peak_offset_deg,0,degree,1,1
single_target_pattern_written,1,boolean,1,1
pattern_scan_angle_evaluations,40004,count,1,1
validation_runtime_sec,7.8928637,second,1,1
overall_pass_flag,1,boolean,1,1
