domain,method_id,nominal_snr_db,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_count,resolution_success_count,rho_lower_bound_hit_count,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,TANGENT_PROFILE_CORE,-6,40,40,16,0,24,0.4,2,1,7,0.05,0.025,0.137830227350117,0.229378145390372,0.280444161960014,0.477650801933703,54.8567081249025,79.0303268728424,0.448818907452307,0.449000000000001,3.3844056,0.0627933,0.1159784,5675,11390,80,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":24}"
BEAMSPACE,TANGENT_PROFILE_CORE,0,40,40,37,0,3,0.925,14,5,12,0.35,0.125,0.114451838876457,0.153029364251897,0.254325428340043,0.30576964772517,29.2563907861485,76.3602602843349,0.349228227977346,0.449000000000001,3.8306128,0.09748315,0.10966175,7200,14440,80,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":3}"
BEAMSPACE,TANGENT_PROFILE_CORE,6,40,40,40,0,0,1,25,9,16,0.625,0.225,0.0871308799210482,0.127176727551075,0.217650134546983,0.272532062575872,11.610061287859,35.362006983706,0.286832356391258,0.449000000000002,3.7601108,0.0942253,0.1009418,7155,14350,80,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,10,40,40,40,0,0,1,30,16,9,0.75,0.4,0.0805213986303203,0.110960316734269,0.171043145378766,0.243309990574334,5.39789971244664,13.2489566504844,0.189946007562907,0.449000000000001,3.7948005,0.0959343,0.0996852,7195,14430,80,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,14,40,40,40,0,0,1,33,24,5,0.825,0.6,0.054865760995328,0.11141419165795,0.110037896324305,0.234490304656188,3.3650816710327,7.89760345227707,0.143915469140009,0.448969100918479,3.6988541,0.0939252,0.09889765,7033,14106,80,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,18,40,40,40,0,0,1,36,30,0,0.9,0.75,0.0398740017049153,0.103590404717958,0.0851248678844434,0.215201260531287,2.17672442214639,4.85324031072141,0.0971291507324464,0.271341683707414,3.7276252,0.09321955,0.0969158,7089,14218,80,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,22,40,40,40,0,0,1,35,33,1,0.875,0.825,0.0297497901766175,0.105954624168303,0.0662650442333909,0.215059271726813,1.23739699550457,2.94903209912312,0.0678587776611804,0.176290122716843,3.6835824,0.09280525,0.097338,7080,14200,80,"{""reason"":[],""count"":[]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,-6,40,40,0,0,40,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1951485,0.0019497,0.0040342,2440,0,40,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":40}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,0,40,40,1,0,39,0.025,0,0,0,0,0,0.111472791516063,0.111472791516063,0.225204486087907,0.225204486087907,1.12384577557828,1.12384577557828,0.411861981634655,0.411861981634655,2.6984104,0.00193445,0.0022351,7536,5096,40,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":39}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,6,40,40,16,0,24,0.4,16,8,0,0.4,0.2,0.0665002210654179,0.0871549402587497,0.149835122541766,0.196269532183046,0.804260956033845,1.83834719946883,0.217582843183339,0.391479446078072,29.9925599,0.00205785,2.0238497,70389,67949,40,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":24}"
