method_id,applicable_count,valid_count,mean_score_calls,mean_svd_calls,mean_eig_calls,mean_coarse_candidates,mean_continuous_starts,median_runtime_sec,p90_runtime_sec,median_online_runtime_sec,total_amortized_precompute_sec
CORE_LITE,72,72,152.055555555556,350.833333333333,0,0,0,0.16847655,0.20971774,0.16847655,0
CORE_PLUS,72,72,2741.30555555556,5530.18055555556,0,0,0,2.57997365,3.73130391,2.57997365,0
TANGENT_PROFILE_SAFE,72,72,394.236111111111,861.194444444444,0,0,0,4.95313365,5.35530264,4.95313365,0
FULL4D_BEAMSPACE_CML_MULTISTART,72,72,4548.70833333333,9097.41666666667,0,210,6,5.480052,7.47654163,5.480052,0
FULL4D_ELEMENT_CML_MULTISTART,24,24,4478.5,4478.5,0,210,6,14.7131242,96.61137747,14.7131242,0
BEAMSPACE_MUSIC_K2,48,0,19521,0,1,0,0,0.45414199375,0.6738142425,0.02668155,20.3479317
ELEMENT_MUSIC_K2,48,0,19521,0,1,0,0,6.3364232125,6.6812021825,5.8368481,20.3479317
