domain,method_id,nominal_snr_db,profile_id,L,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,P1,1,20,0,0,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0821110089285715,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,P1,4,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.609930008928571,0.0295262504464286,0.0327290004464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,P1,8,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.589578308928571,0.0293009504464286,0.0298300004464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,P2,1,20,0,0,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0821110089285715,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,P2,4,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.625255608928571,0.0308948004464286,0.0336870504464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,P2,8,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.591681208928571,0.0294064004464286,0.0303327504464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,P3,1,20,0,0,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0821110089285715,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,P3,4,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.605808008928571,0.0300232504464286,0.0317958504464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,P3,8,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.601268508928572,0.0297759504464286,0.0308651004464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,P4,1,20,0,0,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0821110089285715,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,P4,4,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.589406608928571,0.0294804004464286,0.0301628004464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,P4,8,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.596450808928571,0.0298139004464286,0.0306461004464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,P1,1,20,0,0,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0821110089285715,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,P1,4,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.740861808928572,0.0384974004464286,0.0440499004464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,P1,8,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.602960008928571,0.0298478004464286,0.0315729504464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,P2,1,20,0,0,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0821110089285715,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,P2,4,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.606906708928571,0.0296050504464286,0.0311156504464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,P2,8,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.622482908928571,0.0311039004464286,0.0323037004464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,P3,1,20,0,0,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0821110089285715,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,P3,4,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.597243708928571,0.0298228504464286,0.0304485004464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,P3,8,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.629228808928572,0.0312040504464286,0.0327106504464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,P4,1,20,0,0,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0821110089285715,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,P4,4,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.618320708928571,0.0307330004464286,0.0318783004464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,P4,8,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.621187708928571,0.0300287504464286,0.0358074504464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,6,P1,1,20,0,0,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0821110089285715,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,6,P1,4,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.598096208928572,0.0294344504464286,0.0316821004464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,6,P1,8,20,20,0,0,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.589446208928571,0.0294853004464286,0.0300063004464286,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,6,P2,1,20,0,0,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0821110089285715,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":20}"
