trial_id,M1_fit_valid,M2_fit_valid,M1_known_K_joint_rmse_deg,M2_known_K_joint_rmse_deg,outcome,M1_score_call_count,M2_score_call_count,M1_svd_call_count,M2_svd_call_count,M1_runtime_sec,M2_runtime_sec
R1_K2_N1_L4_EASY,0,0,NaN,NaN,INVALID_COMPARISON,1754,1558,3547,3135,1.3808438,1.2308697
R1_K2_N1_L4_MODERATE,0,0,NaN,NaN,INVALID_COMPARISON,1813,1628,3665,3275,1.4472814,1.2972582
R1_K2_N1_L8_EASY,0,0,NaN,NaN,INVALID_COMPARISON,1721,1529,3481,3078,1.3156899,1.1646656
R1_K2_N1_L8_MODERATE,0,0,NaN,NaN,INVALID_COMPARISON,1717,1617,3473,3254,1.3108453,1.2312964
R1_K2_N2_L4_EASY,0,0,NaN,NaN,INVALID_COMPARISON,1724,1534,3487,3087,1.3307603,1.1562653
R1_K2_N2_L4_MODERATE,0,0,NaN,NaN,INVALID_COMPARISON,1724,1705,3487,3429,1.3406266,1.2793464
R1_K2_N2_L8_EASY,0,0,NaN,NaN,INVALID_COMPARISON,1715,1527,3469,3073,1.3309114,1.1489135
R1_K2_N2_L8_MODERATE,0,0,NaN,NaN,INVALID_COMPARISON,1739,1523,3517,3065,1.3347223,1.1585302
