mode,mean_score_calls,mean_svd_calls,median_runtime_sec,p90_runtime_sec
CORE_LITE,177.743055555556,391.819444444444,0.1463394,0.173637
CORE_PLUS,1445.29166666667,2927.31944444444,0.2270906,2.91132512
