profile_id,L,nominal_snr_db,domain,method_A,method_B,paired_count,fit_valid_both,fit_valid_only_A,fit_valid_only_B,fit_valid_neither,localization_success_01bw_both,localization_success_01bw_only_A,localization_success_01bw_only_B,localization_success_01bw_neither,resolution_success_both,resolution_success_only_A,resolution_success_only_B,resolution_success_neither,common_valid_count,rmse_A_wins,rmse_ties,rmse_B_wins,tie_tolerance_deg
SC_A,8,22,BEAMSPACE,TANGENT_PROFILE_CORE,BEAMSPACE_MUSIC_K2,20,12,8,0,0,5,15,0,0,0,20,0,0,12,12,0,0,1e-06
SC_A,8,22,BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,BEAMSPACE_MUSIC_K2,20,12,8,0,0,5,15,0,0,0,20,0,0,12,12,0,0,1e-06
SC_A,8,22,ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,20,20,0,0,0,20,0,0,0,20,0,0,0,20,19,0,1,1e-06
SC_B,8,-6,BEAMSPACE,TANGENT_PROFILE_CORE,FULL4D_BEAMSPACE_CML_MULTISTART,20,11,0,9,0,0,1,1,18,0,1,0,19,11,8,0,3,1e-06
SC_B,8,-6,BEAMSPACE,TANGENT_PROFILE_CORE,BEAMSPACE_MUSIC_K2,20,0,11,0,9,0,1,0,19,0,1,0,19,0,0,0,0,1e-06
SC_B,8,-6,BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,BEAMSPACE_MUSIC_K2,20,0,20,0,0,0,1,0,19,0,0,0,20,0,0,0,0,1e-06
SC_B,8,-6,ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,20,0,20,0,0,0,20,0,0,0,18,0,2,0,0,0,0,1e-06
SC_B,8,0,BEAMSPACE,TANGENT_PROFILE_CORE,FULL4D_BEAMSPACE_CML_MULTISTART,20,19,0,1,0,0,6,2,12,0,2,0,18,19,15,0,4,1e-06
SC_B,8,0,BEAMSPACE,TANGENT_PROFILE_CORE,BEAMSPACE_MUSIC_K2,20,0,19,0,1,0,6,0,14,0,2,0,18,0,0,0,0,1e-06
SC_B,8,0,BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,BEAMSPACE_MUSIC_K2,20,0,20,0,0,0,2,0,18,0,0,0,20,0,0,0,0,1e-06
SC_B,8,0,ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,20,1,19,0,0,0,20,0,0,0,20,0,0,1,1,0,0,1e-06
SC_B,8,6,BEAMSPACE,TANGENT_PROFILE_CORE,FULL4D_BEAMSPACE_CML_MULTISTART,20,20,0,0,0,5,6,3,6,0,1,1,18,20,12,0,8,1e-06
SC_B,8,6,BEAMSPACE,TANGENT_PROFILE_CORE,BEAMSPACE_MUSIC_K2,20,0,20,0,0,0,11,0,9,0,1,0,19,0,0,0,0,1e-06
SC_B,8,6,BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,BEAMSPACE_MUSIC_K2,20,0,20,0,0,0,8,0,12,0,1,0,19,0,0,0,0,1e-06
SC_B,8,6,ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,20,8,12,0,0,8,12,0,0,7,13,0,0,8,7,0,1,1e-06
SC_B,8,10,BEAMSPACE,TANGENT_PROFILE_CORE,FULL4D_BEAMSPACE_CML_MULTISTART,20,20,0,0,0,9,3,7,1,3,1,7,9,20,6,0,14,1e-06
SC_B,8,10,BEAMSPACE,TANGENT_PROFILE_CORE,BEAMSPACE_MUSIC_K2,20,0,20,0,0,0,12,0,8,0,4,0,16,0,0,0,0,1e-06
SC_B,8,10,BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,BEAMSPACE_MUSIC_K2,20,0,20,0,0,0,16,0,4,0,10,0,10,0,0,0,0,1e-06
SC_B,8,10,ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,20,14,6,0,0,11,9,0,0,10,10,0,0,14,14,0,0,1e-06
SC_B,8,14,BEAMSPACE,TANGENT_PROFILE_CORE,FULL4D_BEAMSPACE_CML_MULTISTART,20,20,0,0,0,13,0,7,0,6,3,8,3,20,5,0,15,1e-06
SC_B,8,14,BEAMSPACE,TANGENT_PROFILE_CORE,BEAMSPACE_MUSIC_K2,20,1,19,0,0,0,13,0,7,0,9,0,11,1,1,0,0,1e-06
SC_B,8,14,BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,BEAMSPACE_MUSIC_K2,20,1,19,0,0,0,20,0,0,0,14,0,6,1,1,0,0,1e-06
SC_B,8,14,ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,20,17,3,0,0,15,5,0,0,12,8,0,0,17,17,0,0,1e-06
SC_B,8,18,BEAMSPACE,TANGENT_PROFILE_CORE,FULL4D_BEAMSPACE_CML_MULTISTART,20,20,0,0,0,16,0,4,0,11,0,8,1,20,6,0,14,1e-06
SC_B,8,18,BEAMSPACE,TANGENT_PROFILE_CORE,BEAMSPACE_MUSIC_K2,20,2,18,0,0,0,16,0,4,0,11,0,9,2,2,0,0,1e-06
SC_B,8,18,BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,BEAMSPACE_MUSIC_K2,20,2,18,0,0,0,20,0,0,0,19,0,1,2,2,0,0,1e-06
SC_B,8,18,ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,20,20,0,0,0,18,2,0,0,15,5,0,0,20,19,0,1,1e-06
SC_B,8,22,BEAMSPACE,TANGENT_PROFILE_CORE,FULL4D_BEAMSPACE_CML_MULTISTART,20,20,0,0,0,15,0,5,0,13,0,7,0,20,2,0,18,1e-06
SC_B,8,22,BEAMSPACE,TANGENT_PROFILE_CORE,BEAMSPACE_MUSIC_K2,20,5,15,0,0,1,14,3,2,0,13,3,4,5,2,0,3,1e-06
SC_B,8,22,BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,BEAMSPACE_MUSIC_K2,20,5,15,0,0,4,16,0,0,3,17,0,0,5,4,0,1,1e-06
SC_B,8,22,ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,20,20,0,0,0,19,1,0,0,18,2,0,0,20,19,0,1,1e-06
