schema_version,row_type,scope,trial_count,pass_count,single_pass_count,canonical_pair_pass_count,ordered_pair_pass_count,max_G_relative_error,rank_mismatch_count,singular_value_mismatch_count,threshold_mismatch_count,identity_rejection_pass,off_grid_rejection_pass,domain_rejection_pass,phase_rejection_pass,root_projection_match_count,trajectory_match_count,query_mismatch_count,fixed_off_grid_count,eligible_registered_call_count,eligible_registered_column_count,cache_hit_count,cache_miss_count,fallback_count,identity_rejection_count,t4_cache_query_count,truth_leakage_count,key_collision_count,status
STAGE8_K2_TFBC_CORRECTNESS_EVIDENCE_V1,STATIC_CERTIFICATION,TWO_FIXED_MEASUREMENT_IDENTITIES,0,1,42,462,882,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,STATIC_CERTIFICATION_PASS
STAGE8_K2_TFBC_CORRECTNESS_EVIDENCE_V1,FORMAL_SEMANTIC,72_FROZEN_TRIALS,72,72,0,0,0,0,0,0,0,1,1,1,1,72,72,0,0,14280,22040,22040,0,0,0,0,0,0,STAGE8_K2_TFBC_CORRECTNESS_PASS
