row_type,scope_type,scope_value,white_beamspace_snr_target_db,method_id,reference_method_id,comparison_id,total_count,valid_count,valid_rate,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,upgrade_rate,fallback_rate,mean_score_call_count,mean_SVD_call_count,median_runtime_sec,p90_runtime_sec,paired_count,wins,ties,losses,non_tie_win_rate,median_paired_delta_deg,p90_paired_delta_deg
PAIRWISE,SNR_X_PROFILE,-6|P3,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,5,54,1,0.833333333333333,0,0
PAIRWISE,SNR_X_PROFILE,-6|P3,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,20,28,12,0.625,0,0.0655794870262198
METHOD,SNR_X_PROFILE,-6|P4,-6,CORE_LITE,,,60,60,1,0.499024558822229,0.628411515784714,0.403112887414928,0.618465843842649,45,79.8210607733817,0.182842712474618,1.1,1.82842712474619,11,0.299999999999999,1.13150093792061,0,0,159.566666666667,366.9,0.1469947,0.17250916,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,-6|P4,-6,CORE_PLUS,,,60,60,1,0.47402752529211,0.657474321688257,0.343964408548957,0.653369225051696,45,72.2694631352488,0.122931026439139,0.812687768042613,1.22931026439139,8.12687768042615,0.178349767393037,0.818756138139664,0.583333333333333,0.416666666666667,1549.16666666667,3147.71666666667,1.00373025,1.9134923,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,-6|P4,-6,TANGENT_PROFILE_SAFE,,,60,60,1,0.475737182081837,0.628411515784714,0.371189178596381,0.618465843842649,45,79.5978098536492,0.182842712474618,1.1,1.82842712474619,11,0.257753612568527,1.13150093792061,0.133333333333333,0.866666666666667,380.833333333333,835.433333333333,4.30827435,4.67242698,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,-6|P4,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,7,52,1,0.875,0,0
PAIRWISE,SNR_X_PROFILE,-6|P4,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,20,24,16,0.555555555555556,0,0.158307563048062
METHOD,SNR_X_PROFILE,0|P1,0,CORE_LITE,,,60,60,1,0.397316937466482,0.548895979730589,0.223606797749979,0.509901951359278,35.5376777919744,89.9999999999999,0.1,0.901655250605964,0.333333333333334,3.00551750201989,0.212478672477061,0.987942459763371,0,0,164.883333333333,377.216666666667,0.1484854,0.18863779,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,0|P1,0,CORE_PLUS,,,60,60,1,0.334765712607013,0.556748424802937,0.223606797749979,0.537239506298018,34.7923889735172,89.9999999999999,0.147213595499957,0.789329665284211,0.490711984999858,2.63109888428071,0.265685424949238,0.827755524838715,0.533333333333333,0.466666666666667,1954.71666666667,3958.26666666667,1.5200228,2.43224766,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,0|P1,0,TANGENT_PROFILE_SAFE,,,60,60,1,0.315382413204674,0.548895979730589,0.2,0.509901951359278,35.5376777919744,89.9999999999999,0.147213595499958,0.725526808589392,0.490711984999861,2.41842269529798,0.28336261665087,0.817876336362807,0.333333333333333,0.666666666666667,401.016666666667,875.483333333333,4.3572353,4.97985157,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,0|P1,0,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,10,40,10,0.5,0,0.0442579249935961
