trial_id,global_trial_index,truth_K,trial_type,support_or_difficulty,noise_profile_id,L,snr_db,noise_seed,element_trial_hash,method_id,fit1_valid,fit2_valid,fit1_status,fit2_status,fit1_selected_start,fit2_selected_start,fit1_start_count,fit2_start_count,rss1,rss2,rss_gap,lambda_12,lrt_status,n_complex_observations,k1_estimate_az_deg,k1_estimate_el_deg,k2_estimate_target1_az_deg,k2_estimate_target1_el_deg,k2_estimate_target2_az_deg,k2_estimate_target2_el_deg,known_K_joint_rmse_deg,known_K_azimuth_rmse_deg,known_K_elevation_rmse_deg,known_K_separation_vector_error_deg,initial_known_K_joint_rmse_deg,refinement_improved_flag,score_call_count,svd_call_count,runtime_sec,shared_initialization_runtime_sec,initialization_runtime_sec,refinement_runtime_sec,continuous_solver_status,monotonicity_violation_count,truth_used_in_initialization_flag,truth_used_in_fit_flag,truth_used_in_lrt_flag,shared_element_data_flag,phase_factor
R1_K1_N2_L1_SM6_ON_GRID,9,1,K1,ON_GRID,STAGE5_TOEPLITZ_CORRELATED,1,-6,2726072804,4a8773235487b03180fc59d7a7d5b642d00ded159d457b258d367d392992a0b8,M1_CONVENTIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M1_K1_CONVENTIONAL_SINGLETON_PEAK,,1,2,10.0031347867384,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.0237882532664,9.91595174103843,NaN,NaN,NaN,NaN,0.0873498187058107,0.0237882532664049,0.0840482589615714,NaN,0,0,1729,3497,1.3991308,0.0596737,0.2023398,1.1371173,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N2_L1_SM6_ON_GRID,9,1,K1,ON_GRID,STAGE5_TOEPLITZ_CORRELATED,1,-6,2726072804,4a8773235487b03180fc59d7a7d5b642d00ded159d457b258d367d392992a0b8,M2_GROUPED_CONDITIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M2_K1_GROUPED_Q1_KQ1,,1,2,10.0031347867384,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.0237882532664,9.91595174103843,NaN,NaN,NaN,NaN,0.0873498187058107,0.0237882532664049,0.0840482589615714,NaN,0,0,1481,2981,1.1684475,0.0596737,0.000491,1.1082828,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N2_L1_SM6_INSIDE_OFF_GRID,10,1,K1,INSIDE_OFF_GRID,STAGE5_TOEPLITZ_CORRELATED,1,-6,2726072804,c74726853c5fd61b2e1cc682507136b55af6e60080fcc2ede9a9cfd69c41c8bf,M0_FIXED_GRID_REGISTERED_STAGE8,1,1,VALID_FOR_LRT,VALID_FOR_LRT,K1_GROUPED_Q1_KQ1,K2_GROUPED_Q1_KQ2,2,3,13.594250938764,9.72460311445423,3.86964782430982,10.04963701377,OK,0,8.2,10,7.6,10,8.4,10,0.141421356237309,0.0999999999999996,0.0999999999999996,NaN,0.141421356237309,1,168,392,0.167276,0.0567106,0,0.1105654,REGISTERED_STAGE8_FIXED_GRID_BASELINE,0,0,0,0,1,1
R1_K1_N2_L1_SM6_INSIDE_OFF_GRID,10,1,K1,INSIDE_OFF_GRID,STAGE5_TOEPLITZ_CORRELATED,1,-6,2726072804,c74726853c5fd61b2e1cc682507136b55af6e60080fcc2ede9a9cfd69c41c8bf,M1_CONVENTIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M1_K1_CONVENTIONAL_SINGLETON_PEAK,,1,2,10.1268774891432,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.12539158214295,10.0207442981948,NaN,NaN,NaN,NaN,0.0832237869383193,0.0253915821429551,0.0792557018051845,NaN,0.141421356237309,1,1732,3503,1.3713429,0.0567106,0.1840636,1.1305687,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N2_L1_SM6_INSIDE_OFF_GRID,10,1,K1,INSIDE_OFF_GRID,STAGE5_TOEPLITZ_CORRELATED,1,-6,2726072804,c74726853c5fd61b2e1cc682507136b55af6e60080fcc2ede9a9cfd69c41c8bf,M2_GROUPED_CONDITIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M2_K1_GROUPED_Q1_KQ1,,1,2,10.1268774891432,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.12539158214295,10.0207442981948,NaN,NaN,NaN,NaN,0.0832237869383193,0.0253915821429551,0.0792557018051845,NaN,0.141421356237309,1,1476,2971,1.1527289,0.0567106,0.0005421,1.0954762,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N2_L1_SP6_ON_GRID,11,1,K1,ON_GRID,STAGE5_TOEPLITZ_CORRELATED,1,6,2726072805,e2a69efb82112dac559bde8db50ed4f90e7dbb54bdb8967df82f82a41e95b58f,M0_FIXED_GRID_REGISTERED_STAGE8,1,1,VALID_FOR_LRT,VALID_FOR_LRT,K1_GROUPED_Q1_KQ1,K2_GROUPED_Q2_KQ1_PLUS_KQ1,2,3,11.0272847854139,10.0737206853209,0.95356410009299,2.71327547966495,OK,0,8,10,8,9.8,8,10.2,0,0,0,NaN,0,1,151,355,0.1124819,0.030181,0,0.0823009,REGISTERED_STAGE8_FIXED_GRID_BASELINE,0,0,0,0,1,1
R1_K1_N2_L1_SP6_ON_GRID,11,1,K1,ON_GRID,STAGE5_TOEPLITZ_CORRELATED,1,6,2726072805,e2a69efb82112dac559bde8db50ed4f90e7dbb54bdb8967df82f82a41e95b58f,M1_CONVENTIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M1_K1_CONVENTIONAL_SINGLETON_PEAK,,1,2,10.3052267216335,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,7.99141871960631,9.99833532057939,NaN,NaN,NaN,NaN,0.00874125453058717,0.00858128039368911,0.00166467942060855,NaN,0,0,1789,3617,1.4443995,0.030181,0.1764087,1.2378098,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N2_L1_SP6_ON_GRID,11,1,K1,ON_GRID,STAGE5_TOEPLITZ_CORRELATED,1,6,2726072805,e2a69efb82112dac559bde8db50ed4f90e7dbb54bdb8967df82f82a41e95b58f,M2_GROUPED_CONDITIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,1,VALID_FOR_LRT,VALID_FOR_LRT,M2_K1_GROUPED_Q1_KQ1,M2_K2_GROUPED_Q1_KQ2,1,2,10.3052267216335,10.1131027474312,0.192123974202332,0.564579912751671,OK,0,7.99141871960631,9.99833532057939,7.4,9.8,8.0013167416476,10.0013292199362,0.00874125453058717,0.00858128039368911,0.00166467942060855,NaN,0,0,1435,2890,1.2116892,0.030181,3.39e-05,1.1814743,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:CONTINUOUS_REFINEMENT_CONVERGED,0,0,0,0,1,1
R1_K1_N2_L1_SP6_INSIDE_OFF_GRID,12,1,K1,INSIDE_OFF_GRID,STAGE5_TOEPLITZ_CORRELATED,1,6,2726072805,3b0e869d44de9d497349a24f6adf56e8d2d6f3d447da8f0f429753bd96ad2d78,M0_FIXED_GRID_REGISTERED_STAGE8,1,1,VALID_FOR_LRT,VALID_FOR_LRT,K1_GROUPED_Q1_KQ1,K2_GROUPED_Q2_KQ1_PLUS_KQ1,2,3,127.211080509314,12.1938319702986,115.017248539016,70.3475253104081,OK,0,8,10,7.8,9.8,8.2,10.2,0.141421356237309,0.0999999999999996,0.0999999999999996,NaN,0.141421356237309,1,162,376,0.1271033,0.0355456,0,0.0915577,REGISTERED_STAGE8_FIXED_GRID_BASELINE,0,0,0,0,1,1
R1_K1_N2_L1_SP6_INSIDE_OFF_GRID,12,1,K1,INSIDE_OFF_GRID,STAGE5_TOEPLITZ_CORRELATED,1,6,2726072805,3b0e869d44de9d497349a24f6adf56e8d2d6f3d447da8f0f429753bd96ad2d78,M1_CONVENTIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,1,VALID_FOR_LRT,VALID_FOR_LRT,M1_K1_CONVENTIONAL_SINGLETON_PEAK,M1_K2_K1_EMBEDDED_FISHER_ANCHOR,1,2,10.3920358675423,9.99139278736038,0.400643080181908,1.17947189167816,OK,0,8.09206990305666,10.0995984053071,8.07138709120753,10.1020473041817,7.4,10.2,0.00794025917890267,0.00793009694334224,0.000401594692871043,NaN,0.141421356237309,1,1617,3274,1.3135722,0.0355456,0.1955893,1.0824373,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:CONTINUOUS_REFINEMENT_CONVERGED,0,0,0,0,1,1
R1_K1_N2_L1_SP6_INSIDE_OFF_GRID,12,1,K1,INSIDE_OFF_GRID,STAGE5_TOEPLITZ_CORRELATED,1,6,2726072805,3b0e869d44de9d497349a24f6adf56e8d2d6f3d447da8f0f429753bd96ad2d78,M2_GROUPED_CONDITIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M2_K1_GROUPED_Q1_KQ1,,1,2,10.392035863928,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.09206981187478,10.099598404408,NaN,NaN,NaN,NaN,0.00794035028956,0.00793018812522384,0.000401595591950965,NaN,0.141421356237309,1,1568,3157,1.2848308,0.0355456,3.56e-05,1.2492496,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N2_L8_SM6_ON_GRID,13,1,K1,ON_GRID,STAGE5_TOEPLITZ_CORRELATED,8,-6,2726072806,6029d8d571c9d0fc8fb1a3fbbac11d7ae06f9d3eeaa4004225c71d924adec606,M0_FIXED_GRID_REGISTERED_STAGE8,1,1,VALID_FOR_LRT,VALID_FOR_LRT,K1_GROUPED_Q1_KQ1,K2_GROUPED_Q1_KQ2,2,3,132.629357462835,118.752096864741,13.8772605980939,26.5248843224183,OK,0,8,10,8,10,7.6,10.2,0,0,0,NaN,0,1,191,435,0.1566194,0.0399752,0,0.1166442,REGISTERED_STAGE8_FIXED_GRID_BASELINE,0,0,0,0,1,1
