trial_id,aggregation_level,scenario_aggregate,fixed_measurement_hash,noise_profile_id,L,snr_db,profile_id,timing_mode,stage_id,repeat_count,median_runtime_sec,p90_runtime_sec,min_runtime_sec,max_runtime_sec,median_stage_share,p90_stage_share,min_stage_share,max_stage_share,median_exclusive_runtime_sec,median_unattributed_sec,median_reconciliation_error_sec,pair_order_ab_count,pair_order_ba_count,paired_repeat_count,paired_instrumentation_overhead_median_sec,paired_instrumentation_overhead_p90_sec,paired_instrumentation_overhead_min_sec,paired_instrumentation_overhead_max_sec,timing_configuration_hash
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,OFF,ROOT_TANGENT_PROFILE_SAFE,20,5.07078185,5.6238108,4.9901653,5.7356717,1,1,1,1,NaN,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,TIMING_STAGE,ROOT_TANGENT_PROFILE_SAFE,20,5.05234685,5.6023473,4.9957638,5.8388667,1,1,1,1,NaN,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,TIMING_STAGE,CENTER_MANIFOLD_DERIVATIVES,20,0.0009391,0.00118025,0.0008409,0.0012748,0.000175879018127866,0.000213473313769905,0.000167950274255867,0.000218330039971627,0.0009391,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,TIMING_STAGE,FINAL_SAFE_SELECTOR,20,1.48e-05,1.62e-05,1.26e-05,2.64e-05,2.76727178700779e-06,3.11928048701032e-06,2.43942416531604e-06,4.52142536495995e-06,1.48e-05,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,TIMING_STAGE,K1_CONTEXT,20,0.04916685,0.06481495,0.045186,0.074432,0.00948324755433927,0.0115959539141274,0.00898903495291529,0.0127476792713901,0.0023129,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,TIMING_STAGE,K1_CONTINUOUS,20,0.0707505,0.0764014,0.0627248,0.082496,0.0131667732125674,0.0142259922009487,0.0124970826764997,0.0146108949257027,0.0707505,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,TIMING_STAGE,K1_CORE_LITE,20,0.1031538,0.11369025,0.0939286,0.123493,0.0197738046881932,0.0206835113355011,0.018714025072824,0.0211501660073863,0.00158835000000001,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,TIMING_STAGE,K1_FIXED_FINAL_CERTIFICATION,20,0.00399385,0.00479795,0.0032695,0.0049972,0.000756780827221891,0.000877165454400084,0.000654454480013647,0.000904772050399549,0.00399385,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,TIMING_STAGE,K1_FIXED_FIT,20,0.0306991,0.03733585,0.026482,0.0385227,0.00602146923386462,0.00668183975722154,0.00530089112699844,0.00686476560626417,0.0036659,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,TIMING_STAGE,K1_FIXED_REGISTERED_REFINEMENT,20,0.02126165,0.02601465,0.0181735,0.0263532,0.00414838285142238,0.00465574595860645,0.00363778207448479,0.00478806810597267,0.02126165,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,TIMING_STAGE,K1_FIXED_REGISTERED_SELECTION,20,0.0010012,0.00122425,0.0008156,0.0012727,0.000193330719463807,0.000222302347852795,0.000163258318978171,0.000233812327140931,0.0010012,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,TIMING_STAGE,K1_FIXED_START_BUILD,20,0.00083395,0.0011628,0.000771,0.0014165,0.000161849169803383,0.000203686426630228,0.000148785807276844,0.00025476464746544,0.00083395,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
TP1_K2_N1_L1_SM6_P1,TRIAL,TP1_K2_N1_L1_SM6_P1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,1,-6,P1,TIMING_STAGE,K1_FULL_DATA,20,0.00146225,0.00194045,0.0013546,0.0027039,0.000282384475728604,0.000366667065399825,0.00025147330044912,0.000463086441072546,0.00146225,0.00210539999999915,0,10,10,20,0.0011770499999999,0.0691439500000004,-0.1782386,0.2480647,593ca05e5dd406579933c21cc9e6bf16e8705a8c0d13a6d167b3e90fcdab0c85
