domain,nominal_snr_db,realized_snr_db,signal_average_power,noise_variance,signal_energy,noise_energy,noise_seed,noise_hash,clean_hash,observation_hash,scenario_id,base_realization_index,profile_id,L,replicate_id,source_hash,truth_hash
BEAMSPACE,-6,-5.77540333761463,138.666644038789,552.041853084313,16639.9972846547,62906.2193327781,580200001,df81afe8132481abdacc4756245d8e19f1308e3fb59a09c07ff514dbaf1293ca,3cb6402e424f9f1d13f005895544c0bf4b0e293466d7a7025466840fd4701442,03da0e8d60dd8b5558212622ce363649613dfd575b1959f3b2757246999c1fb3,RTC2L8_S01_B001,1,SC_A,8,1,96b021d8d702a1055e3b6b3a06d1c3d930d73fb748f815326c8494297f2e2007,077e8af7a35a3b62555e75acd4d722fb4957e54f29c510da39dd03cda8e4f0dc
BEAMSPACE,-6,-5.41691687411853,138.666644038789,552.041853084313,16639.9972846547,57922.1852798301,580200002,7b8ea6dc731c6258c7957729e0c2fc46267a067caf85ffad9d0fb2ed7b6e0be5,3cb6402e424f9f1d13f005895544c0bf4b0e293466d7a7025466840fd4701442,4320d1c68eaaa526e1edab7085aeca3c499b4be6b9473cd32a239ff0de6f076d,RTC2L8_S01_B002,2,SC_A,8,2,96b021d8d702a1055e3b6b3a06d1c3d930d73fb748f815326c8494297f2e2007,077e8af7a35a3b62555e75acd4d722fb4957e54f29c510da39dd03cda8e4f0dc
BEAMSPACE,-6,-6.1370579410763,138.666644038789,552.041853084313,16639.9972846547,68368.9712636189,580200003,07aae3499e7da9c2f368b04a799dd01826280407df9fd2af90f5f3f1077c14a7,3cb6402e424f9f1d13f005895544c0bf4b0e293466d7a7025466840fd4701442,cd480be4554076c010b8383611cdca79187389ffca35d90e6cf566c7127d7955,RTC2L8_S01_B003,3,SC_A,8,3,96b021d8d702a1055e3b6b3a06d1c3d930d73fb748f815326c8494297f2e2007,077e8af7a35a3b62555e75acd4d722fb4957e54f29c510da39dd03cda8e4f0dc
BEAMSPACE,-6,-5.83876963926205,138.666644038789,552.041853084313,16639.9972846547,63830.7893408548,580200004,e8ff5bc49afe04bbbc94926f59ea1fbf09a2071b478f14ea043d9c2cdb29768b,3cb6402e424f9f1d13f005895544c0bf4b0e293466d7a7025466840fd4701442,8902a6d8be0e485a72fa1ce9c7bfaddd1592982feff075b011cc9156ab19092a,RTC2L8_S01_B004,4,SC_A,8,4,96b021d8d702a1055e3b6b3a06d1c3d930d73fb748f815326c8494297f2e2007,077e8af7a35a3b62555e75acd4d722fb4957e54f29c510da39dd03cda8e4f0dc
BEAMSPACE,-6,-6.49838405328252,138.666644038789,552.041853084313,16639.9972846547,74300.4863286293,580200005,74006c053c105ea7b62220eb2df772a44930c4431b7e2fe377dac53d7fd124a3,3cb6402e424f9f1d13f005895544c0bf4b0e293466d7a7025466840fd4701442,7376b93961c569441d9f2f6a123e95306625c63b813ca385947297de55f084c1,RTC2L8_S01_B005,5,SC_A,8,5,96b021d8d702a1055e3b6b3a06d1c3d930d73fb748f815326c8494297f2e2007,077e8af7a35a3b62555e75acd4d722fb4957e54f29c510da39dd03cda8e4f0dc
BEAMSPACE,-6,-5.39643764745837,138.666644038789,552.041853084313,16639.9972846547,57649.6952471741,580200006,0a0aa461d20ace9c9f6b8212f8475ecdee50fba98a30a3de235c71abda46a900,3cb6402e424f9f1d13f005895544c0bf4b0e293466d7a7025466840fd4701442,425e82fa60749d3d14ea4ccf93b575ecfd350794ab1b9928befb11ca8bd468d9,RTC2L8_S01_B006,6,SC_A,8,6,96b021d8d702a1055e3b6b3a06d1c3d930d73fb748f815326c8494297f2e2007,077e8af7a35a3b62555e75acd4d722fb4957e54f29c510da39dd03cda8e4f0dc
BEAMSPACE,-6,-6.04079538385136,138.666644038789,552.041853084313,16639.9972846547,66870.2257677906,580200007,6d72d3b9a52b23b9bafbebd4e94bd992b76bde10c9db0d56b51eceb174a07ce3,3cb6402e424f9f1d13f005895544c0bf4b0e293466d7a7025466840fd4701442,d166440df1c5885187df246cc223b2e19319d89316021765945591ed841b4fda,RTC2L8_S01_B007,7,SC_A,8,7,96b021d8d702a1055e3b6b3a06d1c3d930d73fb748f815326c8494297f2e2007,077e8af7a35a3b62555e75acd4d722fb4957e54f29c510da39dd03cda8e4f0dc
BEAMSPACE,-6,-6.30253156507609,138.666644038789,552.041853084313,16639.9972846547,71024.2093155951,580200008,402042eb50adda1bec24781b90ead339662b43de8377c173cd400c2c42ccc6ca,3cb6402e424f9f1d13f005895544c0bf4b0e293466d7a7025466840fd4701442,96902e486834bb3e99c44036cef453318259b2a3496de30631728b0a49c27f4f,RTC2L8_S01_B008,8,SC_A,8,8,96b021d8d702a1055e3b6b3a06d1c3d930d73fb748f815326c8494297f2e2007,077e8af7a35a3b62555e75acd4d722fb4957e54f29c510da39dd03cda8e4f0dc
BEAMSPACE,-6,-5.80666868571528,138.666644038789,552.041853084313,16639.9972846547,63360.7223254401,580200009,0cc106dcc11d9f85d2d35819d491b4c174d89d89bcdbb706ad3d29a5de868131,3cb6402e424f9f1d13f005895544c0bf4b0e293466d7a7025466840fd4701442,e8b5aff5d3ef8b7487d576a4d9d9727bd6502fcceb6cb91a1ec5e33c5174bebd,RTC2L8_S01_B009,9,SC_A,8,9,96b021d8d702a1055e3b6b3a06d1c3d930d73fb748f815326c8494297f2e2007,077e8af7a35a3b62555e75acd4d722fb4957e54f29c510da39dd03cda8e4f0dc
BEAMSPACE,-6,-5.63572183628911,138.666644038789,552.041853084313,16639.9972846547,60915.1663746195,580200010,d87eb6002936664d6200e637ff23eaa2615f879a3838f34e08705d1f8ea36744,3cb6402e424f9f1d13f005895544c0bf4b0e293466d7a7025466840fd4701442,169b8f25fbc2169369e8cda8d841bbe637689358e8d8d23fdfc588c9b923e65d,RTC2L8_S01_B010,10,SC_A,8,10,96b021d8d702a1055e3b6b3a06d1c3d930d73fb748f815326c8494297f2e2007,077e8af7a35a3b62555e75acd4d722fb4957e54f29c510da39dd03cda8e4f0dc
