scope_type,white_snr_db,profile_id,noise_profile_id,L,method_id,total_count,applicable_count,fit_valid_count,valid_rate,stationary_count,converged_count,max_sweep_valid_count,numerical_incomplete_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,median_score_call_count,median_SVD_call_count,median_eig_call_count,median_runtime_sec,p90_runtime_sec,paired_count,tangent_wins,ties,tangent_losses,non_tie_tangent_win_rate,median_paired_delta_deg,p90_paired_delta_deg,paired_tangent_median_RMSE_deg,paired_tangent_p90_RMSE_deg,paired_baseline_median_RMSE_deg,paired_baseline_p90_RMSE_deg,complete_likelihood_count,complete_tangent_median_RMSE_deg,complete_tangent_p90_RMSE_deg,complete_baseline_median_RMSE_deg,complete_baseline_p90_RMSE_deg,complete_wins,complete_ties,complete_losses,complete_median_delta_deg,complete_p90_delta_deg
EXACT_CELL,10,P1,STAGE5_TOEPLITZ_CORRELATED,4,FULL4D_ELEMENT_CML_MULTISTART,10,5,5,1,0,4,1,0,0.118285896591935,0.178262210440365,0.10031357912985,0.172093400373268,13.8647698651182,19.7206733837485,0.0817524966258144,0.138660302247908,0.272508322086048,0.462201007493026,0.118482742303283,0.162866792461518,3630,3630,0,65.9266338,88.82100348,5,3,0,2,0.6,-0.00182101901618754,0.157302577351664,0.150165085570158,0.285214025174337,0.118285896591935,0.178262210440365,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,10,P2,STAGE5_TOEPLITZ_CORRELATED,4,TANGENT_PROFILE_SAFE,10,10,10,1,0,0,0,0,0.238091969708995,0.44230090491866,0.103812100803137,0.24124611797498,26.5650511770779,55.5746235279123,0.31193655211229,0.801980390271857,1.55968276056146,4.0099019513593,0.360300860426805,0.802462112512354,398.5,872.5,0,4.55789515,4.66419453,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,10,P2,STAGE5_TOEPLITZ_CORRELATED,4,FULL4D_BEAMSPACE_CML_MULTISTART,10,10,10,1,2,2,6,1,0.257619482455643,0.515529362147506,0.171003673395975,0.263891440104382,25.7927469022942,52.4987911719783,0.368883236820017,0.881267206519259,1.84441618410009,4.40633603259631,0.416426111054561,0.88770731602935,4062.5,8125,0,3.5193504,4.40299075,10,8,0,2,0.8,-0.0470332216285686,0.00688090215066771,0.238091969708995,0.44230090491866,0.257619482455643,0.515529362147506,9,0.264575131106459,0.448711915483253,0.257526049330458,0.516516324789305,7,0,2,-0.0285821396253461,0.0068995887757047
EXACT_CELL,10,P2,STAGE5_TOEPLITZ_CORRELATED,4,BEAMSPACE_MUSIC_K2,10,10,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19521,0,1,0.0323398580357143,0.0329862280357143,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,10,P2,STAGE5_TOEPLITZ_CORRELATED,4,FULL4D_ELEMENT_CML_MULTISTART,10,5,5,1,2,3,0,0,0.275235342480799,0.469708688431507,0.109837696601336,0.357064564218145,16.2934760515363,36.3622103779743,0.42330178852996,0.632419186860281,2.11650894264981,3.16209593430142,0.42330178852996,0.646365611201403,2153,2153,0,39.2134932,76.72563204,5,2,0,3,0.4,0.00273684519614698,0.0390291056738663,0.264575131106459,0.464924225024706,0.275235342480799,0.469708688431507,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,10,P3,STAGE5_TOEPLITZ_CORRELATED,4,TANGENT_PROFILE_SAFE,10,10,10,1,0,0,0,0,0.0968092781074902,0.414845231790847,0.0614732178931739,0.155563491861041,20.7664020656752,73.4085460593702,0.148999999999998,0.499209978830309,0.993333333333331,3.32806652553542,0.149075449565876,0.623265859026151,407.5,887.5,0,4.5021662,5.01461004,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,10,P3,STAGE5_TOEPLITZ_CORRELATED,4,FULL4D_BEAMSPACE_CML_MULTISTART,10,10,10,1,1,2,7,0,0.235674622587366,0.434139280458124,0.21721933868306,0.268723373055708,26.3309609198704,65.6710725453635,0.140475361719847,0.365443949789626,0.936502411465656,2.43629299859753,0.205661693075134,0.441118003750577,4059,8118,0,3.745812,4.50659933,10,7,0,3,0.7,-0.0739835300483374,0.10916637525456,0.0968092781074902,0.414845231790847,0.235674622587366,0.434139280458124,10,0.0968092781074902,0.414845231790847,0.235674622587366,0.434139280458124,7,0,3,-0.0739835300483374,0.10916637525456
EXACT_CELL,10,P3,STAGE5_TOEPLITZ_CORRELATED,4,BEAMSPACE_MUSIC_K2,10,10,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19521,0,1,0.0330233580357143,0.0337100480357143,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,10,P3,STAGE5_TOEPLITZ_CORRELATED,4,FULL4D_ELEMENT_CML_MULTISTART,10,5,5,1,0,1,4,0,0.174522646044893,0.40271764396573,0.101745568595484,0.292292295034921,14.0111471846161,54.7229521306559,0.0411582707632334,0.507928606885388,0.274388471754892,3.38619071256929,0.0569230522551903,0.593457120359181,4976,4976,0,91.858523,95.83105504,5,2,0,3,0.4,0.0142232148368764,0.0186763745875688,0.0917679477951424,0.323339018980582,0.174522646044893,0.40271764396573,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,10,P4,STAGE5_TOEPLITZ_CORRELATED,4,TANGENT_PROFILE_SAFE,10,10,10,1,0,0,0,0,0.132629504295857,0.469411042302697,0.097823265820929,0.307265333525917,38.6725504466547,71.5948224041939,0.195957360859233,0.719999999999999,1.95957360859233,7.2,0.199892957278421,0.752635934669225,409,889.5,0,4.46215685,5.30980971,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
