scenario_index,scenario_id,base_realization_index,profile_id,L,replicate_id,nominal_snr_db,center_az_deg,center_el_deg,rho_true_deg,direction_deg,secondary_power_db,correlation_magnitude,source_seed,beam_noise_seed,element_noise_seed
87,RTC2L8_S03_B007,7,SC_A,8,7,6,8,10,0.45,30,0,0,580100007,580200007,580300007
88,RTC2L8_S03_B008,8,SC_A,8,8,6,8,10,0.45,30,0,0,580100008,580200008,580300008
89,RTC2L8_S03_B009,9,SC_A,8,9,6,8,10,0.45,30,0,0,580100009,580200009,580300009
90,RTC2L8_S03_B010,10,SC_A,8,10,6,8,10,0.45,30,0,0,580100010,580200010,580300010
91,RTC2L8_S03_B011,11,SC_A,8,11,6,8,10,0.45,30,0,0,580100011,580200011,580300011
92,RTC2L8_S03_B012,12,SC_A,8,12,6,8,10,0.45,30,0,0,580100012,580200012,580300012
93,RTC2L8_S03_B013,13,SC_A,8,13,6,8,10,0.45,30,0,0,580100013,580200013,580300013
94,RTC2L8_S03_B014,14,SC_A,8,14,6,8,10,0.45,30,0,0,580100014,580200014,580300014
95,RTC2L8_S03_B015,15,SC_A,8,15,6,8,10,0.45,30,0,0,580100015,580200015,580300015
96,RTC2L8_S03_B016,16,SC_A,8,16,6,8,10,0.45,30,0,0,580100016,580200016,580300016
97,RTC2L8_S03_B017,17,SC_A,8,17,6,8,10,0.45,30,0,0,580100017,580200017,580300017
98,RTC2L8_S03_B018,18,SC_A,8,18,6,8,10,0.45,30,0,0,580100018,580200018,580300018
99,RTC2L8_S03_B019,19,SC_A,8,19,6,8,10,0.45,30,0,0,580100019,580200019,580300019
100,RTC2L8_S03_B020,20,SC_A,8,20,6,8,10,0.45,30,0,0,580100020,580200020,580300020
101,RTC2L8_S03_B021,21,SC_B,8,1,6,8,10,0.45,30,-3,0.7,580100021,580200021,580300021
102,RTC2L8_S03_B022,22,SC_B,8,2,6,8,10,0.45,30,-3,0.7,580100022,580200022,580300022
103,RTC2L8_S03_B023,23,SC_B,8,3,6,8,10,0.45,30,-3,0.7,580100023,580200023,580300023
104,RTC2L8_S03_B024,24,SC_B,8,4,6,8,10,0.45,30,-3,0.7,580100024,580200024,580300024
105,RTC2L8_S03_B025,25,SC_B,8,5,6,8,10,0.45,30,-3,0.7,580100025,580200025,580300025
106,RTC2L8_S03_B026,26,SC_B,8,6,6,8,10,0.45,30,-3,0.7,580100026,580200026,580300026
107,RTC2L8_S03_B027,27,SC_B,8,7,6,8,10,0.45,30,-3,0.7,580100027,580200027,580300027
108,RTC2L8_S03_B028,28,SC_B,8,8,6,8,10,0.45,30,-3,0.7,580100028,580200028,580300028
109,RTC2L8_S03_B029,29,SC_B,8,9,6,8,10,0.45,30,-3,0.7,580100029,580200029,580300029
110,RTC2L8_S03_B030,30,SC_B,8,10,6,8,10,0.45,30,-3,0.7,580100030,580200030,580300030
111,RTC2L8_S03_B031,31,SC_B,8,11,6,8,10,0.45,30,-3,0.7,580100031,580200031,580300031
112,RTC2L8_S03_B032,32,SC_B,8,12,6,8,10,0.45,30,-3,0.7,580100032,580200032,580300032
113,RTC2L8_S03_B033,33,SC_B,8,13,6,8,10,0.45,30,-3,0.7,580100033,580200033,580300033
114,RTC2L8_S03_B034,34,SC_B,8,14,6,8,10,0.45,30,-3,0.7,580100034,580200034,580300034
115,RTC2L8_S03_B035,35,SC_B,8,15,6,8,10,0.45,30,-3,0.7,580100035,580200035,580300035
116,RTC2L8_S03_B036,36,SC_B,8,16,6,8,10,0.45,30,-3,0.7,580100036,580200036,580300036
117,RTC2L8_S03_B037,37,SC_B,8,17,6,8,10,0.45,30,-3,0.7,580100037,580200037,580300037
118,RTC2L8_S03_B038,38,SC_B,8,18,6,8,10,0.45,30,-3,0.7,580100038,580200038,580300038
119,RTC2L8_S03_B039,39,SC_B,8,19,6,8,10,0.45,30,-3,0.7,580100039,580200039,580300039
120,RTC2L8_S03_B040,40,SC_B,8,20,6,8,10,0.45,30,-3,0.7,580100040,580200040,580300040
121,RTC2L8_S04_B001,1,SC_A,8,1,10,8,10,0.45,30,0,0,580100001,580200001,580300001
122,RTC2L8_S04_B002,2,SC_A,8,2,10,8,10,0.45,30,0,0,580100002,580200002,580300002
123,RTC2L8_S04_B003,3,SC_A,8,3,10,8,10,0.45,30,0,0,580100003,580200003,580300003
124,RTC2L8_S04_B004,4,SC_A,8,4,10,8,10,0.45,30,0,0,580100004,580200004,580300004
125,RTC2L8_S04_B005,5,SC_A,8,5,10,8,10,0.45,30,0,0,580100005,580200005,580300005
126,RTC2L8_S04_B006,6,SC_A,8,6,10,8,10,0.45,30,0,0,580100006,580200006,580300006
127,RTC2L8_S04_B007,7,SC_A,8,7,10,8,10,0.45,30,0,0,580100007,580200007,580300007
128,RTC2L8_S04_B008,8,SC_A,8,8,10,8,10,0.45,30,0,0,580100008,580200008,580300008
129,RTC2L8_S04_B009,9,SC_A,8,9,10,8,10,0.45,30,0,0,580100009,580200009,580300009
130,RTC2L8_S04_B010,10,SC_A,8,10,10,8,10,0.45,30,0,0,580100010,580200010,580300010
131,RTC2L8_S04_B011,11,SC_A,8,11,10,8,10,0.45,30,0,0,580100011,580200011,580300011
132,RTC2L8_S04_B012,12,SC_A,8,12,10,8,10,0.45,30,0,0,580100012,580200012,580300012
133,RTC2L8_S04_B013,13,SC_A,8,13,10,8,10,0.45,30,0,0,580100013,580200013,580300013
134,RTC2L8_S04_B014,14,SC_A,8,14,10,8,10,0.45,30,0,0,580100014,580200014,580300014
135,RTC2L8_S04_B015,15,SC_A,8,15,10,8,10,0.45,30,0,0,580100015,580200015,580300015
136,RTC2L8_S04_B016,16,SC_A,8,16,10,8,10,0.45,30,0,0,580100016,580200016,580300016
137,RTC2L8_S04_B017,17,SC_A,8,17,10,8,10,0.45,30,0,0,580100017,580200017,580300017
138,RTC2L8_S04_B018,18,SC_A,8,18,10,8,10,0.45,30,0,0,580100018,580200018,580300018
139,RTC2L8_S04_B019,19,SC_A,8,19,10,8,10,0.45,30,0,0,580100019,580200019,580300019
140,RTC2L8_S04_B020,20,SC_A,8,20,10,8,10,0.45,30,0,0,580100020,580200020,580300020
141,RTC2L8_S04_B021,21,SC_B,8,1,10,8,10,0.45,30,-3,0.7,580100021,580200021,580300021
142,RTC2L8_S04_B022,22,SC_B,8,2,10,8,10,0.45,30,-3,0.7,580100022,580200022,580300022
143,RTC2L8_S04_B023,23,SC_B,8,3,10,8,10,0.45,30,-3,0.7,580100023,580200023,580300023
144,RTC2L8_S04_B024,24,SC_B,8,4,10,8,10,0.45,30,-3,0.7,580100024,580200024,580300024
145,RTC2L8_S04_B025,25,SC_B,8,5,10,8,10,0.45,30,-3,0.7,580100025,580200025,580300025
146,RTC2L8_S04_B026,26,SC_B,8,6,10,8,10,0.45,30,-3,0.7,580100026,580200026,580300026
147,RTC2L8_S04_B027,27,SC_B,8,7,10,8,10,0.45,30,-3,0.7,580100027,580200027,580300027
148,RTC2L8_S04_B028,28,SC_B,8,8,10,8,10,0.45,30,-3,0.7,580100028,580200028,580300028
149,RTC2L8_S04_B029,29,SC_B,8,9,10,8,10,0.45,30,-3,0.7,580100029,580200029,580300029
150,RTC2L8_S04_B030,30,SC_B,8,10,10,8,10,0.45,30,-3,0.7,580100030,580200030,580300030
151,RTC2L8_S04_B031,31,SC_B,8,11,10,8,10,0.45,30,-3,0.7,580100031,580200031,580300031
152,RTC2L8_S04_B032,32,SC_B,8,12,10,8,10,0.45,30,-3,0.7,580100032,580200032,580300032
153,RTC2L8_S04_B033,33,SC_B,8,13,10,8,10,0.45,30,-3,0.7,580100033,580200033,580300033
154,RTC2L8_S04_B034,34,SC_B,8,14,10,8,10,0.45,30,-3,0.7,580100034,580200034,580300034
155,RTC2L8_S04_B035,35,SC_B,8,15,10,8,10,0.45,30,-3,0.7,580100035,580200035,580300035
156,RTC2L8_S04_B036,36,SC_B,8,16,10,8,10,0.45,30,-3,0.7,580100036,580200036,580300036
157,RTC2L8_S04_B037,37,SC_B,8,17,10,8,10,0.45,30,-3,0.7,580100037,580200037,580300037
158,RTC2L8_S04_B038,38,SC_B,8,18,10,8,10,0.45,30,-3,0.7,580100038,580200038,580300038
159,RTC2L8_S04_B039,39,SC_B,8,19,10,8,10,0.45,30,-3,0.7,580100039,580200039,580300039
160,RTC2L8_S04_B040,40,SC_B,8,20,10,8,10,0.45,30,-3,0.7,580100040,580200040,580300040
161,RTC2L8_S05_B001,1,SC_A,8,1,14,8,10,0.45,30,0,0,580100001,580200001,580300001
162,RTC2L8_S05_B002,2,SC_A,8,2,14,8,10,0.45,30,0,0,580100002,580200002,580300002
163,RTC2L8_S05_B003,3,SC_A,8,3,14,8,10,0.45,30,0,0,580100003,580200003,580300003
164,RTC2L8_S05_B004,4,SC_A,8,4,14,8,10,0.45,30,0,0,580100004,580200004,580300004
165,RTC2L8_S05_B005,5,SC_A,8,5,14,8,10,0.45,30,0,0,580100005,580200005,580300005
166,RTC2L8_S05_B006,6,SC_A,8,6,14,8,10,0.45,30,0,0,580100006,580200006,580300006
167,RTC2L8_S05_B007,7,SC_A,8,7,14,8,10,0.45,30,0,0,580100007,580200007,580300007
168,RTC2L8_S05_B008,8,SC_A,8,8,14,8,10,0.45,30,0,0,580100008,580200008,580300008
169,RTC2L8_S05_B009,9,SC_A,8,9,14,8,10,0.45,30,0,0,580100009,580200009,580300009
170,RTC2L8_S05_B010,10,SC_A,8,10,14,8,10,0.45,30,0,0,580100010,580200010,580300010
