scenario_index,scenario_id,base_realization_index,profile_id,L,replicate_id,nominal_snr_db,center_az_deg,center_el_deg,rho_true_deg,direction_deg,secondary_power_db,correlation_magnitude,source_seed,beam_noise_seed,element_noise_seed
1,RTC_S01_B001,1,P1,1,1,-6,8,10,0.3,45,0,1,580100001,580200001,580300001
2,RTC_S01_B002,2,P1,1,2,-6,8,10,0.3,45,0,1,580100002,580200002,580300002
3,RTC_S01_B003,3,P1,1,3,-6,8,10,0.3,45,0,1,580100003,580200003,580300003
4,RTC_S01_B004,4,P1,1,4,-6,8,10,0.3,45,0,1,580100004,580200004,580300004
5,RTC_S01_B005,5,P1,1,5,-6,8,10,0.3,45,0,1,580100005,580200005,580300005
6,RTC_S01_B006,6,P1,1,6,-6,8,10,0.3,45,0,1,580100006,580200006,580300006
7,RTC_S01_B007,7,P1,1,7,-6,8,10,0.3,45,0,1,580100007,580200007,580300007
8,RTC_S01_B008,8,P1,1,8,-6,8,10,0.3,45,0,1,580100008,580200008,580300008
9,RTC_S01_B009,9,P1,1,9,-6,8,10,0.3,45,0,1,580100009,580200009,580300009
10,RTC_S01_B010,10,P1,1,10,-6,8,10,0.3,45,0,1,580100010,580200010,580300010
11,RTC_S01_B011,11,P1,1,11,-6,8,10,0.3,45,0,1,580100011,580200011,580300011
12,RTC_S01_B012,12,P1,1,12,-6,8,10,0.3,45,0,1,580100012,580200012,580300012
13,RTC_S01_B013,13,P1,1,13,-6,8,10,0.3,45,0,1,580100013,580200013,580300013
14,RTC_S01_B014,14,P1,1,14,-6,8,10,0.3,45,0,1,580100014,580200014,580300014
15,RTC_S01_B015,15,P1,1,15,-6,8,10,0.3,45,0,1,580100015,580200015,580300015
16,RTC_S01_B016,16,P1,1,16,-6,8,10,0.3,45,0,1,580100016,580200016,580300016
17,RTC_S01_B017,17,P1,1,17,-6,8,10,0.3,45,0,1,580100017,580200017,580300017
18,RTC_S01_B018,18,P1,1,18,-6,8,10,0.3,45,0,1,580100018,580200018,580300018
19,RTC_S01_B019,19,P1,1,19,-6,8,10,0.3,45,0,1,580100019,580200019,580300019
20,RTC_S01_B020,20,P1,1,20,-6,8,10,0.3,45,0,1,580100020,580200020,580300020
21,RTC_S01_B021,21,P2,1,1,-6,8.2,10,0.2,0,-6,1,580100021,580200021,580300021
22,RTC_S01_B022,22,P2,1,2,-6,8.2,10,0.2,0,-6,1,580100022,580200022,580300022
23,RTC_S01_B023,23,P2,1,3,-6,8.2,10,0.2,0,-6,1,580100023,580200023,580300023
24,RTC_S01_B024,24,P2,1,4,-6,8.2,10,0.2,0,-6,1,580100024,580200024,580300024
25,RTC_S01_B025,25,P2,1,5,-6,8.2,10,0.2,0,-6,1,580100025,580200025,580300025
26,RTC_S01_B026,26,P2,1,6,-6,8.2,10,0.2,0,-6,1,580100026,580200026,580300026
27,RTC_S01_B027,27,P2,1,7,-6,8.2,10,0.2,0,-6,1,580100027,580200027,580300027
28,RTC_S01_B028,28,P2,1,8,-6,8.2,10,0.2,0,-6,1,580100028,580200028,580300028
29,RTC_S01_B029,29,P2,1,9,-6,8.2,10,0.2,0,-6,1,580100029,580200029,580300029
30,RTC_S01_B030,30,P2,1,10,-6,8.2,10,0.2,0,-6,1,580100030,580200030,580300030
31,RTC_S01_B031,31,P2,1,11,-6,8.2,10,0.2,0,-6,1,580100031,580200031,580300031
32,RTC_S01_B032,32,P2,1,12,-6,8.2,10,0.2,0,-6,1,580100032,580200032,580300032
33,RTC_S01_B033,33,P2,1,13,-6,8.2,10,0.2,0,-6,1,580100033,580200033,580300033
34,RTC_S01_B034,34,P2,1,14,-6,8.2,10,0.2,0,-6,1,580100034,580200034,580300034
35,RTC_S01_B035,35,P2,1,15,-6,8.2,10,0.2,0,-6,1,580100035,580200035,580300035
36,RTC_S01_B036,36,P2,1,16,-6,8.2,10,0.2,0,-6,1,580100036,580200036,580300036
37,RTC_S01_B037,37,P2,1,17,-6,8.2,10,0.2,0,-6,1,580100037,580200037,580300037
38,RTC_S01_B038,38,P2,1,18,-6,8.2,10,0.2,0,-6,1,580100038,580200038,580300038
39,RTC_S01_B039,39,P2,1,19,-6,8.2,10,0.2,0,-6,1,580100039,580200039,580300039
40,RTC_S01_B040,40,P2,1,20,-6,8.2,10,0.2,0,-6,1,580100040,580200040,580300040
41,RTC_S01_B041,41,P3,1,1,-6,7.9,10.1,0.15,90,0,1,580100041,580200041,580300041
42,RTC_S01_B042,42,P3,1,2,-6,7.9,10.1,0.15,90,0,1,580100042,580200042,580300042
43,RTC_S01_B043,43,P3,1,3,-6,7.9,10.1,0.15,90,0,1,580100043,580200043,580300043
44,RTC_S01_B044,44,P3,1,4,-6,7.9,10.1,0.15,90,0,1,580100044,580200044,580300044
45,RTC_S01_B045,45,P3,1,5,-6,7.9,10.1,0.15,90,0,1,580100045,580200045,580300045
46,RTC_S01_B046,46,P3,1,6,-6,7.9,10.1,0.15,90,0,1,580100046,580200046,580300046
47,RTC_S01_B047,47,P3,1,7,-6,7.9,10.1,0.15,90,0,1,580100047,580200047,580300047
48,RTC_S01_B048,48,P3,1,8,-6,7.9,10.1,0.15,90,0,1,580100048,580200048,580300048
49,RTC_S01_B049,49,P3,1,9,-6,7.9,10.1,0.15,90,0,1,580100049,580200049,580300049
50,RTC_S01_B050,50,P3,1,10,-6,7.9,10.1,0.15,90,0,1,580100050,580200050,580300050
51,RTC_S01_B051,51,P3,1,11,-6,7.9,10.1,0.15,90,0,1,580100051,580200051,580300051
52,RTC_S01_B052,52,P3,1,12,-6,7.9,10.1,0.15,90,0,1,580100052,580200052,580300052
53,RTC_S01_B053,53,P3,1,13,-6,7.9,10.1,0.15,90,0,1,580100053,580200053,580300053
54,RTC_S01_B054,54,P3,1,14,-6,7.9,10.1,0.15,90,0,1,580100054,580200054,580300054
55,RTC_S01_B055,55,P3,1,15,-6,7.9,10.1,0.15,90,0,1,580100055,580200055,580300055
56,RTC_S01_B056,56,P3,1,16,-6,7.9,10.1,0.15,90,0,1,580100056,580200056,580300056
57,RTC_S01_B057,57,P3,1,17,-6,7.9,10.1,0.15,90,0,1,580100057,580200057,580300057
58,RTC_S01_B058,58,P3,1,18,-6,7.9,10.1,0.15,90,0,1,580100058,580200058,580300058
59,RTC_S01_B059,59,P3,1,19,-6,7.9,10.1,0.15,90,0,1,580100059,580200059,580300059
60,RTC_S01_B060,60,P3,1,20,-6,7.9,10.1,0.15,90,0,1,580100060,580200060,580300060
61,RTC_S01_B061,61,P4,1,1,-6,8.1,9.95,0.1,135,-6,1,580100061,580200061,580300061
62,RTC_S01_B062,62,P4,1,2,-6,8.1,9.95,0.1,135,-6,1,580100062,580200062,580300062
63,RTC_S01_B063,63,P4,1,3,-6,8.1,9.95,0.1,135,-6,1,580100063,580200063,580300063
64,RTC_S01_B064,64,P4,1,4,-6,8.1,9.95,0.1,135,-6,1,580100064,580200064,580300064
65,RTC_S01_B065,65,P4,1,5,-6,8.1,9.95,0.1,135,-6,1,580100065,580200065,580300065
66,RTC_S01_B066,66,P4,1,6,-6,8.1,9.95,0.1,135,-6,1,580100066,580200066,580300066
67,RTC_S01_B067,67,P4,1,7,-6,8.1,9.95,0.1,135,-6,1,580100067,580200067,580300067
68,RTC_S01_B068,68,P4,1,8,-6,8.1,9.95,0.1,135,-6,1,580100068,580200068,580300068
69,RTC_S01_B069,69,P4,1,9,-6,8.1,9.95,0.1,135,-6,1,580100069,580200069,580300069
70,RTC_S01_B070,70,P4,1,10,-6,8.1,9.95,0.1,135,-6,1,580100070,580200070,580300070
71,RTC_S01_B071,71,P4,1,11,-6,8.1,9.95,0.1,135,-6,1,580100071,580200071,580300071
72,RTC_S01_B072,72,P4,1,12,-6,8.1,9.95,0.1,135,-6,1,580100072,580200072,580300072
73,RTC_S01_B073,73,P4,1,13,-6,8.1,9.95,0.1,135,-6,1,580100073,580200073,580300073
74,RTC_S01_B074,74,P4,1,14,-6,8.1,9.95,0.1,135,-6,1,580100074,580200074,580300074
