domain,method_a,method_b,scenario_count,same_observation,common_applicable,common_valid,median_joint_rmse_a_minus_b_deg,a_lower_rmse,ties,b_lower_rmse
BEAMSPACE,TANGENT_PROFILE_CORE,FULL4D_BEAMSPACE_CML_MULTISTART,1680,1,1680,1396,-0.091989443710305,1153,0,243
BEAMSPACE,TANGENT_PROFILE_CORE,BEAMSPACE_MUSIC_K2,1680,1,1120,1,-0.145124633174491,1,0,0
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,BEAMSPACE_MUSIC_K2,1680,1,1120,1,-0.169110670521439,1,0,0
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,ELEMENT_MUSIC_K2,1680,1,1120,0,NaN,0,0,0
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,1680,1,1260,36,-0.0168382083600409,29,0,7
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,1680,1,1260,325,-0.0270297584769547,241,0,84
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,1680,1,1260,311,-0.0306987030010847,239,0,72
ELEMENT,ELEMENT_MUSIC_K2,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,1680,1,840,0,NaN,0,0,0
ELEMENT,ELEMENT_MUSIC_K2,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,1680,1,840,0,NaN,0,0,0
ELEMENT,ELEMENT_MUSIC_K2,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,1680,1,840,0,NaN,0,0,0
ELEMENT,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,1680,1,1260,17,5.72536933843015e-05,8,0,9
ELEMENT,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,1680,1,1260,24,0.00891350096609725,8,0,16
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,1680,1,1260,226,-0.0137171245042299,136,0,90
