method_id,scope_type,scope_value,applicability_status,row_count,applicable_count,valid_count
CORE_LITE,L,ALL,APPLICABLE,72,72,72
CORE_LITE,L,1,APPLICABLE,24,24,24
CORE_LITE,L,4,APPLICABLE,24,24,24
CORE_LITE,L,8,APPLICABLE,24,24,24
CORE_PLUS,L,ALL,APPLICABLE,72,72,72
CORE_PLUS,L,1,APPLICABLE,24,24,24
CORE_PLUS,L,4,APPLICABLE,24,24,24
CORE_PLUS,L,8,APPLICABLE,24,24,24
TANGENT_PROFILE_SAFE,L,ALL,APPLICABLE,72,72,72
TANGENT_PROFILE_SAFE,L,1,APPLICABLE,24,24,24
TANGENT_PROFILE_SAFE,L,4,APPLICABLE,24,24,24
TANGENT_PROFILE_SAFE,L,8,APPLICABLE,24,24,24
FULL4D_BEAMSPACE_CML_MULTISTART,L,ALL,APPLICABLE,72,72,72
FULL4D_BEAMSPACE_CML_MULTISTART,L,1,APPLICABLE,24,24,24
FULL4D_BEAMSPACE_CML_MULTISTART,L,4,APPLICABLE,24,24,24
FULL4D_BEAMSPACE_CML_MULTISTART,L,8,APPLICABLE,24,24,24
FULL4D_ELEMENT_CML_MULTISTART,L,ALL,APPLICABLE,24,24,24
FULL4D_ELEMENT_CML_MULTISTART,L,1,NO_REGISTERED_ROWS,0,0,0
FULL4D_ELEMENT_CML_MULTISTART,L,4,APPLICABLE,24,24,24
FULL4D_ELEMENT_CML_MULTISTART,L,8,NO_REGISTERED_ROWS,0,0,0
BEAMSPACE_MUSIC_K2,L,ALL,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,24,0,0
BEAMSPACE_MUSIC_K2,L,ALL,APPLICABLE,48,48,0
BEAMSPACE_MUSIC_K2,L,1,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,24,0,0
BEAMSPACE_MUSIC_K2,L,4,APPLICABLE,24,24,0
BEAMSPACE_MUSIC_K2,L,8,APPLICABLE,24,24,0
ELEMENT_MUSIC_K2,L,ALL,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,24,0,0
ELEMENT_MUSIC_K2,L,ALL,APPLICABLE,48,48,0
ELEMENT_MUSIC_K2,L,1,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,24,0,0
ELEMENT_MUSIC_K2,L,4,APPLICABLE,24,24,0
ELEMENT_MUSIC_K2,L,8,APPLICABLE,24,24,0
