row_type,scope_type,scope_value,method_id,trial_count,valid_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_separation_vector_error_deg,p90_separation_vector_error_deg,mean_score_calls,mean_SVD_calls,median_runtime_sec,p90_runtime_sec,comparison_id,paired_count,wins,ties,losses,decision
METHOD,ALL,ALL,CORE_LITE,72,72,0.149897595666927,0.341636837522738,0.111803398874989,0.279558441227156,0,45.0000000000001,0.165028153987288,0.459116882454314,0.206155281280883,0.461745010345711,149.472222222222,346.305555555556,0.16382735,0.20216747,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P1,CORE_LITE,18,18,0.141681308325435,0.141681308325435,0.141421356237309,0.141421356237309,0,5.53048464687665,0.0171572875253814,0.265685424949237,0.0171572875253814,0.265685424949237,154.666666666667,355.111111111111,0.1690155,0.21821069,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P2,CORE_LITE,18,18,0.173205080756888,0.402388589282479,0.100000000000001,0.33369316876853,0,32.0955358239545,0.200000000000001,0.400000000000001,0.200000000000001,0.400000000000001,148.388888888889,346.611111111111,0.16608045,0.19333325,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P3,CORE_LITE,18,18,0.103077640640442,0.301039864469807,0.0999999999999996,0.282842712474618,35.782525588539,45.0000000000001,0.13284271247462,0.297213595499958,0.206155281280883,0.320156211871643,137.222222222222,322.111111111111,0.1418203,0.2051112,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P4,CORE_LITE,18,18,0.224968624298191,0.368130438369584,0.111803398874989,0.219308696896619,18.4349488229221,71.5650511770779,0.347213595499958,0.532455532033676,0.353761482156572,0.594501015562695,157.611111111111,361.388888888889,0.1688605,0.19497222,,NaN,NaN,NaN,NaN,
METHOD,L,1,CORE_LITE,24,24,0.178508465873489,0.376647269211778,0.126612377556149,0.272989898732232,18.4349488229221,45,0.200000000000001,0.532455532033675,0.23592035311506,0.579606094258625,147.083333333333,341.416666666667,0.1663829,0.19113726,,NaN,NaN,NaN,NaN,
METHOD,L,4,CORE_LITE,24,24,0.141681308325435,0.301039864469807,0.100000000000001,0.265071938057226,0,45.0000000000001,0.140028153987289,0.4,0.206155281280883,0.4,146.208333333333,339.708333333333,0.17248375,0.21333791,,NaN,NaN,NaN,NaN,
METHOD,L,8,CORE_LITE,24,24,0.141681308325435,0.283203758060231,0.105901699437495,0.216524758424985,0,57.9044641760454,0.13284271247462,0.384164078649988,0.203077640640442,0.426281278913979,155.125,357.791666666667,0.1610691,0.17919461,,NaN,NaN,NaN,NaN,
METHOD,SNR_DB,-6,CORE_LITE,24,24,0.232842149918611,0.393092380796215,0.141421356237309,0.311359436211786,0,63.5955358239545,0.197213595499958,0.596971447196575,0.244498996877751,0.606174255788311,150.833333333333,349.333333333333,0.167297,0.2031455,,NaN,NaN,NaN,NaN,
METHOD,SNR_DB,0,CORE_LITE,24,24,0.162746579657763,0.290585326786868,0.100000000000001,0.272989898732232,0,45,0.19142135623731,0.347213595499958,0.206155281280883,0.353761482156571,150.541666666667,348.208333333333,0.1655982,0.19936987,,NaN,NaN,NaN,NaN,
METHOD,SNR_DB,6,CORE_LITE,24,24,0.137262010400027,0.20925294875916,0.0999999999999996,0.141421356237309,9.21747441146102,57.9044641760454,0.13284271247462,0.347213595499958,0.206155281280883,0.353761482156572,147.041666666667,341.375,0.15490505,0.18835643,,NaN,NaN,NaN,NaN,
METHOD,NOISE,WHITE,CORE_LITE,36,36,0.141681308325435,0.282807497788133,0.0999999999999996,0.214881039515431,7.01812173396322,45.0000000000001,0.182842712474618,0.373606797749979,0.206155281280883,0.41314063945699,151.833333333333,351.166666666667,0.1744402,0.22246015,,NaN,NaN,NaN,NaN,
METHOD,NOISE,STAGE5_TOEPLITZ_CORRELATED,CORE_LITE,36,36,0.178508465873489,0.361148971392168,0.141421356237309,0.291421356237309,0,54.217474411461,0.13284271247462,0.499070478491456,0.206155281280883,0.50526835141585,147.111111111111,341.444444444444,0.1513289,0.1846629,,NaN,NaN,NaN,NaN,
METHOD,ALL,ALL,TANGENT_PROFILE_SAFE,72,72,0.08972716834348,0.185165331895773,0.0324066372329869,0.117784573288632,3.26094768931714,44.887926430534,0.110098411801604,0.29896606443533,0.148942113404092,0.332326245768555,387.138888888889,847.638888888889,4.81932865,5.17788249,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P1,TANGENT_PROFILE_SAFE,18,18,0.0980031637599265,0.150765604015774,0.00944479281641355,0.0690062689098945,1.75233202850191,7.6418063316056,0.0986315512015677,0.298762451047308,0.122916265757685,0.298764056692271,378.277777777778,828.333333333333,4.7526439,5.10043815,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P2,TANGENT_PROFILE_SAFE,18,18,0.111420879696066,0.221167974364494,0.0621163631950679,0.168322411038606,8.79544453386212,34.6958131577187,0.160092825823576,0.318460981963617,0.18849239648184,0.320932395071059,378.166666666667,832.166666666667,4.82963635,5.13056254,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P3,TANGENT_PROFILE_SAFE,18,18,0.0750349434885263,0.101362398576705,0.0186428299818438,0.0699044783924764,2.17254803026372,11.9742928199989,0.145415569877759,0.148999999999999,0.148942113404092,0.14901384288129,386.777777777778,847.222222222222,4.80878185,5.22838328,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P4,TANGENT_PROFILE_SAFE,18,18,0.113064045082471,0.287226635156725,0.0486440681079904,0.11438711860733,16.9475192689399,66.3051206913542,0.099,0.512798016518638,0.0992247720461717,0.534433760073314,405.333333333333,882.833333333333,4.9375145,5.23823808,,NaN,NaN,NaN,NaN,
METHOD,L,1,TANGENT_PROFILE_SAFE,24,24,0.124151075396537,0.209680650638421,0.0495522801873427,0.151843503465242,11.8947182144379,61.4310439426124,0.148926195308426,0.329243005958533,0.194364148363278,0.33440911790928,382.916666666667,839.083333333333,4.88255895,5.17709567,,NaN,NaN,NaN,NaN,
METHOD,L,4,TANGENT_PROFILE_SAFE,24,24,0.0925940030024575,0.192163284180227,0.0299474340144124,0.0902429315608441,2.93894538538106,11.6477574718342,0.148999999999998,0.37267426475314,0.149011013318719,0.377203280657904,386.125,845.541666666667,4.9005395,5.36962728,,NaN,NaN,NaN,NaN,
METHOD,L,8,TANGENT_PROFILE_SAFE,24,24,0.0701089604186677,0.145639399400643,0.0253816103834609,0.0888818557458579,2.69571040543256,30.54277843152,0.0974537451006645,0.185110792017156,0.0984949338599008,0.189428262648455,392.375,858.291666666667,4.7372846,5.08510017,,NaN,NaN,NaN,NaN,
METHOD,SNR_DB,-6,TANGENT_PROFILE_SAFE,24,24,0.113570282616239,0.197116430816898,0.05211643822915,0.141421356237309,9.98355960911781,44.9999999999999,0.14897495970658,0.37267426475314,0.15026172887911,0.377898789077716,388.875,851.416666666667,4.81908955,5.11652943,,NaN,NaN,NaN,NaN,
METHOD,SNR_DB,0,TANGENT_PROFILE_SAFE,24,24,0.0846069824562869,0.209229490336527,0.0275943693932727,0.114633167943897,3.56841127338554,26.98934315366,0.144651014487443,0.294948501066556,0.148421877559376,0.29583856879954,385.5,844.125,4.81932865,5.21158743,,NaN,NaN,NaN,NaN,
METHOD,SNR_DB,6,TANGENT_PROFILE_SAFE,24,24,0.0747429183782888,0.134518746810438,0.0229711494796784,0.0630442195827606,2.56346403554521,44.6637792916026,0.0946065966939461,0.211797689148948,0.0990016503358098,0.263610906276289,387.041666666667,847.375,4.8085947,5.14737831,,NaN,NaN,NaN,NaN,
METHOD,NOISE,WHITE,TANGENT_PROFILE_SAFE,36,36,0.0925940030024575,0.193744798772947,0.0367726580806412,0.108881027652555,4.2842942663316,30.4676226175015,0.145464334275913,0.335607577839878,0.149000039598146,0.34605421233598,388.777777777778,851.055555555556,4.92079335,5.2257064,,NaN,NaN,NaN,NaN,
METHOD,NOISE,STAGE5_TOEPLITZ_CORRELATED,TANGENT_PROFILE_SAFE,36,36,0.0860094425342796,0.161361522915159,0.0309484667960681,0.129886085986412,3.23328707937276,50.8776329442783,0.0990000000000002,0.21498039690892,0.148373523625519,0.215172637623891,385.5,844.222222222222,4.6936799,5.0893742,,NaN,NaN,NaN,NaN,
METHOD,ALL,ALL,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,72,72,0.107946777774121,0.24068607683442,0.0627411465721306,0.206155281280884,3.26094768931714,44.7946560351815,0.103476389135176,0.296799733658596,0.122150004879872,0.343729066160161,363.402777777778,866.194444444444,4.8978476,5.23805584,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P1,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,18,18,0.0660984440932298,0.147637546791677,0.0308995407604842,0.141421356237309,1.75233202850222,7.64180633156607,0.0473600196161592,0.272710960002488,0.0551372979531804,0.285085128731155,361.333333333333,861.444444444444,4.9336183,5.20481838,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P2,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,18,18,0.105770856521756,0.414144967116639,0.0930670767505487,0.403388749662986,7.54927365821488,26.0418708758345,0.121945758774037,0.196951691153777,0.137595314262148,0.196967187270824,352.5,847.555555555556,4.84122875,5.2381818,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P3,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,18,18,0.0851670287010307,0.225052918923805,0.0639101210327554,0.189566116941011,2.30124561190541,32.0955358239547,0.110833198893432,0.162000052106311,0.113978240748143,0.240355560458111,364.5,867.666666666667,4.9416495,5.21628142,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P4,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,18,18,0.19382870306074,0.347668630837298,0.111803398874989,0.206155281280884,18.4349488229221,66.3051206913541,0.139482936062184,0.532455532033675,0.200188124781388,0.559746199186532,375.277777777778,888.111111111111,4.89412465,5.25093154,,NaN,NaN,NaN,NaN,
