noise_profile_id,repeat_count,independent_build_sec,shared_build_sec,build_reduction,independent_load_sec,shared_load_sec,load_reduction,independent_storage_bytes,shared_storage_bytes,storage_reduction,independent_logical_table_bytes,shared_logical_table_bytes,adapter_bytes,independent_provider_count,shared_provider_count,center_adapter_count,center_192_storage_reduction,center_192_extrapolation_status,load_positive,pass
WHITE,10,3.056706,0.42574565,0.862028214557555,0.0143441,0.0121658,0.151023621082004,139147,25115,0.819507427396926,161280,20160,7574,8,1,8,0.940315817085528,ANALYTIC_EXTRAPOLATION_FROM_CERTIFIED_ROTATION_CLASS,1,1
STAGE5_TOEPLITZ_CORRELATED,10,3.05323695,0.42152255,0.861223025583815,0.01378595,0.0109002,0.223374579120552,142729,25551,0.820982421231845,161280,20160,7548,8,1,8,0.941860974293942,ANALYTIC_EXTRAPOLATION_FROM_CERTIFIED_ROTATION_CLASS,1,1
