scenario_id,profile_id,L,replicate_id,nominal_snr_db,K1_center_az_deg,K1_center_el_deg,K1_fit_valid,K1_status,K1_coarse_count,metric_rank,metric_condition,direction_az,direction_el,rho_hat_deg,rho_max_deg,profile_node_count,fit_valid,fit_status,axis_error_deg,rho_error_deg
RTC2L8_S01_B001,SC_A,8,1,-6,7.90672769700699,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94139100384174,0.871443136067919,0.490496544942072,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC2L8_S01_B002,SC_A,8,2,-6,7.84711245078539,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94141306353345,0.957798059081665,0.28744195591353,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC2L8_S01_B003,SC_A,8,3,-6,7.95527543706649,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94060268211008,0.0811609450087953,0.996701008831274,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC2L8_S01_B004,SC_A,8,4,-6,8.17762679484547,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94124898894017,0.161274068658466,0.986909658873772,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC2L8_S01_B005,SC_A,8,5,-6,8.17559204521066,9.92068956929829,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94108496698093,0.938252672319158,0.345950752110701,0.00118375790503405,0.697726879111776,45,1,RAW_TANGENT_CORE_VALID,9.76015598937339,0.448816242094968
RTC2L8_S01_B006,SC_A,8,6,-6,7.8488729469647,9.84351723960314,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94135046918137,0.505389584360422,0.862891284009753,0.100863782980673,0.100863782980673,41,1,RAW_TANGENT_CORE_VALID,29.6427827447169,0.349136217019329
RTC2L8_S01_B007,SC_A,8,7,-6,7.84452986105922,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94064558197106,0.999208719663587,0.0397735408061013,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC2L8_S01_B008,SC_A,8,8,-6,8.21038091253567,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94122711416476,0.0691744301862125,0.997604580085924,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC2L8_S01_B009,SC_A,8,9,-6,8.13178397009904,10.0541877183134,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94086679918216,0.734530483391531,0.678575691407085,0.001,0.42975981466189,43,1,RAW_TANGENT_CORE_VALID,12.7324425567828,0.449000000000002
RTC2L8_S01_B010,SC_A,8,10,-6,8.21615085657606,10.1816310905043,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.9404999099848,0.256046293741996,0.966664520638359,0.001,0.0380047247075306,39,1,RAW_TANGENT_CORE_VALID,45.1644081911459,0.449
RTC2L8_S01_B011,SC_A,8,11,-6,8.45107218796684,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94026877749025,-0.571281532484502,0.820754171870091,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC2L8_S01_B012,SC_A,8,12,-6,8.16139362786731,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94125944307138,-0.279517172746637,0.960140692888145,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
