method_id,applicable_count,valid_count,mean_score_calls,mean_svd_calls,mean_eig_calls,mean_coarse_candidates,mean_continuous_starts,median_runtime_sec,p90_runtime_sec
BEAMSPACE_MUSIC_K2,48,0,19521,0,1,0,0,0.45414199375,0.6738142425
ELEMENT_MUSIC_K2,48,0,19521,0,1,0,0,6.3364232125,6.6812021825
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,27,1,148.555555555556,149.555555555556,2,137.814814814815,0.148148148148148,0.0008108,0.00362818
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,27,2,411.296296296296,350.296296296296,1,275.62962962963,0.296296296296296,0.0020536,0.01391512
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,54,0,401,0,1,0,0,0.0149236,0.0295295
FULL4D_BEAMSPACE_CML_MULTISTART,72,72,4548.70833333333,9097.41666666667,0,210,6,5.480052,7.47654163
TANGENT_PROFILE_SAFE,72,72,394.236111111111,861.194444444444,0,0,0,4.95313365,5.35530264
FULL4D_ELEMENT_CML_MULTISTART,24,24,4478.5,4478.5,0,210,6,14.7131242,96.61137747
