scenario_id,profile_id,L,replicate_id,nominal_snr_db,K1_center_az_deg,K1_center_el_deg,K1_fit_valid,K1_status,K1_coarse_count,metric_rank,metric_condition,direction_az,direction_el,rho_hat_deg,rho_max_deg,profile_node_count,fit_valid,fit_status,axis_error_deg,rho_error_deg
RTC_S01_B020,P1,1,20,-6,7.95381077607342,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94137121991579,0.175250749078603,0.9845238315792,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B021,P2,1,1,-6,7.4,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94146495920444,0.28968723251116,0.957121364989845,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B022,P2,1,2,-6,8.6,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.9408832344633,-0.0609433848419422,0.998141224398635,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B023,P2,1,3,-6,8.24713774539283,9.91908600793153,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94103841485677,-0.385924466280564,0.922530382332236,0.001,0.25817254415072,43,1,RAW_TANGENT_CORE_VALID,67.2988557445201,0.198999999999999
RTC_S01_B024,P2,1,4,-6,8.6,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94012059288914,0.81130959085964,0.584616752906691,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B025,P2,1,5,-6,7.44393050242093,9.90819687190194,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94132053287334,0.318566621507069,0.947900473500025,0.001,0.228287409758177,43,1,RAW_TANGENT_CORE_VALID,71.4237376399819,0.199000000000001
RTC_S01_B026,P2,1,6,-6,8.16201559283014,9.94022114776272,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94106462447624,-0.00149913859349255,0.999998876291107,0.00165576863903463,0.280442610661295,44,1,RAW_TANGENT_CORE_VALID,89.9141056534842,0.198344231360963
RTC_S01_B027,P2,1,7,-6,8.6,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94012059288914,0.106697123455979,0.994291568829898,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B028,P2,1,8,-6,7.74408499362778,10.10561005784,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94090774384553,-0.417439058072251,0.908704920640222,0.001,0.207746079097892,43,1,RAW_TANGENT_CORE_VALID,65.3269902240899,0.199
RTC_S01_B029,P2,1,9,-6,8.20953980410399,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94122768906586,0.0879316560492957,0.996126509969707,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B030,P2,1,10,-6,8.1953834864129,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94123726051788,0.45357642315768,0.891217385577439,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B031,P2,1,11,-6,8.6,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94012059288914,-0.511310201227714,0.859396228826072,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B032,P2,1,12,-6,8.6,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94012059288914,0.305628908878598,0.95215070763912,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B033,P2,1,13,-6,8.6,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94012059288914,-0.171543631409185,0.985176523534209,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B034,P2,1,14,-6,8.05526544792158,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94055424680931,-0.301661992930553,0.95341493696143,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B035,P2,1,15,-6,8.13701789163784,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94127466451511,0.295461179718805,0.955354746300646,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B036,P2,1,16,-6,7.71602448071661,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94068067627948,-0.863561830657327,0.50424296190603,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B037,P2,1,17,-6,8.6,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94012059288914,0.755576340364805,0.655060603212351,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B038,P2,1,18,-6,7.80565912154466,9.85529364908412,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94134879530638,0.999259374509797,0.038479896755182,0.001,0.811919571419908,46,1,RAW_TANGENT_CORE_VALID,2.20528013595248,0.198999999999999
RTC_S01_B039,P2,1,19,-6,8.6,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94012059288914,0.450910370375602,0.892569234226532,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B040,P2,1,20,-6,8.03729688220375,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94133108772539,-0.443540997718222,0.896254084143065,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B041,P3,1,1,-6,8.6,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.9408832344633,-0.11609836730446,0.99323772034153,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B042,P3,1,2,-6,7.4390335021791,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94069952240521,0.197090307750277,0.980385337809017,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B043,P3,1,3,-6,7.4,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94146495920444,-0.799860885104356,0.600185441742864,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
