method_id,K1_valid,K2_valid,K1_off_grid_median_joint_RMSE_deg,K2_overall_median_joint_RMSE_deg,mean_score_calls,mean_SVD_calls,median_runtime_sec,monotonicity_violation_count,truth_leakage_count,operational
B0_FIXED_GRID_KNOWN_K,16,8,0.141421356237309,0.148962028581636,120.875,275.125,0.13803615,0,0,0
B1_DIRECT_CONTINUOUS_KNOWN_K,16,2,0.0113885675775695,0.149437254105546,794.041666666667,1613.83333333333,0.19060095,0,0,0
B2_GROUPED_CONTINUOUS_KNOWN_K,16,4,0.0113885675775695,0.0936479172249411,1142,2302.83333333333,0.18338445,0,0,0
