row_type,scope_type,scope_value,white_beamspace_snr_target_db,method_id,reference_method_id,comparison_id,total_count,valid_count,valid_rate,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,upgrade_rate,fallback_rate,mean_score_call_count,mean_SVD_call_count,median_runtime_sec,p90_runtime_sec,paired_count,wins,ties,losses,non_tie_win_rate,median_paired_delta_deg,p90_paired_delta_deg
METHOD,SNR_X_L,-6|L=1,-6,CORE_LITE,,,80,80,1,0.510568156034251,0.714695838091437,0.412310562561766,0.707985208384274,45,90,0.1,1.01989725545368,0.885618083164138,5.32455532033677,0.266421356237308,1.08247975907627,0,0,151.6,351.35,0.13485445,0.16289629,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_L,-6|L=1,-6,CORE_PLUS,,,80,80,1,0.5127014359256,0.730777137090956,0.457193649764703,0.729089277219475,45,90,0.147213595499957,0.924897255453679,0.99049250391135,5.00827625302984,0.201395020625857,1.00103876075773,0.6875,0.3125,1478.775,3007.2875,0.97465465,1.67307244,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_L,-6|L=1,-6,TANGENT_PROFILE_SAFE,,,80,80,1,0.509378677283008,0.685544767163456,0.412310562561766,0.655710678118654,45,90,0.1,0.968419957660616,0.938595630693943,5.00827625302984,0.227283522496233,1.01132923709138,0.1,0.9,360.5125,795.175,4.2581039,4.73807534,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_L,-6|L=1,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,6,72,2,0.75,0,0
PAIRWISE,SNR_X_L,-6|L=1,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,32,30,18,0.64,0,0.121160489337159
METHOD,SNR_X_L,-6|L=4,-6,CORE_LITE,,,80,80,1,0.457465621953789,0.623005450095897,0.347982662085684,0.608276253029822,45,90,0.1,0.964911064067351,0.999999999999997,3.56343884021308,0.266421356237309,0.987872475190194,0,0,160.0625,368.3125,0.14770855,0.17230222,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_L,-6|L=4,-6,CORE_PLUS,,,80,80,1,0.463695607874988,0.649755021164626,0.325818981320904,0.633031331670459,45,81.3721054761814,0.148817519037714,0.885820771690946,0.994924084374275,3.56343884021307,0.212478672477061,0.903575044535839,0.5375,0.4625,1676.5,3402.6625,1.25412665,2.17032849,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_L,-6|L=4,-6,TANGENT_PROFILE_SAFE,,,80,80,1,0.43909252233896,0.623005450095897,0.316227766016838,0.608276253029822,45,90,0.1,0.964911064067351,0.994151039648919,3.56343884021308,0.282842712474618,0.987872475190194,0.1125,0.8875,381.7,837.5875,4.33047715,4.56012426,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_L,-6|L=4,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,9,71,0,1,0,0
PAIRWISE,SNR_X_L,-6|L=4,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,29,34,17,0.630434782608696,0,0.104325130459483
METHOD,SNR_X_L,-6|L=8,-6,CORE_LITE,,,80,80,1,0.361420807370024,0.565389263528236,0.310182946265874,0.522015325445528,44.9999999999999,89.9999999999998,0.147213595499958,0.60211102550928,0.999999999999997,3.47213595499959,0.257842712474619,0.655831894563998,0,0,168.8375,385.3375,0.15665465,0.18393042,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_L,-6|L=8,-6,CORE_PLUS,,,80,80,1,0.378593875939979,0.566256563788335,0.305120608034296,0.522015325445528,44.556155113512,81.7201854094838,0.140028153987289,0.571398325294441,0.992457612283936,3.47213595499957,0.21212232502245,0.60283840507455,0.6125,0.3875,1530.9125,3111.0875,0.91123565,1.71068003,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_L,-6|L=8,-6,TANGENT_PROFILE_SAFE,,,80,80,1,0.360555127546399,0.565389263528236,0.30413812651491,0.522015325445528,44.9066938905725,79.329737797201,0.147213595499958,0.573999229583518,0.991666666666669,3.47213595499959,0.23123933623853,0.606871756045653,0.15,0.85,400.7125,875.0875,4.33448605,4.67093918,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_L,-6|L=8,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,11,68,1,0.916666666666667,0,0
PAIRWISE,SNR_X_L,-6|L=8,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,28,29,23,0.549019607843137,0,0.0765005168140475
METHOD,SNR,0,0,CORE_LITE,,,240,240,1,0.413067791046458,0.620534025811459,0.223606797749979,0.509901951359278,45,90,0.182842712474618,0.97932966528421,0.999999999999997,5.836845390596,0.28336261665087,1.02090115308714,0,0,162.2,372.2,0.14578425,0.1825541,0,0,0,0,NaN,NaN,NaN
