global_trial_index,trial_id,element_trial_hash,measurement_hash,checkpoint_valid,scientific_hash,white_target_error_db,runtime_sec
1,MC1_K2_N1_L1_SM6_P1_R01,09dede20a1672ff4f90b4bc1188c4d3252e65551578e344d7322002addf46344,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,de4ddbdd770f89698718920ebc9a63b43b116f4c3451c83e963cb1792cbe2544,6.21724893790088e-15,2.2752021
2,MC1_K2_N1_L1_SP0_P1_R01,0b8d70d678c03c2ab07f508a16dd4e298c18f86c722b0dfefcfbaee5d3c555f5,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,88ef5d5ed77156fe4814562b5e294e2af5ad7cf943253cbfaf200d7e9ae29083,1.06076021320862e-14,1.902748
3,MC1_K2_N1_L1_SP6_P1_R01,d9508cb6d9cedd4c8845c02118997f2cd4e377fb725d8a85efe1d41be2dcaf4f,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,bbfa89a9b105fec0aa9e0b872312a697ec6d7f06fa8c205a67483b9ae6d30d7f,1.06581410364015e-14,1.8937961
4,MC1_K2_N1_L1_SP10_P1_R01,e4ab91178c3994a83804c29636c0306f1574dedd82297390c97d94707a1d5308,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,23a32c8ebbd194a5ec9c53a6c4e3bfcc09141b9daf26c09749021f601d3132f0,5.32907051820075e-15,1.8784261
5,MC1_K2_N1_L1_SP14_P1_R01,ad0c428b9977b63ed23d63ccb11986768752282f110ea1293f82d02d13a98e52,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,c4c50f6534bb9fec5944cbb7d804e7dc85db5f5c7faf1cbb50f2dbbe20eedf62,1.59872115546023e-14,1.9290196
6,MC1_K2_N1_L1_SP18_P1_R01,73aa26cb0940e82f2ab2eff29ca1cfdbaf7e0ebddbb5f0700fe455e90fb33083,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,15309827e962209439074ea3257071d5cfd8092f1f71c2a5faf5c4b061396fff,0,1.8520488
7,MC1_K2_N1_L1_SP22_P1_R01,397bb5a88b26d751af582ada7cd3609e6af5c3cae017d31057d2e5da9f955a23,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,540f3f8e409611074b8a81a6a3268ca22ed59f951fa934b44f324077f74bb7d2,3.5527136788005e-15,1.8419704
8,MC1_K2_N1_L1_SM6_P1_R02,8364cc992f0feb462ae746eb499697f7f56e9c174320c47daa7dc269b0e495b2,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,076ef1d3e5d5586bcefd37b6619d9c1364db05a9cbd895279cd0606b8e3672ed,8.88178419700125e-16,1.8432974
9,MC1_K2_N1_L1_SP0_P1_R02,86e2d6abb8b45df7884aeead1f2ca1a49eb096acd34001519f3160cc2150872c,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,f39f322b1573cfc605e4124cee615a19035248e0b797d5f5bb073d882515b2cc,6.75029226587301e-15,1.8394021
10,MC1_K2_N1_L1_SP6_P1_R02,8aa07ffd783457d9fa1ffd1a5787806d4f1d32ec0dbe8a4f48073374c8982abe,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,5bcfa56ccc530a552340201618d5adc2e34f2bd3fbc7c39e5a7db54657567f3d,7.99360577730113e-15,1.8402653
11,MC1_K2_N1_L1_SP10_P1_R02,ca9be2ce5251246659f747d64e8319128b64f080abcec1b62bffb46b1dadba43,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,20ad56dbd2d25e22f8738722bcffc41f355a48d6bcd4482d813234135d58ea87,1.77635683940025e-15,1.8398856
12,MC1_K2_N1_L1_SP14_P1_R02,1dd8a3f65fe402573afe1eebf924eff530f3ae1703fdaaf33d97fd99252204fa,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,7b86e85adc15ed7a6f1f978af3d58f3e9360d211bc0844d178503df7be48fe36,3.5527136788005e-15,1.8441071
13,MC1_K2_N1_L1_SP18_P1_R02,bace1c45c8db3c8bb3b567a0c34279f4c44e04646ea4520576caa9bbca6f90a2,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,f1708ac44855710a2a9f6517d5e75cf999f839762c1d9fd568b92fff4830b992,7.105427357601e-15,1.8350023
14,MC1_K2_N1_L1_SP22_P1_R02,d7fc9b467790b16e6a4d28be626c85f59f9acaeecbe8b38b00219e4833466172,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,c3f473d5de46954e5e8199240eaa303ebeeefdf8fb174deed2011c477dd8bc3e,0,1.8812391
15,MC1_K2_N1_L1_SM6_P1_R03,d868b9f3627662cbc4ea7cf898451698b3e048a6603e4332fac399a1ae49774e,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,6a27fb9a5bce4cb26f199c8377d7685e52b10f6908b244fd12adcb2755c013b2,1.4210854715202e-14,1.8682356
16,MC1_K2_N1_L1_SP0_P1_R03,fbc8a64a7008be052a90b0a3c05335a60bd80a7e9b6d1b2634332c67f493092a,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,7dbb1e3375ecfd87a06d041343175ee8115f63b17240c9014db5d7a98779469d,8.67894719897959e-15,1.914277
