global_trial_index,trial_id,K,mode,noise_profile_id,L,snr_db,profile_id,element_trial_hash,fit_valid,fit_status,selected_source,selected_start_id,angles_hat_deg,joint_rmse_deg,rss,loglik_concentrated,effective_rank,score_call_count,svd_call_count,runtime_sec,fixed_grid_angles_deg,fixed_grid_joint_rmse_deg,fixed_grid_rss,fixed_grid_loglik,fixed_grid_valid,fixed_grid_condition_number,continuous_rss,continuous_loglik,continuous_valid,continuous_upgrade_flag,fallback_flag,q,single_cpi_flag,same_range_doppler_cell_flag,cross_cpi_data_used_flag,tracking_input_used_flag,K_estimated_inside_module_flag,truth_used_in_fit_flag
82,V22_K2_N1_L1_SP6_P2,2,CORE_PLUS,WHITE,1,6,P2,17fb6f3c8e3cda297445b5a887a8c56f0b8d995c309263dfeefac0df32eddc0f,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B2_K2_GROUPED_Q1_KQ2,[8.1943418648174688 10.02423602530828;8.5999999999999996 10.02423602530828],0.223690810386486,4.2377190778534,-13.2105728385868,2,2087,4221,1.7019888,[8.5999999999999996 9.8000000000000007;8.1999999999999993 10],0.264575131106459,4.34830353181314,-13.5969819164134,1,35.1177917553855,4.2377190778534,-13.2105728385868,1,1,0,51.8069369025886,1,1,0,0,0,0
83,V22_K2_N1_L1_SP6_P3,2,CORE_LITE,WHITE,1,6,P3,7b061787d767aba2f9f3cedc9c8fefe192956cab6d5586df292537afe6072045,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q2_KQ1_PLUS_KQ1,[8 10;8 10.199999999999999],0.103077640640441,43.3957722431423,-48.1056256103406,2,163,379,0.1690248,[8 10;8 10.199999999999999],0.103077640640441,43.3957722431423,-48.1056256103406,1,311.460808164941,NaN,NaN,0,0,0,15.0068023543143,1,1,0,0,0,0
83,V22_K2_N1_L1_SP6_P3,2,CORE_PLUS,WHITE,1,6,P3,7b061787d767aba2f9f3cedc9c8fefe192956cab6d5586df292537afe6072045,1,VALID_FOR_LRT,FIXED_GRID_FALLBACK,K2_GROUPED_Q2_KQ1_PLUS_KQ1,[8 10;8 10.199999999999999],0.103077640640441,43.3957722431423,-48.1056256103406,2,3663,7379,3.0144316,[8 10;8 10.199999999999999],0.103077640640441,43.3957722431423,-48.1056256103406,1,311.460808164941,NaN,NaN,0,0,1,15.0068023543143,1,1,0,0,0,0
84,V22_K2_N1_L1_SP6_P4,2,CORE_LITE,WHITE,1,6,P4,4aff02ed15e9706631196e55822a10c70bae0233784366b2c15c89be72239105,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q2_KQ1_PLUS_KQ1,[7.7999999999999998 9.8000000000000007;8.1999999999999993 10],0.240684299837223,13.5299488172122,-30.6237801601738,2,150,346,0.1492276,[7.7999999999999998 9.8000000000000007;8.1999999999999993 10],0.240684299837223,13.5299488172122,-30.6237801601738,1,35.2369967632778,NaN,NaN,0,0,0,9.83738744086221,1,1,0,0,0,0
84,V22_K2_N1_L1_SP6_P4,2,CORE_PLUS,WHITE,1,6,P4,4aff02ed15e9706631196e55822a10c70bae0233784366b2c15c89be72239105,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B2_K2_GROUPED_Q1_KQ2,[8.1634058105505947 9.9437259731036995;8.3476860457166797 9.9437259731036995],0.169435563694396,11.8189850673789,-28.5958024100173,2,2655,5357,2.1552183,[7.7999999999999998 9.8000000000000007;8.1999999999999993 10],0.240684299837223,13.5299488172122,-30.6237801601738,1,35.2369967632778,11.8189850673789,-28.5958024100173,1,1,0,9.83738744086221,1,1,0,0,0,0
85,V22_K2_N1_L4_SM6_P1,2,CORE_LITE,WHITE,4,-6,P1,3ee779b17573bd63c985408b16dd13d175c28ce2dda16b7c466679a18a2e8430,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q2_KQ1_PLUS_KQ1,[7.7999999999999998 10;8.1999999999999993 10.199999999999999],0.137333133996172,58.7278793697255,-127.397993062994,2,171,387,0.1675463,[7.7999999999999998 10;8.1999999999999993 10.199999999999999],0.137333133996172,58.7278793697255,-127.397993062994,1,35.2809710148363,NaN,NaN,0,0,0,88.1505156159949,1,1,0,0,0,0
85,V22_K2_N1_L4_SM6_P1,2,CORE_PLUS,WHITE,4,-6,P1,3ee779b17573bd63c985408b16dd13d175c28ce2dda16b7c466679a18a2e8430,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B2_K2_GROUPED_Q1_KQ2,[7.671333173388879 9.8909111938933769;8.1001415486271426 10.100999106039676],0.157513539940681,57.1551747709877,-125.769315416572,2,3451,6948,2.8213519,[7.7999999999999998 10;8.1999999999999993 10.199999999999999],0.137333133996172,58.7278793697255,-127.397993062994,1,35.2809710148363,57.1551747709877,-125.769315416572,1,1,0,88.1505156159949,1,1,0,0,0,0
86,V22_K2_N1_L4_SM6_P2,2,CORE_LITE,WHITE,4,-6,P2,96306aa976acf7a75482f02b7ee3279cc459692ab7f3183d82f2cb54d82db919,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q1_KQ2,[8 10;8.5999999999999996 10],0.223606797749979,54.3660698445756,-122.767534008302,2,146,342,0.157283,[8 10;8.5999999999999996 10],0.223606797749979,54.3660698445756,-122.767534008302,1,17.4047023480188,NaN,NaN,0,0,0,51.8069369025886,1,1,0,0,0,0
86,V22_K2_N1_L4_SM6_P2,2,CORE_PLUS,WHITE,4,-6,P2,96306aa976acf7a75482f02b7ee3279cc459692ab7f3183d82f2cb54d82db919,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B2_K2_GROUPED_Q2_KQ1_PLUS_KQ1,[7.963694841658552 9.9943912734056521;8.5974590660426404 9.9943912734056521],0.231434556397125,54.3153106669508,-122.711488513396,2,1292,2635,1.1046052,[8 10;8.5999999999999996 10],0.223606797749979,54.3660698445756,-122.767534008302,1,17.4047023480188,54.3153106669508,-122.711488513396,1,1,0,51.8069369025886,1,1,0,0,0,0
87,V22_K2_N1_L4_SM6_P3,2,CORE_LITE,WHITE,4,-6,P3,12a6810c9f150e3d744f3560e4bb48128be15fb65e199b0f57c2d2262b11c1ce,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q1_KQ2,[7.7999999999999998 10;7.7999999999999998 10.199999999999999],0.103077640640442,53.5279033504294,-121.835303971028,2,182,418,0.1762301,[7.7999999999999998 10;7.7999999999999998 10.199999999999999],0.103077640640442,53.5279033504294,-121.835303971028,1,311.461666259443,NaN,NaN,0,0,0,15.0068023543143,1,1,0,0,0,0
