method_id,white_beamspace_snr_target_db,applicable_count,runtime_sec_median,runtime_sec_p90,score_call_count_median,SVD_call_count_median,eig_call_count_median
BEAMSPACE_MUSIC_K2,-6,160,0.0333098559821429,0.0412159180357143,19521,0,1
BEAMSPACE_MUSIC_K2,0,160,0.0333954539285714,0.0409940180357143,19521,0,1
BEAMSPACE_MUSIC_K2,6,160,0.0332647039285714,0.0414337180357143,19521,0,1
BEAMSPACE_MUSIC_K2,10,160,0.0332866559821429,0.0416189880357143,19521,0,1
BEAMSPACE_MUSIC_K2,14,160,0.0332649559821429,0.0412073180357143,19521,0,1
BEAMSPACE_MUSIC_K2,18,160,0.0332754539285714,0.0407487580357143,19521,0,1
BEAMSPACE_MUSIC_K2,22,160,0.0333028039285714,0.040911647625,19521,0,1
CORE_LITE,-6,240,0.1466588,0.17862053,151,347,NaN
CORE_LITE,0,240,0.14578425,0.1825541,163,379,NaN
CORE_LITE,6,240,0.1442249,0.17765232,163.5,379.5,NaN
CORE_LITE,10,240,0.14104495,0.17085205,151,347,NaN
CORE_LITE,14,240,0.1390463,0.1698178,150,346,NaN
CORE_LITE,18,240,0.13540875,0.17534736,150,346,NaN
CORE_LITE,22,240,0.1358532,0.16176324,150,346,NaN
CORE_PLUS,-6,240,0.9796951,1.84964335,1351.5,2752,NaN
CORE_PLUS,0,240,1.3366567,2.07743438,1877.5,3802.5,NaN
CORE_PLUS,6,240,1.3195273,2.49824179,1839.5,3724.5,NaN
CORE_PLUS,10,240,1.50144875,2.59375201,2081.5,4210,NaN
CORE_PLUS,14,240,1.810723,2.62605287,2365,4778,NaN
CORE_PLUS,18,240,2.09411585,2.7055152,2900,5847.5,NaN
CORE_PLUS,22,240,2.33084945,2.66041041,3226.5,6503,NaN
ELEMENT_MUSIC_K2,-6,160,5.18221803910714,5.55390871857143,19521,0,1
ELEMENT_MUSIC_K2,0,160,5.18259742883929,5.61456634857143,19521,0,1
ELEMENT_MUSIC_K2,6,160,5.18048162883929,5.59051107857143,19521,0,1
ELEMENT_MUSIC_K2,10,160,5.19211668910714,5.58381706857143,19521,0,1
ELEMENT_MUSIC_K2,14,160,5.18682248910714,5.52648388857143,19521,0,1
ELEMENT_MUSIC_K2,18,160,5.18145512883929,5.57104430857143,19521,0,1
ELEMENT_MUSIC_K2,22,160,5.19698707883929,5.57100516857143,19521,0,1
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,-6,90,0.0006103,0.00083835,0,1,2
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,0,90,0.00062155,0.00082143,0,1,2
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,6,90,0.0006395,0.0008077,0,1,2
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,10,90,0.00062345,0.00078474,0,1,2
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,14,90,0.00062755,0.00080406,0,1,2
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,18,90,0.00060485,0.00079644,0,1,2
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,22,90,0.00063705,0.00083398,0,1,2
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,-6,90,0.00178375,0.00208344,61,0,1
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,0,90,0.00178265,0.00212467,61,0,1
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,6,90,0.0018056,0.00205404,61,0,1
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,10,90,0.00182595,0.00205561,61,0,1
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,14,90,0.001804,0.00212041,61,0,1
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,18,90,0.0018155,0.00211811,61,0,1
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,22,90,0.00178455,0.00205057,61,0,1
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,-6,180,0.0012175,0.00143373,401,0,1
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,0,180,0.0012252,0.00149276,401,0,1
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,6,180,0.0012295,0.00151796,401,0,1
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,10,180,0.00120255,0.00139919,401,0,1
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,14,180,0.0012127,0.0014301,401,0,1
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,18,180,0.00120945,0.0014177,401,0,1
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,22,180,0.0012107,0.00140444,401,0,1
FULL4D_BEAMSPACE_CML_MULTISTART,-6,240,1.8878045,3.5256202,2087.5,4175,0
FULL4D_BEAMSPACE_CML_MULTISTART,0,240,2.4862304,4.23816513,2735.5,5471,0
FULL4D_BEAMSPACE_CML_MULTISTART,6,240,3.0061062,4.71043637,3329,6658,0
FULL4D_BEAMSPACE_CML_MULTISTART,10,240,3.7104394,4.96076763,4106,8212,0
FULL4D_BEAMSPACE_CML_MULTISTART,14,240,4.1284405,5.07467845,4684,9368,0
FULL4D_BEAMSPACE_CML_MULTISTART,18,240,4.24257445,5.26527089,4902.5,9805,0
FULL4D_BEAMSPACE_CML_MULTISTART,22,240,4.2552973,5.09951007,4912,9824,0
FULL4D_ELEMENT_CML_MULTISTART,-6,0,NaN,NaN,NaN,NaN,NaN
FULL4D_ELEMENT_CML_MULTISTART,0,0,NaN,NaN,NaN,NaN,NaN
FULL4D_ELEMENT_CML_MULTISTART,6,0,NaN,NaN,NaN,NaN,NaN
FULL4D_ELEMENT_CML_MULTISTART,10,40,14.57455755,93.51990804,4095,4095,0
FULL4D_ELEMENT_CML_MULTISTART,14,40,13.54723435,93.22383723,4243.5,4243.5,0
FULL4D_ELEMENT_CML_MULTISTART,18,40,18.46523115,91.25365344,4699,4699,0
FULL4D_ELEMENT_CML_MULTISTART,22,40,14.43968625,90.30650545,4858.5,4858.5,0
TANGENT_PROFILE_SAFE,-6,240,4.3201058,4.69187262,362,795,NaN
TANGENT_PROFILE_SAFE,0,240,4.32295105,4.64399566,413,899,NaN
TANGENT_PROFILE_SAFE,6,240,4.34069755,4.68786155,415,905.5,NaN
TANGENT_PROFILE_SAFE,10,240,4.33768945,4.67781407,404,880,NaN
TANGENT_PROFILE_SAFE,14,240,4.33973625,4.79075782,402,878,NaN
TANGENT_PROFILE_SAFE,18,240,4.32597745,4.72370073,400,874,NaN
TANGENT_PROFILE_SAFE,22,240,4.32606715,4.67176089,398,869,NaN
