scope_type,scope_value,method_id,total_count,applicable_count,fit_valid_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_runtime_sec,paired_count,tangent_wins,ties,tangent_losses,median_paired_delta_deg,reference_status
ELEMENT_SUBSET_OVERALL,ALL,TANGENT_PROFILE_SAFE,160,160,160,0.106516942509554,0.361600448509833,4.34197345,0,0,0,0,NaN,ELEMENT_REFERENCE_DESCRIPTIVE
ELEMENT_SUBSET_OVERALL,ALL,FULL4D_BEAMSPACE_CML_MULTISTART,160,160,160,0.16573711439124,0.394344921055015,4.13839015,160,122,0,38,-0.0337288246620313,ELEMENT_REFERENCE_DESCRIPTIVE
ELEMENT_SUBSET_OVERALL,ALL,FULL4D_ELEMENT_CML_MULTISTART,160,160,160,0.163061625755478,0.376437669478847,13.54723435,160,109,0,51,-0.0271229235448992,ELEMENT_REFERENCE_DESCRIPTIVE
SNR,10,TANGENT_PROFILE_SAFE,40,40,40,0.155032197538593,0.409454876438213,4.33793875,0,0,0,0,NaN,ELEMENT_REFERENCE_DESCRIPTIVE
SNR,10,FULL4D_BEAMSPACE_CML_MULTISTART,40,40,40,0.214157192346987,0.449460481507406,3.97260125,40,31,0,9,-0.0292416148987259,ELEMENT_REFERENCE_DESCRIPTIVE
SNR,10,FULL4D_ELEMENT_CML_MULTISTART,40,40,40,0.17881159177464,0.420796804171092,14.57455755,40,26,0,14,-0.024120538331353,ELEMENT_REFERENCE_DESCRIPTIVE
SNR,14,TANGENT_PROFILE_SAFE,40,40,40,0.103514342081654,0.3,4.36550195,0,0,0,0,NaN,ELEMENT_REFERENCE_DESCRIPTIVE
SNR,14,FULL4D_BEAMSPACE_CML_MULTISTART,40,40,40,0.171246654032193,0.407632171882891,4.1413745,40,33,0,7,-0.0482015868206661,ELEMENT_REFERENCE_DESCRIPTIVE
SNR,14,FULL4D_ELEMENT_CML_MULTISTART,40,40,40,0.16608367896022,0.379115248233308,13.54723435,40,29,0,11,-0.0354078276346627,ELEMENT_REFERENCE_DESCRIPTIVE
SNR,18,TANGENT_PROFILE_SAFE,40,40,40,0.0882434503400769,0.262050221392713,4.3261982,0,0,0,0,NaN,ELEMENT_REFERENCE_DESCRIPTIVE
SNR,18,FULL4D_BEAMSPACE_CML_MULTISTART,40,40,40,0.160445089776782,0.375616354796031,4.2898118,40,31,0,9,-0.0365740708680245,ELEMENT_REFERENCE_DESCRIPTIVE
SNR,18,FULL4D_ELEMENT_CML_MULTISTART,40,40,40,0.160507841911631,0.364875033612776,18.46523115,40,28,0,12,-0.0239222399235337,ELEMENT_REFERENCE_DESCRIPTIVE
SNR,22,TANGENT_PROFILE_SAFE,40,40,40,0.0818828486866998,0.223606797749979,4.33285215,0,0,0,0,NaN,ELEMENT_REFERENCE_DESCRIPTIVE
SNR,22,FULL4D_BEAMSPACE_CML_MULTISTART,40,40,40,0.151538053705659,0.303199361650825,4.2301869,40,27,0,13,-0.0271741954032898,ELEMENT_REFERENCE_DESCRIPTIVE
SNR,22,FULL4D_ELEMENT_CML_MULTISTART,40,40,40,0.143303971582688,0.260753177450968,14.43968625,40,26,0,14,-0.0134254663986688,ELEMENT_REFERENCE_DESCRIPTIVE
PROFILE,P1,TANGENT_PROFILE_SAFE,40,40,40,0.0870716341846733,0.156979007004768,4.2855004,0,0,0,0,NaN,ELEMENT_REFERENCE_DESCRIPTIVE
PROFILE,P1,FULL4D_BEAMSPACE_CML_MULTISTART,40,40,40,0.109600369383631,0.164117759304392,4.2400984,40,26,0,14,-0.00397603717866819,ELEMENT_REFERENCE_DESCRIPTIVE
PROFILE,P1,FULL4D_ELEMENT_CML_MULTISTART,40,40,40,0.107991121409101,0.1570431833251,14.4818776,40,26,0,14,-0.0103836064821449,ELEMENT_REFERENCE_DESCRIPTIVE
PROFILE,P2,TANGENT_PROFILE_SAFE,40,40,40,0.223606797749979,0.377544803312652,4.43991635,0,0,0,0,NaN,ELEMENT_REFERENCE_DESCRIPTIVE
PROFILE,P2,FULL4D_BEAMSPACE_CML_MULTISTART,40,40,40,0.239550641706836,0.501735064965329,3.5933117,40,29,0,11,-0.0269892149819995,ELEMENT_REFERENCE_DESCRIPTIVE
PROFILE,P2,FULL4D_ELEMENT_CML_MULTISTART,40,40,40,0.227891108595694,0.383255256927122,13.54723435,40,26,0,14,-0.0157961256830071,ELEMENT_REFERENCE_DESCRIPTIVE
