measurement_config_id,stratum_id,L,noise_profile_id,profile_id,row_count,valid_fit_fraction,lrt_split_detection_rate,separation_evaluated_rate,joint_refinement_improvement_fraction,mean_joint_2d_rmse_deg,mean_separation_vector_error_deg
PRIMARY_RECT_E14_A31,K1V_L4_N2,4,STAGE5_TOEPLITZ_CORRELATED,7,1,1,0,0,0,0.36975090094892,0.544851277882462
PRIMARY_RECT_E14_A31,K1V_L4_N2,4,STAGE5_TOEPLITZ_CORRELATED,8,1,1,0,0,1,0.130726684705407,0.168397934596207
SENSITIVITY_FULL_PARENT_5X5,K1V_L4_N2,4,STAGE5_TOEPLITZ_CORRELATED,8,1,1,0,0,1,0.130726684705407,0.168397934596207
PRIMARY_RECT_E14_A31,K1V_L8_N1,8,WHITE,1,1,1,1,1,1,0.0249999999999995,0.0499999999999989
SENSITIVITY_FULL_PARENT_5X5,K1V_L8_N1,8,WHITE,1,1,1,1,1,1,0.0249999999999995,0.0499999999999989
PRIMARY_RECT_E14_A31,K1V_L8_N1,8,WHITE,2,1,1,1,0,0,0.211086981264598,0.422173962529195
PRIMARY_RECT_E14_A31,K1V_L8_N1,8,WHITE,3,1,1,1,0,1,0.199036153271644,0.28010990920832
PRIMARY_RECT_E14_A31,K1V_L8_N1,8,WHITE,4,1,1,1,0,1,0.141421356237309,0.199999999999999
PRIMARY_RECT_E14_A31,K1V_L8_N1,8,WHITE,5,1,1,1,0,0,0.264829414799854,0.283793015722609
PRIMARY_RECT_E14_A31,K1V_L8_N1,8,WHITE,6,1,1,1,0,1,0.174422147285716,0.267754256464842
PRIMARY_RECT_E14_A31,K1V_L8_N1,8,WHITE,7,1,1,0,0,0,0.506671223529162,0.544851277882462
PRIMARY_RECT_E14_A31,K1V_L8_N1,8,WHITE,8,1,1,0,0,1,0.183177324437644,0.366354648875288
SENSITIVITY_FULL_PARENT_5X5,K1V_L8_N1,8,WHITE,8,1,1,0,0,1,0.183177324437644,0.366354648875288
PRIMARY_RECT_E14_A31,K1V_L8_N2,8,STAGE5_TOEPLITZ_CORRELATED,1,1,1,1,1,1,0.0249999999999995,0.0499999999999989
SENSITIVITY_FULL_PARENT_5X5,K1V_L8_N2,8,STAGE5_TOEPLITZ_CORRELATED,1,1,1,1,1,1,0.0249999999999995,0.0499999999999989
PRIMARY_RECT_E14_A31,K1V_L8_N2,8,STAGE5_TOEPLITZ_CORRELATED,2,1,1,1,0,1,0.159807621135332,0.148841872776901
PRIMARY_RECT_E14_A31,K1V_L8_N2,8,STAGE5_TOEPLITZ_CORRELATED,3,1,1,1,0,1,0.104071036404692,0.208142072809383
PRIMARY_RECT_E14_A31,K1V_L8_N2,8,STAGE5_TOEPLITZ_CORRELATED,4,1,1,1,0,1,0,0
PRIMARY_RECT_E14_A31,K1V_L8_N2,8,STAGE5_TOEPLITZ_CORRELATED,5,1,1,1,0,1,0.123022839112229,0.143312510873733
PRIMARY_RECT_E14_A31,K1V_L8_N2,8,STAGE5_TOEPLITZ_CORRELATED,6,1,1,1,0,1,0.174422147285716,0.267754256464842
PRIMARY_RECT_E14_A31,K1V_L8_N2,8,STAGE5_TOEPLITZ_CORRELATED,7,1,1,1,0,0,0.254950975679639,0.299999999999999
PRIMARY_RECT_E14_A31,K1V_L8_N2,8,STAGE5_TOEPLITZ_CORRELATED,8,1,1,0,0,1,0.183177324437645,0.232842712474617
SENSITIVITY_FULL_PARENT_5X5,K1V_L8_N2,8,STAGE5_TOEPLITZ_CORRELATED,8,1,1,1,1,1,0.183177324437645,0.232842712474617
