global_trial_index,trial_id,K,noise_profile_id,noise_index,L,L_index,profile_id,profile_index,center_az_deg,center_el_deg,separation_deg,direction_deg,secondary_power_db,correlation_magnitude,source_correlation_contract,white_beamspace_snr_target_db,snr_db,snr_index,replicate_id,base_realization_index,base_realization_id,paired_original_trial_id,source_seed,noise_seed,snr_control_domain,protocol_id,cpi_id,range_doppler_cell_id,single_cpi_flag,same_range_doppler_cell_flag,cross_cpi_data_used_flag,tracking_input_used_flag,K_estimated_inside_module_flag,measurement_hash,element_trial_hash,resulting_element_snr_expected_db,resulting_raw_beamspace_snr_expected_db,resulting_white_beamspace_snr_expected_db
11,MC1_K2_N1_L1_SP10_P1_R02,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,10,10,4,2,1,MC1_BASE_N1_L1_P1_R02,MC1_BASE_N1_L1_P1_R02,430100001,430200001,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ca9be2ce5251246659f747d64e8319128b64f080abcec1b62bffb46b1dadba43,-11.4197204329465,19.8242645737308,10
12,MC1_K2_N1_L1_SP14_P1_R02,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,14,14,5,2,1,MC1_BASE_N1_L1_P1_R02,MC1_BASE_N1_L1_P1_R02,430100001,430200001,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1dd8a3f65fe402573afe1eebf924eff530f3ae1703fdaaf33d97fd99252204fa,-7.41972043294654,23.8242645737308,14
13,MC1_K2_N1_L1_SP18_P1_R02,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,18,18,6,2,1,MC1_BASE_N1_L1_P1_R02,MC1_BASE_N1_L1_P1_R02,430100001,430200001,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,bace1c45c8db3c8bb3b567a0c34279f4c44e04646ea4520576caa9bbca6f90a2,-3.41972043294654,27.8242645737308,18
14,MC1_K2_N1_L1_SP22_P1_R02,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,22,22,7,2,1,MC1_BASE_N1_L1_P1_R02,MC1_BASE_N1_L1_P1_R02,430100001,430200001,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,d7fc9b467790b16e6a4d28be626c85f59f9acaeecbe8b38b00219e4833466172,0.580279567053466,31.8242645737308,22
15,MC1_K2_N1_L1_SM6_P1_R03,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,-6,-6,1,3,2,MC1_BASE_N1_L1_P1_R03,MC1_BASE_N1_L1_P1_R03,430100002,430200002,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,d868b9f3627662cbc4ea7cf898451698b3e048a6603e4332fac399a1ae49774e,-27.4197087381451,3.13615935627318,-6.00000000000001
16,MC1_K2_N1_L1_SP0_P1_R03,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,0,0,2,3,2,MC1_BASE_N1_L1_P1_R03,MC1_BASE_N1_L1_P1_R03,430100002,430200002,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,fbc8a64a7008be052a90b0a3c05335a60bd80a7e9b6d1b2634332c67f493092a,-21.4197087381451,9.13615935627318,-8.67894719897959e-15
17,MC1_K2_N1_L1_SP6_P1_R03,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,6,6,3,3,2,MC1_BASE_N1_L1_P1_R03,MC1_BASE_N1_L1_P1_R03,430100002,430200002,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,e3baddfc5e574cf21cd16341abe26c5ccc944e7b792be23991a974195ae4a237,-15.4197087381451,15.1361593562732,5.99999999999997
18,MC1_K2_N1_L1_SP10_P1_R03,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,10,10,4,3,2,MC1_BASE_N1_L1_P1_R03,MC1_BASE_N1_L1_P1_R03,430100002,430200002,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,057802cda7bc64e00d0ed5e6fc6ce4bb6eab22c6dd68d92ce36575279d891a13,-11.4197087381451,19.1361593562732,9.99999999999998
19,MC1_K2_N1_L1_SP14_P1_R03,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,14,14,5,3,2,MC1_BASE_N1_L1_P1_R03,MC1_BASE_N1_L1_P1_R03,430100002,430200002,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,70df56cfb51c2fd042462ab1dac3aff5b3c036221509756736bc1cd67ab6754d,-7.41970873814507,23.1361593562732,14
20,MC1_K2_N1_L1_SP18_P1_R03,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,18,18,6,3,2,MC1_BASE_N1_L1_P1_R03,MC1_BASE_N1_L1_P1_R03,430100002,430200002,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,dad16bc15b41e0d8e8bb68b87c954276d79360164763a76e105a4da8f1c10f2f,-3.41970873814507,27.1361593562732,18
