global_trial_index,trial_id,K,noise_profile_id,noise_index,L,L_index,profile_id,profile_index,center_az_deg,center_el_deg,separation_deg,direction_deg,secondary_power_db,correlation_magnitude,source_correlation_contract,white_beamspace_snr_target_db,snr_db,snr_index,replicate_id,base_realization_index,base_realization_id,paired_original_trial_id,source_seed,noise_seed,snr_control_domain,protocol_id,cpi_id,range_doppler_cell_id,single_cpi_flag,same_range_doppler_cell_flag,cross_cpi_data_used_flag,tracking_input_used_flag,K_estimated_inside_module_flag,measurement_hash,element_trial_hash,resulting_element_snr_expected_db,resulting_raw_beamspace_snr_expected_db,resulting_white_beamspace_snr_expected_db
522,MC1_K2_N1_L4_SP10_P4_R05,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,10,10,4,5,74,MC1_BASE_N1_L4_P4_R05,MC1_BASE_N1_L4_P4_R05,430100074,430200074,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,74680b6e06986ba4e6e7fd862659aef9f1040ea9fa890f2b8283e7de820f8719,-11.4197205156312,19.8121868247911,10
523,MC1_K2_N1_L4_SP14_P4_R05,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,14,14,5,5,74,MC1_BASE_N1_L4_P4_R05,MC1_BASE_N1_L4_P4_R05,430100074,430200074,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,63ccf4e461e636a33a468809e8137ba56b4e2e79420a6bf6ae1179439ac967ca,-7.41972051563125,23.8121868247911,14
524,MC1_K2_N1_L4_SP18_P4_R05,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,18,18,6,5,74,MC1_BASE_N1_L4_P4_R05,MC1_BASE_N1_L4_P4_R05,430100074,430200074,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,03c5e4c071af879c7504e9574196b3d3380d657e1f8bf2d83d1561bb86a8007f,-3.41972051563125,27.8121868247911,18
525,MC1_K2_N1_L4_SP22_P4_R05,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,22,22,7,5,74,MC1_BASE_N1_L4_P4_R05,MC1_BASE_N1_L4_P4_R05,430100074,430200074,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,c95ca18118292f6ac146403655881e0f26a6a31da8101738ca62e73e5aa5484e,0.580279484368754,31.8121868247911,22
526,MC1_K2_N1_L4_SM6_P4_R06,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,-6,-6,1,6,75,MC1_BASE_N1_L4_P4_R06,MC1_BASE_N1_L4_P4_R06,430100075,430200075,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,3fc748fc2c690580fed123d266523d88283ec0100464650eac6995f1eab6ee01,-27.4197204651662,3.81054634969514,-6
527,MC1_K2_N1_L4_SP0_P4_R06,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,0,0,2,6,75,MC1_BASE_N1_L4_P4_R06,MC1_BASE_N1_L4_P4_R06,430100075,430200075,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,f02e972f8a1c6cbe379c86e0161b629176a8be33bf82a7d1636f59a325b1c372,-21.4197204651662,9.81054634969514,-2.41081866638322e-15
528,MC1_K2_N1_L4_SP6_P4_R06,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,6,6,3,6,75,MC1_BASE_N1_L4_P4_R06,MC1_BASE_N1_L4_P4_R06,430100075,430200075,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,c90c4d6cd3c4085b4d46875ee8d25472e8000ac7855f7b6a3e31141e6fb414ba,-15.4197204651662,15.8105463496951,6
529,MC1_K2_N1_L4_SP10_P4_R06,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,10,10,4,6,75,MC1_BASE_N1_L4_P4_R06,MC1_BASE_N1_L4_P4_R06,430100075,430200075,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,21970c89b8bec881d05cc03875ac6337f08a1afc87a34e71f6739635d042e925,-11.4197204651662,19.8105463496951,10
530,MC1_K2_N1_L4_SP14_P4_R06,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,14,14,5,6,75,MC1_BASE_N1_L4_P4_R06,MC1_BASE_N1_L4_P4_R06,430100075,430200075,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1459311ec86a727f298d699373503166fe4a58fc56601b8bc5e46665ef78b913,-7.41972046516616,23.8105463496951,14
531,MC1_K2_N1_L4_SP18_P4_R06,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,18,18,6,6,75,MC1_BASE_N1_L4_P4_R06,MC1_BASE_N1_L4_P4_R06,430100075,430200075,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,06d42a63736e93416cbccc39df315d7ecabf75310100f31d18bd27d187ae5d96,-3.41972046516616,27.8105463496951,18
532,MC1_K2_N1_L4_SP22_P4_R06,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,22,22,7,6,75,MC1_BASE_N1_L4_P4_R06,MC1_BASE_N1_L4_P4_R06,430100075,430200075,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,350e24a27b1460a9a28ba96f05dfea3d9deaf48171e477c1ea8a691adfe99fc8,0.580279534833841,31.8105463496951,22
533,MC1_K2_N1_L4_SM6_P4_R07,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,-6,-6,1,7,76,MC1_BASE_N1_L4_P4_R07,MC1_BASE_N1_L4_P4_R07,430100076,430200076,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,88e08a9476a25a6b6b183788692b0a6b4fb9cbbffa3c343b5f59c7ecae81e6c0,-27.4197204810564,3.80985879444931,-6
534,MC1_K2_N1_L4_SP0_P4_R07,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,0,0,2,7,76,MC1_BASE_N1_L4_P4_R07,MC1_BASE_N1_L4_P4_R07,430100076,430200076,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,2061dfa6d686bf5addd42b78e33f27c76d1e3e1bc3cf56cbb2d482ee9e8c12f4,-21.4197204810564,9.80985879444931,-1.44649119982993e-15
535,MC1_K2_N1_L4_SP6_P4_R07,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,6,6,3,7,76,MC1_BASE_N1_L4_P4_R07,MC1_BASE_N1_L4_P4_R07,430100076,430200076,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,efc2a1f7d428db6029ab9150ff0cf2ba14e9455f2bf12a5ff837627b09dfba8b,-15.4197204810564,15.8098587944493,6
536,MC1_K2_N1_L4_SP10_P4_R07,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,10,10,4,7,76,MC1_BASE_N1_L4_P4_R07,MC1_BASE_N1_L4_P4_R07,430100076,430200076,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,89c5dbd1953111956c0f9dc32963c89158a683e00360797f673c02ff8735f07a,-11.4197204810564,19.8098587944493,10
537,MC1_K2_N1_L4_SP14_P4_R07,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,14,14,5,7,76,MC1_BASE_N1_L4_P4_R07,MC1_BASE_N1_L4_P4_R07,430100076,430200076,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,69b26b94920c7f065b512285eacf1ee8517e47f5972881e106ba20b14387c329,-7.41972048105643,23.8098587944493,14
538,MC1_K2_N1_L4_SP18_P4_R07,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,18,18,6,7,76,MC1_BASE_N1_L4_P4_R07,MC1_BASE_N1_L4_P4_R07,430100076,430200076,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,c17e964ce76f6d80a7b2eeed368050b9a005089722cf7d3e62da3e01121b34fd,-3.41972048105642,27.8098587944493,18
539,MC1_K2_N1_L4_SP22_P4_R07,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,22,22,7,7,76,MC1_BASE_N1_L4_P4_R07,MC1_BASE_N1_L4_P4_R07,430100076,430200076,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,5ccfd5df3d8f976eb5db912941530a86e74d062b1f43cc7dc4e00072b2672cbb,0.580279518943579,31.8098587944493,22
540,MC1_K2_N1_L4_SM6_P4_R08,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,-6,-6,1,8,77,MC1_BASE_N1_L4_P4_R08,MC1_BASE_N1_L4_P4_R08,430100077,430200077,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,b5eb3cef006511d85ca1a624c4ac189e4a057fbd8e904b4f60f6915e6bf1b4e8,-27.4197200455918,3.78459823142405,-6
541,MC1_K2_N1_L4_SP0_P4_R08,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,0,0,2,8,77,MC1_BASE_N1_L4_P4_R08,MC1_BASE_N1_L4_P4_R08,430100077,430200077,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ee2972850f33bce6067dc04f09b105b3f00468539b17d27d36136b839f0e30a8,-21.4197200455918,9.78459823142405,9.64327466553287e-16
542,MC1_K2_N1_L4_SP6_P4_R08,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,6,6,3,8,77,MC1_BASE_N1_L4_P4_R08,MC1_BASE_N1_L4_P4_R08,430100077,430200077,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ea8be5191b92cad533ab84493e8cc5c959d8dadfd08a0c5c2a1832dce93568bc,-15.4197200455918,15.784598231424,6
543,MC1_K2_N1_L4_SP10_P4_R08,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,10,10,4,8,77,MC1_BASE_N1_L4_P4_R08,MC1_BASE_N1_L4_P4_R08,430100077,430200077,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,3772886227f0ce8ac20771492eb4ffd0d5919310f85b615d73ac9d05ab190b80,-11.4197200455918,19.784598231424,10
544,MC1_K2_N1_L4_SP14_P4_R08,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,14,14,5,8,77,MC1_BASE_N1_L4_P4_R08,MC1_BASE_N1_L4_P4_R08,430100077,430200077,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ebde3ff5c46f85cec13ec5f006902dc931d4ff69f5a026029cc03825e21c7cb0,-7.41972004559184,23.784598231424,14
545,MC1_K2_N1_L4_SP18_P4_R08,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,18,18,6,8,77,MC1_BASE_N1_L4_P4_R08,MC1_BASE_N1_L4_P4_R08,430100077,430200077,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,53d3e27e188bc78c3e8ff8d4d525681f98c8005aebe53e3fe352a02279485752,-3.41972004559185,27.784598231424,18
546,MC1_K2_N1_L4_SP22_P4_R08,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,22,22,7,8,77,MC1_BASE_N1_L4_P4_R08,MC1_BASE_N1_L4_P4_R08,430100077,430200077,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,432c281aadf266337d4d8d9844650ee009fb121823ded47b47ce386111f234be,0.580279954408158,31.784598231424,22
547,MC1_K2_N1_L4_SM6_P4_R09,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,-6,-6,1,9,78,MC1_BASE_N1_L4_P4_R09,MC1_BASE_N1_L4_P4_R09,430100078,430200078,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,5e9018168069ad3671785cf5fcce0b265539e499c70c18fbe9283611716ee19c,-27.4197197934442,3.77287548043619,-5.99999999999999
548,MC1_K2_N1_L4_SP0_P4_R09,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,0,0,2,9,78,MC1_BASE_N1_L4_P4_R09,MC1_BASE_N1_L4_P4_R09,430100078,430200078,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,67ef682b5ac0f025401d09c2f474f1d940ed3053ccb3e1d9b10420dede1cc4d3,-21.4197197934442,9.77287548043619,1.92865493310657e-15
549,MC1_K2_N1_L4_SP6_P4_R09,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,6,6,3,9,78,MC1_BASE_N1_L4_P4_R09,MC1_BASE_N1_L4_P4_R09,430100078,430200078,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,29dd49a0aa988f2e862e0aa52f68d208c8edd520dd3e9169ecfcc2da5869ae66,-15.4197197934442,15.7728754804362,6
550,MC1_K2_N1_L4_SP10_P4_R09,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,10,10,4,9,78,MC1_BASE_N1_L4_P4_R09,MC1_BASE_N1_L4_P4_R09,430100078,430200078,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,4a576a8b913620a603dfd98c0dbb0da912235acb02a12a4cb8c15ced3fe02ecb,-11.4197197934442,19.7728754804362,10
551,MC1_K2_N1_L4_SP14_P4_R09,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,14,14,5,9,78,MC1_BASE_N1_L4_P4_R09,MC1_BASE_N1_L4_P4_R09,430100078,430200078,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,b0b03c79743fc022329022d0f30ac16ce8129dad593d21d1528ec8a306f6e93c,-7.41971979344419,23.7728754804362,14
552,MC1_K2_N1_L4_SP18_P4_R09,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,18,18,6,9,78,MC1_BASE_N1_L4_P4_R09,MC1_BASE_N1_L4_P4_R09,430100078,430200078,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,074b26c84d62849487cb68c66830b63d11c474931872b3b2308d6d069a28997a,-3.41971979344419,27.7728754804362,18
553,MC1_K2_N1_L4_SP22_P4_R09,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,22,22,7,9,78,MC1_BASE_N1_L4_P4_R09,MC1_BASE_N1_L4_P4_R09,430100078,430200078,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,32781436c5d7595316ffb1328f5afb754854df050bb010aca93a48d37271e1b8,0.58028020655581,31.7728754804362,22
554,MC1_K2_N1_L4_SM6_P4_R10,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,-6,-6,1,10,79,MC1_BASE_N1_L4_P4_R10,MC1_BASE_N1_L4_P4_R10,430100079,430200079,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,c2bfc07c86a12c9697fe448dd483f874da4120e422f41bea3167d90b0d48fe5a,-27.4197205219536,3.81304892765359,-6
555,MC1_K2_N1_L4_SP0_P4_R10,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,0,0,2,10,79,MC1_BASE_N1_L4_P4_R10,MC1_BASE_N1_L4_P4_R10,430100079,430200079,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,174dd3a5064c51958ec9caf8c0d5c1f414c719c7fc6de36036ed6fa3d4853e8d,-21.4197205219536,9.8130489276536,-4.82163733276644e-16
556,MC1_K2_N1_L4_SP6_P4_R10,2,WHITE,1,4,2,P4,4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,6,6,3,10,79,MC1_BASE_N1_L4_P4_R10,MC1_BASE_N1_L4_P4_R10,430100079,430200079,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,2ada2e17ed0947c30122dbfcc6eef0e1aa0cf6ed60802c87d4f159b40075419c,-15.4197205219536,15.8130489276536,6
