domain,method_id,nominal_snr_db,profile_id,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,6,P3,60,60,60,0,0,1,0.516666666666667,0.0333333333333333,0.0993952244917287,0.2823459018988,0.252046462037702,0.574507471495499,31.6737105987575,84.587316720307,0.0759535167795915,0.442178672450523,192.8900255,3.2722131,4.8526895,211485,422970,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,6,P4,60,60,60,0,0,1,0.266666666666667,0,0.188893223538928,0.274196561558985,0.385902278823396,0.562950729662691,37.5131480026645,73.4620497874061,0.212357923529786,0.864551578671598,176.3510413,3.17331855,4.52064975,202327,404654,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,10,P1,60,60,60,0,0,1,0.633333333333333,0.0833333333333333,0.0871209300732767,0.206342352559338,0.184762234875374,0.497899560953255,15.4726388023651,48.9070202796639,0.122171764358628,0.475391453481196,211.160426,3.9043513,4.8440136,232243,464486,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,10,P2,60,60,60,0,0,1,0.233333333333333,0,0.132525142370915,0.287448032210096,0.286769624222175,0.529201726577422,25.3408298203618,62.7813104901173,0.20466561177776,0.660133790706705,224.4982132,4.00272495,5.42580705,238190,476380,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,10,P3,60,60,60,0,0,1,0.6,0.0833333333333333,0.0771829558723933,0.237869343310492,0.23624578718648,0.51357143913322,22.9299972680838,77.0339660494068,0.0828681598546533,0.635624521048643,208.9146898,3.6463169,4.6865544,229244,458488,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,10,P4,60,60,60,0,0,1,0.333333333333333,0,0.157177747470894,0.268219941526723,0.327372237141729,0.513923480897327,38.8214829027696,73.2840312512256,0.231869893450637,0.766466163551952,208.237543,3.7407278,4.6409873,234932,469864,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,14,P1,60,60,60,0,0,1,0.783333333333333,0.216666666666667,0.0624616221136526,0.190860137840207,0.14223261993589,0.425639845498842,8.55763242617221,32.8076878532801,0.0885140400346305,0.464462892470134,233.2942625,4.29837025,4.70660465,264089,528178,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,14,P2,60,60,60,0,0,1,0.25,0.0333333333333333,0.131891011537155,0.284545547853157,0.267378259376407,0.518520745770512,19.0020728462002,41.2713864719233,0.275197011798572,0.635690098927346,222.1652423,3.78531915,4.57780025,251952,503904,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,14,P3,60,60,60,0,0,1,0.683333333333333,0.1,0.0694565900968745,0.238006442680216,0.187115300114361,0.47606921450223,14.2151265673662,67.9303440008662,0.0915727825470261,0.598404396980731,222.7657717,4.22603545,4.7337659,248612,497224,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,14,P4,60,60,60,0,0,1,0.383333333333333,0,0.146259952453909,0.265334249040789,0.299448731454554,0.48344219685346,34.739248415178,72.8023533996387,0.298889193057398,0.687089079961848,229.6371639,4.30730755,4.6409647,260689,521378,0,"{""reason"":[],""count"":[]}"
