domain,nominal_snr_db,realized_snr_db,signal_average_power,noise_variance,signal_energy,noise_energy,noise_seed,noise_hash,clean_hash,observation_hash,scenario_id,base_realization_index,profile_id,L,replicate_id,source_hash,truth_hash
BEAMSPACE,-6,-5.90988069054468,54.2935506091912,216.146518123282,814.403259137869,3175.61300654684,580200001,a01ab00e8efb96f453f2d678f4a8918dec7868dc326ad0a4ab7481d0ac67ad69,f0cd17f9e58cdde4e81a41c8df445621ef2dd492ee666047c65fc7d407ff32cf,b34990b863f643227cc2c3ac9e1d8b2ac8af14e667d733613ddc9ebf2d9259f5,RTC_S01_B001,1,P1,1,1,d6553189bd929144ea900e6044ab9d73b500d61c9755b06f05ea186109be08f2,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-4.95803058993943,64.9636464345714,258.62493470905,974.454696518572,3051.86073801627,580200002,6874077b4e53ce1485ffc1370f36ed93bd76ba0595b455c72557fe8757ecfa42,a84ee8ff363905a9af53da1b5f2c1e860e6297a7fbbfc0c6c67b5877de6a3466,34ba4b3df1688bd6609c87bb5a2fc0486b3b2719a0c80e617f48a82cb68ba09b,RTC_S01_B002,2,P1,1,2,7537df28d6329f53b15a5a9ce6763e6974d59bdb73237e741f4fa192c9f7f3e2,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-4.76474158039784,274.305463328845,1092.02971873212,4114.58194993267,12325.3674234001,580200003,c4d7f5592b0c897c615eea776085de950f05e1876350a193fe3f958f36b26908,7a32ecb1015035a4c6b7804cee27f847a25c6dd80d2f0909e00779aec4e53e35,a6b9922a70fe7dd70fdabe1956a7ee48e9be7d8d3e2d8c4c1bd46600a92718d1,RTC_S01_B003,3,P1,1,3,6384f18ebda83ed67106687c3b7f7f533793b83d85a5288b7b4c65978356660f,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-5.77753170722136,106.535629821572,424.125981514007,1598.03444732358,6044.20669358062,580200004,22a6aef17a6d50211c6276daffd0a5e132072d19d2986ba60395445c59f88c98,af008de60e8eff517e535bc043f64bf3a0c66ac0702ecec8e7e4520211f189df,e0c500f9428ab820fd87ec0403ea5da3d64523921ce4880dbecbd5c63ca671a9,RTC_S01_B004,4,P1,1,4,2983dd4ba677408ec48dbd1a6290ab4095fd38039e1491ebdb531644778cfcca,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-8.36325009646534,4.38731444139778,17.4662133859337,65.8097166209667,451.4555852826,580200005,66189f12bc5af277500f74b5ba5d44d87b917259bec9e4b78b2e4d55cd69ee8a,1ee1c54bce3880c4ad227ade72fc11066d4054e98d5bfd8a05d63799348eef30,16f27e5a22f95392ee90eb20c067e4a11d3dc1feca27234cf0736a567965ab6b,RTC_S01_B005,5,P1,1,5,4728889cc47329054636ed2c1f2466749e8880dfea2c0ea6ac84ffebb2efa8e6,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-6.25571676478458,38.2759115265962,152.379148382092,574.138672898943,2424.31181245152,580200006,cdf26273377d13607b5c5a474fa8384ca80ad9fea3f4c42919ece8abdf21140c,e6c591bff7e9119a3c51ae4c624d3f0f9b014b7c91351c8daaa20ff932d620ac,48c6ef3844d8a5080d919b449a6aa9e8a6220706f7eeff231199db00b0150a26,RTC_S01_B006,6,P1,1,6,26464470b6c06671044961862cf853629e1b9f5efb48321cabf8ed2025cddea5,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-7.22641927305629,262.151795383028,1043.64509515457,3932.27693074541,20762.8048839407,580200007,e310cc68e75aaeeb42fc93ba77813d57af2a48065da5ca210deb80a57a4e3132,602511dedc579c2ee7848c91494d9023b79e1ca4dc656c2e040df5aa5f9d6b48,8d001edb7cde7a9fa71401a800801b3496afea154472c8dd93de262c0bd6e36c,RTC_S01_B007,7,P1,1,7,985a58e5f52f2eafc9f59e92e4300efe86dc9e9fba87e3e629d770e9dab567db,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-7.28892560213608,198.513854532631,790.297889436543,2977.70781798947,15950.512485834,580200008,6517d2ddae89e3a37ef97e116cd3fd2de16b63224f83345219e5975a7f671c9e,f02d21fb4802048dac6e2e77a57edc62ebee82987747a0f5ea13262511a0af12,316e8787e91e11830406ab8272fada076cf695db6f8ccf0b74f8a9b0d3191a29,RTC_S01_B008,8,P1,1,8,ccea754bb32af87d8211b6440675c0e0cb9cd29d5db1e9dc2260374ec47f6c8c,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-6.12091562175365,16.6476401015587,66.2754489722447,249.714601523381,1022.19911285279,580200009,d1b9a69c11e36700b6472cc13a7e7e4a399b17461fe288e1de45bb05c05feeb1,718034537e923b270882d9700adbb25795cb18b20f90e7dc184fc243a188afb2,e08c8029970f37488406cf0a1c2ca4243971ac30d06de6b435c227dbbed09cd3,RTC_S01_B009,9,P1,1,9,5fb9018b587c8f68712b9c75096ba3e1249d2a477f03774511f9844e2219bdea,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-5.63368835067877,129.367937836102,515.023036922712,1940.51906754153,7100.46432190541,580200010,60b28e6508c8c32c86360e64b03bf34925891efba567b05804f285c2e2eaa8d8,80fc5dc8206493154ae2a3fb6362327b433f7f2eadff0d63711416d6a32208dc,1fc4c6c7ece0a614b4e7045ed37c75a1531b0478145fbeec762aff1daa03d180,RTC_S01_B010,10,P1,1,10,8f897e9a705064c69aaa0cb11d2709190df16863f520cecbb46e89145f34728a,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-6.39059590071832,3.41413191980083,13.5919039848829,51.2119787970125,223.064853309284,580200011,eaaf958eb7e726f29feb81bc9d76335ad21fe668147caad76a7374316e43ae78,cf265385b3a26aa71b3597d2dc8d08f5703d17062ca15e8ed0efbe9a104d245a,1d35341885e349f1af9ba06fe8c04808c6c20fa4d047c3d0444bdf0f851e8bb3,RTC_S01_B011,11,P1,1,11,aec41aeb6ef3d784a50f64df0382ab9d77011a761fb028bdefdaa46d249ed91f,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-5.81201541238924,13.2875203189842,52.898571178629,199.312804784763,759.86552651696,580200012,ec7f5d8d16c1e45e80d9a5f1a34757a503dd7b3fb9915a0a79f27d61bae4d8f0,5f89c8fb0913f0cd07798f31ce2a393806c792e8a07d78c5aa01ce171d4b8f2f,39f4c7d56667bd6cd6d8eb9fea96b06549258295f36999315c9f19b3e0934157,RTC_S01_B012,12,P1,1,12,73c5eb83e42738fd505bccc945a54bed2fea24a004c928023b5bb3b6423daedc,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-7.18545078590097,213.909400541839,851.588662045063,3208.64100812759,16782.8691405167,580200013,a3a3f761f68c82ad59fc29a20170435c08651d409d7f6e92cf110a6b3b096e70,9a584f3182ab2a7441dda3681de70722152e51b2b6f308a344b1358135b9d926,f14d6f9b14a976cb8b0519ae252a8957fabd642398477778ecdfdf7d7980fef2,RTC_S01_B013,13,P1,1,13,03cadfb64b3cea4a56b05822b4031805db7032775e2ac0ff9861e43d1d34816c,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-7.51412011458076,95.1260629257753,378.703677572743,1426.89094388663,8050.12813350419,580200014,8e093e9858324cbd857a68498be13cb8c3905d8ea6ac5baaf0024e1f0434930f,f9a727801c9e49efc87fb29ca6c86f9ba7e868f41088e343380a70070c2f6dd8,0ba86e1c3c7fa81b2b5d8f091d2afac0cb1582f08268fe952e15e6515bf8a9d3,RTC_S01_B014,14,P1,1,14,d57b3b71c3f62dbe711585d3a524eb1a50b4b4a2c07f882c0b3822bd672989bb,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-5.89256175838887,216.717713389084,862.76875686152,3250.76570083626,12625.3040152946,580200015,9dcdf42ea576fa01cd26356cf853651c13c66d373d53574f7743ef3053b3e981,b1c5b1b8d63f8b8397c93dd46a967e77277f1e6a31ee243eac06c26a8b9f8529,d7fc541a1f0f1ec3cd0c077644df2f63d8f2c47a752c6efa027c014dda5ee5fd,RTC_S01_B015,15,P1,1,15,9462aa816bc26c3d84a2413ac8c1f84939ea751348763ccf62424a1c96d28ac6,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-5.28164501444014,240.387984728554,957.001804353419,3605.81977092831,12166.5800275928,580200016,116f6a7c3e6318ed69e38d19e127c008b696b3901a431583dee7a7b6aa6040ae,98e2af5996bd601821476e849b0bf0450aeebf4a3a11fd91fa6bf6b75ab66d59,9d72fdba502a9193d02267c508f3b89a7ea51753e3e278a334aceaf418ad6aba,RTC_S01_B016,16,P1,1,16,39d749fbeb05bc4a9fe5af87a3a71fe4b84341c566ecf0bdc0772b5553681d35,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
BEAMSPACE,-6,-6.03427462475506,228.885291470159,911.208757684976,3433.27937205239,13776.427361292,580200017,6bd16d51081b6f9a4ffe7815fb7577bb497819436e61ab5638940c122a305512,a5270d6c7242184f5fdae7749180237bf0e2ea95695daf1eb4c9224c1dd12ca1,f0bc1b30cb5a53c608cd29ce588f88bb5124cc95308acfb97193316ec75cabeb,RTC_S01_B017,17,P1,1,17,aaaa138752d4b18b3f803bdc0728edd2776455eb94347c7bcc8aa058a3378ede,0a8f4df832cfb52c28cf1b5a8e34d930d617472c63e0a5dfebf1d9678a63b811
