measurement_identity,case_type,case_id,angle1_az,angle1_el,angle2_az,angle2_el,key1,key2,exact_key_error_deg,legacy_vs_direct_G_rel_error,legacy_vs_direct_G_abs_error,direct_vs_dictionary_G_rel_error,direct_vs_dictionary_G_abs_error,singular_value_abs_error,sigma1_direct,sigma2_direct,sigma1_dictionary,sigma2_dictionary,rank_threshold_direct,rank_threshold_dictionary,rank_threshold_abs_difference,rank_direct,rank_dictionary,rank_match,first_column_rel_error,second_column_rel_error,continuous_numeric_pass,discrete_decision_pass,static_pass,failure_reason
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_12,8,10.2,NaN,NaN,OMEGA_12,NOT_APPLICABLE,0,0,0,1.4297437027153e-11,6.48912877856098e-10,4.9737991503207e-14,45.6070096945491,NaN,45.6070096945491,NaN,1.51901856741573e-13,1.51901856741573e-13,1.76704842769507e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_13,8.2,9.8,NaN,NaN,OMEGA_13,NOT_APPLICABLE,0,0,0,5.87009614632299e-12,2.6441280709072e-10,7.105427357601e-15,45.6070094370778,NaN,45.6070094370778,NaN,1.51901855884022e-13,1.51901855884022e-13,2.52435489670724e-29,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_14,8.2,10,NaN,NaN,OMEGA_14,NOT_APPLICABLE,0,0,0,9.34530189703029e-12,4.14849486344729e-10,1.27897692436818e-13,45.6070167762928,NaN,45.607016776293,NaN,1.51901880328518e-13,1.51901880328519e-13,4.2914033244023e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_15,8.2,10.2,NaN,NaN,OMEGA_15,NOT_APPLICABLE,0,0,0,1.68794235430361e-11,7.68191476989709e-10,2.8421709430404e-14,45.6070094706161,NaN,45.6070094706162,NaN,1.51901855995727e-13,1.51901855995727e-13,1.0097419586829e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_16,8.4,9.8,NaN,NaN,OMEGA_16,NOT_APPLICABLE,0,0,0,1.07079695925897e-11,4.84855370278159e-10,7.105427357601e-15,45.6070093698894,NaN,45.6070093698894,NaN,1.5190185566024e-13,1.51901855660239e-13,2.52435489670724e-29,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_17,8.4,10,NaN,NaN,OMEGA_17,NOT_APPLICABLE,0,0,0,4.12782089658552e-11,1.88211726640292e-09,2.1316282072803e-14,45.607016710693,NaN,45.607016710693,NaN,1.51901880110027e-13,1.51901880110027e-13,5.04870979341448e-29,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_18,8.4,10.2,NaN,NaN,OMEGA_18,NOT_APPLICABLE,0,0,0,5.06905913171387e-12,2.26258172327178e-10,2.8421709430404e-14,45.6070094074824,NaN,45.6070094074824,NaN,1.51901855785449e-13,1.51901855785449e-13,1.0097419586829e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_19,8.6,9.8,NaN,NaN,OMEGA_19,NOT_APPLICABLE,0,0,0,3.66517433468163e-12,1.54881366742542e-10,4.2632564145606e-14,45.6070096665245,NaN,45.6070096665245,NaN,1.51901856648233e-13,1.51901856648233e-13,1.51461293802434e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_20,8.6,10,NaN,NaN,OMEGA_20,NOT_APPLICABLE,0,0,0,7.53902648035132e-11,3.4379334020024e-09,1.13686837721616e-13,45.6070170039655,NaN,45.6070170039656,NaN,1.5190188108682e-13,1.51901881086821e-13,3.78653234506086e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_21,8.6,10.2,NaN,NaN,OMEGA_21,NOT_APPLICABLE,0,0,0,1.63475045623306e-12,6.79402282392327e-11,1.4210854715202e-14,45.6070096936006,NaN,45.6070096936006,NaN,1.51901856738414e-13,1.51901856738414e-13,5.04870979341448e-29,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_01,7.4,9.8,7.4,9.8,OMEGA_01,OMEGA_01,0,0,0,1.16621819034633e-12,5.22860586054041e-11,5.6843418860808e-14,64.4980516096812,5.23012806602657e-15,64.4980516096811,2.72555203706689e-15,2.14821665821589e-13,2.14821665821589e-13,2.01948391736579e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_02,7.4,9.8,7.4,10,OMEGA_01,OMEGA_02,0,0,0,2.73593252280956e-11,1.75910877949761e-09,4.2632564145606e-14,64.3946580070177,3.65066444387715,64.3946580070177,3.65066444387712,2.14477295946761e-13,2.14477295946761e-13,1.51461293802434e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_03,7.4,9.8,7.4,10.2,OMEGA_01,OMEGA_03,0,0,0,5.67720923669321e-12,3.61790249291167e-10,2.93098878501041e-14,64.086076706735,7.27828525499562,64.086076706735,7.27828525499565,2.13449513753133e-13,2.13449513753133e-13,5.04870979341448e-29,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_04,7.4,9.8,7.6,9.8,OMEGA_01,OMEGA_04,0,0,0,6.56864121647816e-12,4.19044193774141e-10,1.4210854715202e-13,64.2973479957137,5.08425758232488,64.2973479957137,5.08425758232474,2.14153188501533e-13,2.14153188501533e-13,5.04870979341448e-29,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_05,7.4,9.8,7.6,10,OMEGA_01,OMEGA_05,0,0,0,4.43951454236456e-11,2.86221161671188e-09,1.70530256582424e-13,64.1950450826357,6.24463696256833,64.1950450826355,6.24463696256848,2.13812451352776e-13,2.13812451352776e-13,5.55358077275592e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_06,7.4,9.8,7.6,10.2,OMEGA_01,OMEGA_06,0,0,0,1.02612667868754e-11,6.5822303159015e-10,2.1316282072803e-14,63.8894830081471,8.83926460102312,63.8894830081471,8.83926460102315,2.12794725201128e-13,2.12794725201128e-13,2.52435489670724e-29,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_07,7.4,9.8,7.8,9.8,OMEGA_01,OMEGA_07,0,0,0,2.64642104199873e-12,1.56858175816212e-10,2.1316282072803e-14,63.6997679892713,10.1162344129433,63.6997679892713,10.1162344129434,2.12162847254909e-13,2.12162847254908e-13,7.57306469012171e-29,2,2,1,NaN,NaN,1,1,1,
