schema_version,fixed_measurement_hash,noise_profile_id,cold_build_median_sec,cold_load_median_sec,online_saving_36_trials_sec,per_trial_saving_sec,cold_build_break_even_trials,cold_load_break_even_trials,status
STAGE8_K2_TFBC_LIFECYCLE_EVIDENCE_V1,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,WHITE,0.3268985,0.00164865,3.2869463,0.0913040638888889,4,1,COLD_BUILD_LOAD_AMORTIZED_WITHIN_IDENTITY_SCOPE
STAGE8_K2_TFBC_LIFECYCLE_EVIDENCE_V1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,STAGE5_TOEPLITZ_CORRELATED,0.32429465,0.0016317,3.59348285,0.0998189680555556,4,1,COLD_BUILD_LOAD_AMORTIZED_WITHIN_IDENTITY_SCOPE
