method_id,applicable_count,valid_count,mean_score_calls,mean_SVD_calls,median_runtime_sec,p90_runtime_sec
CORE_LITE,72,72,149.472222222222,346.305555555556,0.16382735,0.20216747
TANGENT_PROFILE_SAFE,72,72,387.138888888889,847.638888888889,4.81932865,5.17788249
VINCENT_ANCHORED_PROJECTOR_AML_SAFE,72,72,363.402777777778,866.194444444444,4.8978476,5.23805584
FULL4D_BEAMSPACE_CML_MULTISTART,72,72,4204.61111111111,8409.22222222222,4.69843365,5.90923607
