scope_type,scope_value,trial_count,Gamma_median,oriented_direction_median_deg,oriented_direction_p90_deg,axis_direction_median_deg,axis_direction_p90_deg,rho_error_median_deg,rho_error_p90_deg,rho_relative_error_median,rho_relative_error_p90,selected_separation_median_deg,selected_separation_error_median_deg,selected_separation_error_p90_deg,separation_vector_error_median_deg,separation_vector_error_p90_deg,joint_RMSE_median_deg,raw_candidate_valid_rate,fallback_rate,rho_lower_bound_hit_count,upgrade_count,fallback_count,sign_equivalent_tail_count,oriented_166_to_180_count
OVERALL,ALL,72,53.4540337653507,7.78204118069051,166.43295447715,6.57188199675845,27.9703189459496,0.10684032544332,0.227749325192957,0.937832492467984,1.44757790007754,0.210457686316338,0.107609189968802,0.30507622190136,0.124214296061161,0.34828611192046,0.0775186890096949,0.972222222222222,0.180555555555556,23,59,13,13,8
GAMMA_QUARTILE,Q1,18,3.80499565652897,20.3522657979085,94.2175275068923,20.3522657979085,62.8557955684861,0.117780207095266,0.260830236141881,0.99,1.9623927756154,0.259379493668438,0.16592135623731,0.33688295107356,0.190560606587994,0.392282743448463,0.100503548846771,1,0.222222222222222,7,14,4,2,0
GAMMA_QUARTILE,Q2,18,32.3686131242897,8.60346353846986,156.973451792914,8.40387649150021,18.5184940289432,0.0945955306287737,0.18527497554023,0.606030221334269,0.993833333333333,0.179119812587566,0.0984350436967149,0.295633076527839,0.0984964083928982,0.309035280606731,0.0630733451118084,1,0.166666666666667,5,15,3,3,1
GAMMA_QUARTILE,Q3,18,95.9847399554754,4.22961241357624,62.2000737601145,4.22961241357624,14.743717542721,0.116197989121443,0.324628256078513,0.909176976551721,1.92389836375139,0.27470291858577,0.116197989121444,0.339036659610103,0.124214296061161,0.343469524506799,0.0753966043401031,1,0.111111111111111,6,16,2,2,1
GAMMA_QUARTILE,Q4,18,742.8984632269,2.08723698991875,178.836007109547,1.05358852579134,6.05317987422315,0.136654954758071,0.199,0.691686747909385,0.995,0.245986928492148,0.0814829079533871,0.198999999999998,0.0815795299415329,0.199002228507889,0.0892778962221285,0.888888888888889,0.222222222222222,5,14,4,6,6
PROFILE,P1,18,166.333145373742,2.78923286572062,21.0128126090021,2.78923286572056,21.0128126090021,0.0639658159067733,0.266283059550184,0.21321938635591,0.887610198500613,0.348338127119981,0.0818049776175249,0.275679797464466,0.0864088623604575,0.275682131403099,0.0521246308457133,0.944444444444444,0.166666666666667,2,15,3,0,0
PROFILE,P2,18,101.867462657412,162.502149414255,178.836007109547,6.23101504145518,21.4121467122687,0.199,0.317835055785246,0.995,1.58917527892623,0.200000000000001,0.198999999999998,0.473931786601993,0.199003502479375,0.498736100624784,0.113812256177493,1,0.333333333333333,8,12,6,12,8
PROFILE,P3,18,31.568694469897,6.02603857907715,13.4352375470454,6.02603857907723,13.4352375470455,0.106605156226405,0.149,0.710701041509367,0.993333333333333,0.173726374137454,0.0989630650452602,0.149000000000001,0.0994712223949936,0.149024749667928,0.0581319402666474,0.944444444444444,0.111111111111111,4,16,2,0,0
PROFILE,P4,18,16.5711094684211,9.79893537305058,64.0139375614326,9.79893537305053,55.2406633356942,0.099,0.202727859528682,0.99,2.02727859528682,0.136061240049368,0.099,0.249849300656989,0.0990206878533476,0.274318713571566,0.0879198284202637,1,0.111111111111111,9,16,2,1,0
