trial_id,element_trial_hash,profile_id,noise_profile_id,L,SNR,secondary_power_db,correlation_magnitude_registered,effective_correlation_magnitude,rho_true_deg,direction_true_deg,tangent_fit_valid,anchored_fit_valid,tangent_joint_RMSE_deg,anchored_joint_RMSE_deg,delta_joint_RMSE_deg,tangent_center_error_deg,anchored_center_error_deg,delta_center_error_deg,tangent_axis_error_deg,anchored_axis_error_deg,delta_axis_error_deg,tangent_rho_error_deg,anchored_rho_error_deg,delta_rho_error_deg,tangent_vector_error_deg,anchored_vector_error_deg,delta_vector_error_deg,tangent_runtime_sec,anchored_runtime_sec,pair_label,K1_center_az_deg,K1_center_el_deg,K1_center_error_deg,K1_center_error_over_rho,tangent_axis_az,tangent_axis_el,diagnostic_axis_error_deg,selected_alpha_deg,selected_rho_deg,alpha_true_deg,b_parallel_abs,b_perp,alpha_correction_error_normalized,q0,q1,q2,raw_anchor_valid_count,anchor_scan_node_count,anchor_valid_ratio,conditional_invalid_count,conditional_invalid_ratio,q2_nonconcave_count,q2_nonconcave_ratio,rho_out_of_contract_count,rho_out_of_contract_ratio,kappa_rho_selected,raw_candidate_valid,upgrade_flag,fallback_flag,analysis_only_flag,fitting_rerun,new_trial_count,new_seed_count
VA1_K2_N1_L1_SM6_P1,c220e51b76b510438e4ee5f24ed3b1095d1cbb9a87ed60c0e10efb5bc7892c36,P1,WHITE,1,-6,0,0,1,0.3,45,1,1,0.141681308325435,0.141681308325435,0,0.141421356237309,0.141421356237309,0,0,0,0,0.0171572875253814,0.0171572875253814,0,0.0171572875253814,0.0171572875253814,0,5.0476123,4.6454229,TIE,7.98330251317782,10.0199117495218,0.0259862239502887,0.0866207465009623,0.499207410338858,0.866482522306579,15.0524234707584,NaN,NaN,-0.0089176737934869,0.029725579311623,0.0813605780398124,NaN,NaN,NaN,NaN,0,65,0,65,1,0,0,65,1,NaN,0,0,1,1,0,0,0
VA1_K2_N1_L1_SM6_P2,1a1e738854f2670f481f5f4fdf0119e5ea3cb345d3a49b98d481be0da0d81a94,P2,WHITE,1,-6,-6,0,1,0.2,0,1,1,0.185315718663071,0.473683957044066,0.288368238380995,0.156310137991498,0.464823484291345,0.308513346299847,24.225644215955,24.2256442158542,-1.00801145208607e-10,0.198999999999999,0.145260296485658,-0.053739703514341,0.199088486303848,0.182380038514951,-0.016708447788897,4.842223,4.7364208,LOSS,8.06557725825602,10.0797708326455,0.156310137991498,0.78155068995749,0.911936553106397,0.410331235842975,24.2256442158543,-0.357027182022539,0.345260296485658,0.0898525474214711,0.449262737107356,0.639518939531766,2.23439864722005,515.438084793597,6.7279237736154,-9.74326304254748,22,65,0.338461538461538,43,0.661538461538462,0,0,13,0.2,0.000756115105188558,1,1,0,1,0,0,0
VA1_K2_N1_L1_SM6_P3,0fe0810a5035505accb3aba4a9c5e7b17e70311f3fe0d23d243e50a4f0e5bcba,P3,WHITE,1,-6,0,0.9,1,0.15,90,1,1,0.103077640640441,0.103077640640441,0,0.0999999999999996,0.0999999999999996,0,0,0,0,0.0500000000000007,0.0500000000000007,0,0.0500000000000007,0.0500000000000007,0,4.8662997,5.132307,TIE,7.73714959277909,9.8,0.341350633706774,2.27567089137849,0.000486998111637142,0.999999881416413,0.0279029375168158,NaN,NaN,0.300079272265719,2.00052848177146,1.08469525650691,NaN,NaN,NaN,NaN,0,65,0,65,1,0,0,65,1,NaN,0,0,1,1,0,0,0
VA1_K2_N1_L1_SM6_P4,4576e8833804b8a64ee1576dd1b3cff8c3f384991590020034ef9a8c354b0d2b,P4,WHITE,1,-6,-6,0.9,1,0.1,135,1,1,0.383034892343424,0.383034892343424,0,0.111803398874989,0.111803398874989,0,45,45,0,0.7,0.7,0,0.732709297750583,0.732709297750583,0,5.1129231,5.1127773,TIE,8.13876534341574,9.99494655642371,0.0593543998747381,0.593543998747381,0.974745784248979,0.223317388684453,57.9039542718332,NaN,NaN,-0.04782370268036,0.4782370268036,0.351544911274625,NaN,NaN,NaN,NaN,0,65,0,65,1,6,0.0923076923076923,39,0.6,NaN,0,0,1,1,0,0,0
VA1_K2_N1_L1_SP0_P1,963c4c2b4b6ded9974c4e9f049df7b9f051fb55c07dfa8e77bacc7b15904b220,P1,WHITE,1,0,0,0,1,0.3,45,1,1,0.132842712474619,0.132842712474619,0,0,0,0,0,0,0,0.265685424949237,0.265685424949237,0,0.265685424949237,0.265685424949237,0,5.0037173,4.9736826,TIE,7.4,9.8,0.632455532033675,2.10818510677892,0.704397859875241,0.709805364169066,0.219081429396492,NaN,NaN,0.564599788758957,1.88199929586319,0.950012155087972,NaN,NaN,NaN,NaN,0,65,0,65,1,0,0,65,1,NaN,0,0,1,1,0,0,0
VA1_K2_N1_L1_SP0_P2,fe464ee7654b4b7fb59f9177c4cc1f78456ae64582a51007eaa2936972d31694,P2,WHITE,1,0,-6,0,1,0.2,0,1,1,0.146489733353533,0.100000000000001,-0.046489733353532,0.023287990618929,0,-0.023287990618929,7.59730032909502,0,-7.59730032909502,0.286286833397493,0.200000000000001,-0.086286833397492,0.289253601332269,0.200000000000001,-0.089253601332268,4.8170497,4.9477848,WIN,8.17678351980181,10.001823610231,0.023287990618929,0.116439953094645,0.991221770827138,0.132209685871773,7.59730032909512,0.101948977612605,0.259189382865491,0.0227715816786295,0.113857908393148,0.0243852285824977,0.395886979669877,2086.82282522986,0.570757458159771,-1.10104328319646,2,65,0.0307692307692308,63,0.969230769230769,0,0,40,0.615384615384615,2.11046816219328e-05,1,0,1,1,0,0,0
VA1_K2_N1_L1_SP0_P3,e09203064bfe6aafbaa31dda3c8ec2df0de04efe13f961c62b76cfef8bb60d47,P3,WHITE,1,0,0,0.9,1,0.15,90,1,1,0.0853935665891442,0.0316041162839751,-0.0537894503051691,0.0439442747082467,0.028512869777525,-0.0154314049307217,9.88475398413338,9.88475398413338,0,0.141928668551829,0.0111867049193291,-0.1307419636325,0.146437180185645,0.0272643667185552,-0.11917281346709,4.8568486,4.9819843,WIN,7.90358863556953,10.0562025003638,0.0439442747082467,0.292961831388311,0.171666963327726,0.985155040438731,9.88475398413342,0.0688142379320765,0.13881329508067,0.0425312773545059,0.283541849030039,0.0736929745567364,0.175219737183804,2066.71376758549,0.199743711008849,-0.7194689488956,5,65,0.0769230769230769,60,0.923076923076923,0,0,41,0.630769230769231,7.83274955828221e-06,1,1,0,1,0,0,0
VA1_K2_N1_L1_SP0_P4,51f10c12d4c30475b2620149cbaa3de2f8b6ba4ace168f76f094ab91ef15132b,P4,WHITE,1,0,-6,0.9,1,0.1,135,1,1,0.183811850990091,0.183811850990091,0,0.0500000000000007,0.0500000000000007,0,18.434948822922,18.434948822922,0,0.347213595499957,0.347213595499957,0,0.35376148215657,0.35376148215657,0,5.1782759,5.0840408,TIE,8.16998289993393,9.88906401150166,0.0927944016491951,0.927944016491951,-0.13291189378192,0.99112785678302,37.3621078929976,0.0648733601719164,0.145920888575933,0.0696969154438866,0.696969154438866,0.612628839921845,0.0482355527197019,2058.23335796493,0.0276316100630186,-0.0946801048591476,1,65,0.0153846153846154,64,0.984615384615385,0,0,13,0.2,4.60006658101986e-07,1,0,1,1,0,0,0
VA1_K2_N1_L1_SP6_P1,f2a4106f9b1e08e24ae0435cd0c188d9fee0e6099cd80260d00b80bf4ec2d33b,P1,WHITE,1,6,0,0,1,0.3,45,1,1,0.141681308325435,0.141681308325435,0,0,0,0,45,45,0,0.1,0.1,0,0.283362616650871,0.283362616650871,0,4.5977849,4.6022582,TIE,7.99956928699953,10.00610009049,0.00611527739969787,0.0203842579989929,0.125784813813185,0.992057549043392,37.7739199639337,0.153180414780759,0.0682821760292678,-0.005997463665906,0.01999154555302,0.00398196943371403,0.53059292815555,8020.97465933323,0.320368407407361,-2.3459153327952,23,65,0.353846153846154,42,0.646153846153846,6,0.0923076923076923,27,0.415384615384615,2.63225342204384e-05,1,0,1,1,0,0,0
VA1_K2_N1_L1_SP6_P2,e6844047661deaf185b9261f2e8ca6fc1e7ca1c7ac1663acae1f05de49d34b59,P2,WHITE,1,6,-6,0,1,0.2,0,1,1,0.0816655499723516,0.0916359541235146,0.009970404151163,0.0612432181387596,0.0346701801045768,-0.0265730380341828,18.6122615685766,18.6122615685766,0,0.0767153811076738,0.146721221394356,0.0700058402866822,0.108046846956216,0.169648185367755,0.061601338411539,5.1743418,5.1681309,LOSS,8.1407853069152,10.0156317590458,0.0612432181387596,0.306216090693798,0.94770012950209,0.319162128927793,18.6122615685768,0.0592178526506528,0.346721221394356,0.0511287068089556,0.255643534044778,0.168566537903846,0.0404457292084859,8158.62143294769,5.04941239243896,-7.28166042466697,10,65,0.153846153846154,55,0.846153846153846,0,0,30,0.461538461538462,3.57004451524655e-05,1,1,0,1,0,0,0
