schema_version,cache_candidate_canonical_mode_id,cache_layer,fixed_measurement_hash,trial_id,continuous_numeric_pass,G_rel_error,rank_match,score_match,candidate_order_match,tie_match,best_index_match,accepted_update_match,trajectory_match,selected_start_match,nested_pass_match,final_selector_match,truth_isolation_pass,cache_off_baseline_match,cache_hit_count,cache_miss_count,physical_producer_call_count,logical_score_call_count,logical_svd_call_count,bytes_peak,key_collision_count,truth_leakage_count,correctness_pass,failure_reason
STAGE8_K2_TECS_CORRECTNESS_V1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,C1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L1_SP6_P1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,88,44,361,796,16728,0,0,1,NaN
STAGE8_K2_TECS_CORRECTNESS_V1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,C1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L1_SP6_P2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,92,46,345,764,16728,0,0,1,NaN
STAGE8_K2_TECS_CORRECTNESS_V1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,C1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L1_SP6_P3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,86,43,385,841,16728,0,0,1,NaN
STAGE8_K2_TECS_CORRECTNESS_V1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,C1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L1_SP6_P4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,88,44,425,921,16728,0,0,1,NaN
STAGE8_K2_TECS_CORRECTNESS_V1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,C1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L4_SM6_P1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,78,39,419,909,16728,0,0,1,NaN
STAGE8_K2_TECS_CORRECTNESS_V1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,C1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L4_SM6_P2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,84,42,357,791,16728,0,0,1,NaN
STAGE8_K2_TECS_CORRECTNESS_V1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,C1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L4_SM6_P3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,86,43,480,1035,16728,0,0,1,NaN
STAGE8_K2_TECS_CORRECTNESS_V1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,C1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L4_SM6_P4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,86,43,419,914,16728,0,0,1,NaN
STAGE8_K2_TECS_CORRECTNESS_V1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,C1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L4_SP0_P1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,78,39,437,947,16728,0,0,1,NaN
STAGE8_K2_TECS_CORRECTNESS_V1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,C1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L4_SP0_P2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,92,46,400,877,16728,0,0,1,NaN
STAGE8_K2_TECS_CORRECTNESS_V1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,C1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L4_SP0_P3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,78,39,401,873,16728,0,0,1,NaN
STAGE8_K2_TECS_CORRECTNESS_V1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,C1,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L4_SP0_P4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,88,44,414,900,16728,0,0,1,NaN
