q_quartile,trial_count,median_q,median_joint_rmse_deg,fallback_rate
Q1,18,12.4220948975883,0.183811850990091,0.611111111111111
Q2,18,18.6447631303565,0.148735893602018,0.444444444444444
Q3,18,69.9787262592917,0.141681308325435,0.333333333333333
Q4,18,123.90506691725,0.141681308325435,0.444444444444444
