domain,method_id,profile_id,nominal_snr_db,fit_status,elevation_status,conditional_status,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_count,resolution_success_count,rho_lower_bound_hit_count,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_B,18,MUSIC_FEWER_THAN_TWO_PEAKS,NOT_A_STAGE,NOT_A_STAGE,18,18,0,0,18,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.730185986428571,0.0401877603571429,0.0419620803571429,351378,0,18,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":18}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_B,18,MUSIC_K2_VALID,NOT_A_STAGE,NOT_A_STAGE,2,2,2,0,0,1,0,0,0,0,0,0.129058137738224,0.145398470453895,0.253194715213935,0.273041101011341,3.43494882292228,3.43494882292637,0.438819660112503,0.438819660112503,0.0828671207142857,0.0414335603571429,0.0423605603571429,39042,0,2,"{""reason"":[],""count"":[]}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_B,22,MUSIC_FEWER_THAN_TWO_PEAKS,NOT_A_STAGE,NOT_A_STAGE,15,15,0,0,15,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.611655305357143,0.0405436603571429,0.0422462603571429,292815,0,15,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":15}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_B,22,MUSIC_K2_VALID,NOT_A_STAGE,NOT_A_STAGE,5,5,5,0,0,1,4,3,0,0.8,0.6,0.0552417511232426,0.123646302342987,0.103373454218795,0.244798780310453,0.751173663453779,3.43494882291819,0.172151120211005,0.438819660112502,0.211671901785714,0.0408528603571429,0.0451776603571429,97605,0,5,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_A,-6,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,5,2,0,0.25,0.1,0.172332654039073,0.287704187699844,0.35068321296358,0.586036238863643,28.553434022434,68.5858154822639,0.207985034246566,0.383874422710692,44.4032399,1.84622355,4.120274,48174,96348,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_A,0,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,5,2,0,0.25,0.1,0.119008799386882,0.28970984515438,0.248799268540724,0.608132142998658,23.8264020215279,64.3434727314636,0.208771947313941,0.384092827892034,46.4859929,2.0145321,4.1750589,55616,111232,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_A,6,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,11,7,0,0.55,0.35,0.0886990763980121,0.164422607037958,0.225425088588388,0.362068745309974,10.9834120757797,30.4974022341478,0.147635376296862,0.356294639053444,63.0121554,3.70666425,4.16015005,75759,151518,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_A,10,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,15,11,0,0.75,0.55,0.0639163801894062,0.146158816603169,0.141165733142754,0.275318535333178,5.73369959461773,15.6937107599459,0.168357553460585,0.328812487949422,69.1228256,3.86085965,4.1019793,83242,166484,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_A,14,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,19,16,0,0.95,0.8,0.0528581289826437,0.077435962788817,0.109512499625253,0.146829534812254,3.40549373614288,8.96867339929491,0.10805884277216,0.209895778866688,76.1095186,4.0012911,4.1065414,91423,182846,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_A,18,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,20,20,0,1,1,0.0352369217715515,0.0546246723090885,0.0705879042179465,0.114398227178624,2.05158294394034,5.08805658762764,0.0702683270033586,0.148663322515801,76.8251126,3.96939885,4.1160297,92395,184790,0,"{""reason"":[],""count"":[]}"
