domain,method_id,profile_id,nominal_snr_db,L,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_count,resolution_success_count,rho_lower_bound_hit_count,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_A,14,8,20,20,20,0,0,1,19,16,0,0.95,0.8,0.0528581289826437,0.077435962788817,0.109512499625253,0.146829534812254,3.40549373614288,8.96867339929491,0.10805884277216,0.209895778866688,76.1095186,4.0012911,4.1065414,91423,182846,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_A,18,8,20,20,20,0,0,1,20,20,0,1,1,0.0352369217715515,0.0546246723090885,0.0705879042179465,0.114398227178624,2.05158294394034,5.08805658762764,0.0702683270033586,0.148663322515801,76.8251126,3.96939885,4.1160297,92395,184790,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_A,22,8,20,20,20,0,0,1,20,20,0,1,1,0.0217541094403307,0.0383005596626562,0.0430871780550912,0.0750363666896061,1.27983978001202,3.07739641939492,0.0523498005024411,0.0989111369659438,76.6235273,3.9397741,4.0539045,92976,185952,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,-6,8,20,20,20,0,0,1,1,0,0,0.05,0,0.184919132440906,0.25029472572595,0.433868374866122,0.563136366788139,52.887301002511,82.4044253040339,0.239173407615642,0.368690848084943,33.2643285,1.5079027,3.12659295,38925,77850,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,0,8,20,20,20,0,0,1,2,0,0,0.1,0,0.164349347492642,0.217331705288978,0.341495712656229,0.507779711861691,36.8936183010003,78.604884827623,0.253827662240862,0.458118377743591,48.3062759,2.24424075,3.8654335,56039,112078,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,6,8,20,20,20,0,0,1,8,1,0,0.4,0.05,0.104490598736696,0.163818491937361,0.234419882855734,0.292103661352196,13.7362959591452,46.1292042411444,0.238584328660572,0.393128422948097,69.8623034,3.6493214,4.3485546,84458,168916,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,10,8,20,20,20,0,0,1,16,10,0,0.8,0.5,0.0679143496285296,0.12294552460428,0.147907808205817,0.236091471603737,4.28025941714482,13.0953207011677,0.138699411556601,0.310119477460324,75.0860953,3.79005725,4.3381202,90492,180984,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,14,8,20,20,20,0,0,1,20,14,0,1,0.7,0.0464882394074473,0.0851823209801461,0.0968072891789526,0.175849490517997,3.08154439438232,8.23954145066331,0.0852804351883985,0.210954811937906,78.7568145,4.037017,4.28579905,93802,187604,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,18,8,20,20,20,0,0,1,20,19,0,1,0.95,0.0331393594793418,0.0650547559950639,0.0703104392449878,0.139727163971757,1.84222336776199,5.28610579233208,0.0613989091165427,0.159906242747611,76.9149399,4.00455735,4.07398005,92610,185220,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,22,8,20,20,20,0,0,1,20,20,0,1,1,0.0163681392317356,0.0482664170897783,0.0401472370318573,0.102107834625435,1.11230459174255,3.41049846498837,0.0430744891125239,0.121793002741212,77.6555371,3.995009,4.07493305,94272,188544,0,"{""reason"":[],""count"":[]}"
