diagnostic_row_index,evaluation_row_index,diagnostic_trial_id,common_trial_id,global_trial_index,trial_type,stratum_index,stratum_id,pairing_key,trial_index_within_stratum,profile_id,sentinel_flag,measurement_config_id,noise_profile_id,L,parameter_seed,element_noise_seed,separation_auxiliary_seed,center_az_deg,center_el_deg,snr_db,secondary_power_db,correlation_magnitude,correlation_phase_rad,true_separation_deg,direction_deg,element_trial_hash,threshold_calibration_hash,threshold_artifact_hash,q_global,lambda_12,state,diagnostic_state,false_split_flag,false_resolved_flag,K2_UNRESOLVED_flag,SEARCH_NOT_CONVERGED_flag,NUMERIC_RANK_DEFICIENT_flag,decision_available_flag,lrt_split_detected_flag,separation_evaluated_flag,fit1_validity_status,fit2_validity_status,separation_status,valid_k1_fit_flag,valid_k2_fit_flag,truth_target1_az_deg,truth_target1_el_deg,truth_target2_az_deg,truth_target2_el_deg,k1_estimate_az_deg,k1_estimate_el_deg,k2_selected_start_id,initial_target1_az_deg,initial_target1_el_deg,initial_target2_az_deg,initial_target2_el_deg,final_target1_az_deg,final_target1_el_deg,final_target2_az_deg,final_target2_el_deg,azimuth_rmse_deg,elevation_rmse_deg,joint_2d_rmse_deg,initial_joint_2d_rmse_deg,joint_refinement_improved_flag,true_separation_az_deg,true_separation_el_deg,estimated_separation_az_deg,estimated_separation_el_deg,separation_vector_error_deg,score_call_count,svd_call_count,truth_used_in_fit_flag,truth_used_in_classifier_flag,row_runtime_sec
1,1,CD_K1_L1_N1_T01,CD_K1_L1_N1_T01,1,K1,1,K1V_L1_N1,CD_K1_L1_N1_T01,1,0,0,PRIMARY_RECT_E14_A31,WHITE,1,2426072700,2426072800,2426072900,7.506065737951,9.90777200714877,-8.1481619231651,NaN,NaN,NaN,NaN,NaN,ca57e8a98af0a3c065f9a7cc419f54f0cfd3607e9cced2c22d32a73a2bec2836,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11,38.4305621692124,7.65002904262509,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1.2139674
2,2,CD_K1_L1_N1_T01,CD_K1_L1_N1_T01,1,K1,1,K1V_L1_N1,CD_K1_L1_N1_T01,1,0,0,SENSITIVITY_FULL_PARENT_5X5,WHITE,1,2426072700,2426072800,2426072900,7.506065737951,9.90777200714877,-8.1481619231651,NaN,NaN,NaN,NaN,NaN,ca57e8a98af0a3c065f9a7cc419f54f0cfd3607e9cced2c22d32a73a2bec2836,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185,38.4840335105626,4.9296005276327,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1.2139674
3,3,CD_K1_L1_N1_T02,CD_K1_L1_N1_T02,2,K1,1,K1V_L1_N1,CD_K1_L1_N1_T02,2,0,0,PRIMARY_RECT_E14_A31,WHITE,1,2426072701,2426072801,2426072901,8.11881497138544,9.98467764591286,3.86454479911474,NaN,NaN,NaN,NaN,NaN,6e77fb6b49e572bda699b703a929022e3a2596d0c8df481591ae7b2666d12acd,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11,38.4305621692124,38.0197236927266,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1.12958355
4,4,CD_K1_L1_N1_T02,CD_K1_L1_N1_T02,2,K1,1,K1V_L1_N1,CD_K1_L1_N1_T02,2,0,0,SENSITIVITY_FULL_PARENT_5X5,WHITE,1,2426072701,2426072801,2426072901,8.11881497138544,9.98467764591286,3.86454479911474,NaN,NaN,NaN,NaN,NaN,6e77fb6b49e572bda699b703a929022e3a2596d0c8df481591ae7b2666d12acd,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185,38.4840335105626,37.900529910854,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1.12958355
5,5,CD_K1_L1_N1_T03,CD_K1_L1_N1_T03,3,K1,1,K1V_L1_N1,CD_K1_L1_N1_T03,3,0,0,PRIMARY_RECT_E14_A31,WHITE,1,2426072702,2426072802,2426072902,8.45512761459305,10.0676317792908,0.287791887538704,NaN,NaN,NaN,NaN,NaN,45e858df0314591a64d7f35e8571b7e417814b93e5b80f6801a2c961f711e5e9,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11,38.4305621692124,8.3872409174322,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.7269712
6,6,CD_K1_L1_N1_T03,CD_K1_L1_N1_T03,3,K1,1,K1V_L1_N1,CD_K1_L1_N1_T03,3,0,0,SENSITIVITY_FULL_PARENT_5X5,WHITE,1,2426072702,2426072802,2426072902,8.45512761459305,10.0676317792908,0.287791887538704,NaN,NaN,NaN,NaN,NaN,45e858df0314591a64d7f35e8571b7e417814b93e5b80f6801a2c961f711e5e9,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185,38.4840335105626,9.60647783147292,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.7269712
7,7,CD_K1_L1_N1_T04,CD_K1_L1_N1_T04,4,K1,1,K1V_L1_N1,CD_K1_L1_N1_T04,4,0,0,PRIMARY_RECT_E14_A31,WHITE,1,2426072703,2426072803,2426072903,7.63991713088001,9.92940709797248,-2.23528768596957,NaN,NaN,NaN,NaN,NaN,ddd7d41e160f676ae489ab0cb1d9078201c8a2e157fbe0533374051aa4a9cdb1,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11,38.4305621692124,5.99720366713658,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.71203895
8,8,CD_K1_L1_N1_T04,CD_K1_L1_N1_T04,4,K1,1,K1V_L1_N1,CD_K1_L1_N1_T04,4,0,0,SENSITIVITY_FULL_PARENT_5X5,WHITE,1,2426072703,2426072803,2426072903,7.63991713088001,9.92940709797248,-2.23528768596957,NaN,NaN,NaN,NaN,NaN,ddd7d41e160f676ae489ab0cb1d9078201c8a2e157fbe0533374051aa4a9cdb1,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185,38.4840335105626,5.69411412684424,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.71203895
9,9,CD_K1_L1_N1_T05,CD_K1_L1_N1_T05,5,K1,1,K1V_L1_N1,CD_K1_L1_N1_T05,5,0,0,PRIMARY_RECT_E14_A31,WHITE,1,2426072704,2426072804,2426072904,8.48472780221535,10.2779587792399,-6.64378739166832,NaN,NaN,NaN,NaN,NaN,e4c75f44a8f3888b80ac6d07337ca658c7d45eb14950053202da866502ac7c00,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11,38.4305621692124,4.80235799536357,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.73007115
10,10,CD_K1_L1_N1_T05,CD_K1_L1_N1_T05,5,K1,1,K1V_L1_N1,CD_K1_L1_N1_T05,5,0,0,SENSITIVITY_FULL_PARENT_5X5,WHITE,1,2426072704,2426072804,2426072904,8.48472780221535,10.2779587792399,-6.64378739166832,NaN,NaN,NaN,NaN,NaN,e4c75f44a8f3888b80ac6d07337ca658c7d45eb14950053202da866502ac7c00,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185,38.4840335105626,5.24407092853958,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.73007115
