trial_id,white_snr_db,profile_id,noise_profile_id,L,replicate_id,tangent_valid,full4d_valid,tangent_loglik,full4d_loglik,likelihood_tolerance,numerical_optimization_incomplete_flag,complete_likelihood_subset_flag,tangent_joint_RMSE_deg,full4d_joint_RMSE_deg,paired_delta_deg,paired_outcome,optimizer_status,score_call_count,SVD_call_count,runtime_sec
MC1_K2_N1_L1_SM6_P1_R01,-6,P1,WHITE,1,1,1,1,-31.5251080189269,-31.5251080189269,4.4799872993802e-13,0,1,0.503991642739068,0.503991642739068,-4.44089209850063e-16,TIE,FULL4D_CML_STATIONARY,688,1376,0.6499252
MC1_K2_N1_L1_SM6_P1_R02,-6,P1,WHITE,1,2,1,1,-30.8768694015716,-30.8768694015716,4.38786705126e-13,0,1,0.581074165883851,0.581074165883851,-3.33066907387547e-16,TIE,FULL4D_CML_STATIONARY,2103,4206,1.8394664
MC1_K2_N1_L1_SM6_P1_R03,-6,P1,WHITE,1,3,1,1,-28.8446348401961,-28.6736832592364,4.09906915027081e-13,0,1,0.277138084395488,0.417046839016734,-0.139908754621246,TANGENT_WIN,FULL4D_CML_CONVERGED,2909,5818,2.6560198
MC1_K2_N1_L1_SM6_P1_R04,-6,P1,WHITE,1,4,1,1,-28.044056953761,-27.9574444611706,3.98530018994748e-13,0,1,0.548895979730589,0.649454316209246,-0.100558336478657,TANGENT_WIN,FULL4D_CML_STATIONARY,1343,2686,1.2876683
MC1_K2_N1_L1_SM6_P1_R05,-6,P1,WHITE,1,5,1,1,-33.5510514185138,-33.3576496118281,4.76789117250772e-13,0,1,0.617484248029375,0.61886751384325,-0.0013832658138746,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,3807,7614,3.4779153
MC1_K2_N1_L1_SM6_P1_R06,-6,P1,WHITE,1,6,1,1,-26.0858105784115,-26.0755740561209,3.70701664258085e-13,0,1,0.548895979730589,0.455665096061317,0.0932308836692721,TANGENT_LOSS,FULL4D_CML_CONVERGED,3235,6470,2.9197129
MC1_K2_N1_L1_SM6_P1_R07,-6,P1,WHITE,1,7,1,1,-26.5511468974783,-26.5270471199091,3.77314491082051e-13,0,1,0.548895979730589,0.649454316209247,-0.100558336478658,TANGENT_WIN,FULL4D_CML_STATIONARY,2494,4988,2.3068088
MC1_K2_N1_L1_SM6_P1_R08,-6,P1,WHITE,1,8,1,1,-22.1319761214256,-22.1319761214256,3.14514297221899e-13,0,1,0.543342230446356,0.543342230446356,0,TIE,FULL4D_CML_STATIONARY,1487,2974,1.3189629
MC1_K2_N1_L1_SM6_P1_R09,-6,P1,WHITE,1,9,1,1,-19.6285738752695,-19.0725507328346,2.78938811608064e-13,0,1,0.31634410556988,0.155428021285607,0.160916084284273,TANGENT_LOSS,FULL4D_CML_CONVERGED,1357,2714,1.3510725
MC1_K2_N1_L1_SM6_P1_R10,-6,P1,WHITE,1,10,1,1,-30.7562196373497,-30.6628680188962,4.37072168855219e-13,0,1,0.266716612317564,0.182663543364998,0.084053068952566,TANGENT_LOSS,FULL4D_CML_CONVERGED,947,1894,0.9622662
MC1_K2_N1_L1_SM6_P2_R01,-6,P2,WHITE,1,1,1,1,-39.7149094055129,-39.3482688190395,5.64382807589153e-13,0,1,0.435889894354067,0.735718243381258,-0.299828349027191,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,3622,7244,3.2577471
MC1_K2_N1_L1_SM6_P2_R02,-6,P2,WHITE,1,2,1,1,-33.2307873959011,-33.2307873959011,4.72237891754917e-13,0,1,0.574456264653802,0.574456264653802,-4.44089209850063e-16,TIE,FULL4D_CML_STATIONARY,526,1052,0.5037302
MC1_K2_N1_L1_SM6_P2_R03,-6,P2,WHITE,1,3,1,1,-19.9180517465829,-19.4356955858776,2.83052539580565e-13,0,1,0.714142842854284,0.750580338765504,-0.0364374959112196,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,3995,7990,3.667556
MC1_K2_N1_L1_SM6_P2_R04,-6,P2,WHITE,1,4,1,1,-29.6811144233938,-29.6809052295822,4.21794004856136e-13,0,1,0.728010988928051,0.355738515016786,0.372272473911265,TANGENT_LOSS,FULL4D_CML_STATIONARY,1207,2414,1.0792238
MC1_K2_N1_L1_SM6_P2_R05,-6,P2,WHITE,1,5,1,1,-23.7529895738266,-23.4281128236337,3.37550283885358e-13,0,1,0.818535277187244,0.801522860511797,0.0170124166754473,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,2982,5964,2.7939907
MC1_K2_N1_L1_SM6_P2_R06,-6,P2,WHITE,1,6,1,1,-30.8748770357461,-30.8748770357461,4.38758391904715e-13,0,1,0.556776436283002,0.556776436283002,2.22044604925031e-16,TIE,FULL4D_CML_STATIONARY,570,1140,0.5107869
MC1_K2_N1_L1_SM6_P2_R07,-6,P2,WHITE,1,7,1,1,-17.411869429379,-17.3905850941729,2.47437546780972e-13,0,1,0.440082194136011,0.500083423040583,-0.0600012289045719,TANGENT_WIN,FULL4D_CML_STATIONARY,1068,2136,0.9475271
MC1_K2_N1_L1_SM6_P2_R08,-6,P2,WHITE,1,8,1,1,-24.1733431503803,-23.9548390023931,3.43523867490778e-13,0,1,0.818535277187244,0.803784496348298,0.0147507808389458,TANGENT_LOSS,FULL4D_CML_STATIONARY,1765,3530,1.6728694
MC1_K2_N1_L1_SM6_P2_R09,-6,P2,WHITE,1,9,1,1,-19.0301612209,-18.7303450890129,2.70434856317081e-13,0,1,0.360555127546398,0.211436593296525,0.149118534249873,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,2617,5234,2.5552407
MC1_K2_N1_L1_SM6_P2_R10,-6,P2,WHITE,1,10,1,1,-21.9526201683893,-21.6327884944424,3.11965495830994e-13,0,1,0.21204455241651,0.722236885915198,-0.510192333498688,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,1834,3668,1.6794689
MC1_K2_N1_L1_SM6_P3_R01,-6,P3,WHITE,1,1,1,1,-33.5746202400875,-33.5746202400875,4.77124050349964e-13,0,1,0.62098711741871,0.62098711741871,-4.44089209850063e-16,TIE,FULL4D_CML_STATIONARY,1405,2810,1.2854374
MC1_K2_N1_L1_SM6_P3_R02,-6,P3,WHITE,1,2,1,1,-31.1185186867999,-30.9731852860196,4.42220748010412e-13,0,1,0.50062460986252,0.515218591697447,-0.0145939818349271,TANGENT_WIN,FULL4D_CML_STATIONARY,3902,7804,3.4271781
MC1_K2_N1_L1_SM6_P3_R03,-6,P3,WHITE,1,3,1,1,-26.1156821940444,-26.1156821940444,3.71126165447953e-13,0,1,0.50062460986252,0.50062460986252,3.33066907387547e-16,TIE,FULL4D_CML_STATIONARY,1574,3148,1.4608931
MC1_K2_N1_L1_SM6_P3_R04,-6,P3,WHITE,1,4,1,1,-31.8278725233229,-31.7634516456574,4.52301272322912e-13,0,1,0.458938993767145,0.405560652602871,0.0533783411642739,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,5537,11074,4.9229401
MC1_K2_N1_L1_SM6_P3_R05,-6,P3,WHITE,1,5,1,1,-30.1712694616838,-29.6459336786267,4.28759526893199e-13,0,1,0.225,0.267032674525434,-0.0420326745254335,TANGENT_WIN,FULL4D_CML_CONVERGED,783,1566,0.741731
MC1_K2_N1_L1_SM6_P3_R06,-6,P3,WHITE,1,6,1,1,-21.9105799560824,-21.8185896816667,3.11368068481704e-13,0,1,0.224999999999999,0.0635901093077112,0.161409890692288,TANGENT_LOSS,FULL4D_CML_CONVERGED,2462,4924,2.2563465
MC1_K2_N1_L1_SM6_P3_R07,-6,P3,WHITE,1,7,1,1,-36.4629232216205,-36.058672486744,5.18169304394014e-13,0,1,0.515388203202207,0.504128432375717,0.0112597708264897,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,2443,4886,2.171496
MC1_K2_N1_L1_SM6_P3_R08,-6,P3,WHITE,1,8,1,1,-34.0955927985809,-34.075790156309,4.84527515689321e-13,0,1,0.619956089442682,0.629289934519987,-0.00933384507730473,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,4877,9754,4.4839052
MC1_K2_N1_L1_SM6_P3_R09,-6,P3,WHITE,1,9,1,1,-27.6954301470278,-27.6379851454799,3.93575734094438e-13,0,1,0.430842198490352,0.514900966340308,-0.0840587678499558,TANGENT_WIN,FULL4D_CML_STATIONARY,1358,2716,1.2570988
MC1_K2_N1_L1_SM6_P3_R10,-6,P3,WHITE,1,10,1,1,-28.1375533373925,-28.0857738978027,3.99858682518932e-13,0,1,0.628987281270456,0.484508774294263,0.144478506976193,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,2604,5208,2.4674834
MC1_K2_N1_L1_SM6_P4_R01,-6,P4,WHITE,1,1,1,1,-35.5720133626361,-35.3136338016616,5.05508713823646e-13,0,1,0.455992250140432,0.476751354861304,-0.0207591047208721,TANGENT_WIN,FULL4D_CML_STATIONARY,1130,2260,1.0418072
MC1_K2_N1_L1_SM6_P4_R02,-6,P4,WHITE,1,2,1,1,-33.9711402526535,-33.9564740313147,4.8275893864021e-13,0,1,0.440212217645539,0.425176440438588,0.0150357772069508,TANGENT_LOSS,FULL4D_CML_CONVERGED,2562,5124,2.4059988
MC1_K2_N1_L1_SM6_P4_R03,-6,P4,WHITE,1,3,1,1,-23.7511129906947,-23.6214062540667,3.37523616035109e-13,0,1,0.430116263352131,0.463988025053466,-0.033871761701335,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,2769,5538,2.5512853
MC1_K2_N1_L1_SM6_P4_R04,-6,P4,WHITE,1,4,1,1,-29.5362847356411,-29.4809142621159,4.19735851205034e-13,0,1,0.719672795225812,0.68729377644187,0.0323790187839423,TANGENT_LOSS,FULL4D_CML_CONVERGED,576,1152,0.5638873
