method_id,valid_count,trial_count,mean_score_calls,mean_SVD_calls,median_runtime_sec,p90_runtime_sec
CORE_LITE,72,72,152.055555555556,350.833333333333,0.16847655,0.20971774
CORE_PLUS,72,72,2741.30555555556,5530.18055555556,2.57997365,3.73130391
TANGENT_PROFILE_SAFE,72,72,394.236111111111,861.194444444444,4.95313365,5.35530264
