summary_scope,method_id,white_beamspace_snr_target_db,profile_id,noise_profile_id,L,total_count,applicable_count,valid_count,structural_na_count,algorithmic_invalid_count,applicability_rate,valid_rate,comparability_class,joint_RMSE_deg_median,joint_RMSE_deg_p90,azimuth_RMSE_deg_median,azimuth_RMSE_deg_p90,elevation_RMSE_deg_median,elevation_RMSE_deg_p90,center_error_deg_median,center_error_deg_p90,axis_error_deg_median,axis_error_deg_p90,rho_error_deg_median,rho_error_deg_p90,rho_relative_error_median,rho_relative_error_p90,separation_vector_error_deg_median,separation_vector_error_deg_p90,runtime_sec_median,runtime_sec_p90,score_call_count_median,SVD_call_count_median,eig_call_count_median
METHOD_APPLICABILITY,BEAMSPACE_MUSIC_K2,NaN,ALL,ALL,NaN,1680,1120,0,560,1120,0.666666666666667,0,NO_VALID_OUTPUT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0332981039285714,0.0411443280357143,19521,0,1
METHOD_APPLICABILITY,CORE_LITE,NaN,ALL,ALL,NaN,1680,1680,1680,0,0,1,1,ROBUSTLY_COMPARABLE,0.276976043643739,0.54900638175753,0.223606797749979,0.53851648071345,0.124999999999999,0.201556443707463,0.180277563773199,0.447213595499958,26.565051177078,71.565051177078,0.200000000000001,0.700000000000001,1.00000000000001,5.00000000000001,0.282842712474618,0.800000000000001,0.1405011,0.17567613,151,347,NaN
METHOD_APPLICABILITY,CORE_PLUS,NaN,ALL,ALL,NaN,1680,1680,1680,0,0,1,1,ROBUSTLY_COMPARABLE,0.266795147094313,0.556776436283001,0.223606797749979,0.53851648071345,0.107033734014968,0.201556443707463,0.187014485812933,0.499999999999999,26.5650511770779,75.3748669168378,0.191071591567313,0.694334088841117,0.994921147377344,4.65685424949238,0.224172651383987,0.732727043333281,1.56819235,2.60108696,2163,4373.5,NaN
METHOD_APPLICABILITY,ELEMENT_MUSIC_K2,NaN,ALL,ALL,NaN,1680,1120,3,560,1117,0.666666666666667,0.00267857142857143,APPLICABILITY_LIMITED,0.574456264653802,0.574456264653802,0.53851648071345,0.53851648071345,0.199999999999999,0.199999999999999,0.282842712474618,0.282842712474618,0,0,1,1,5.00000000000002,5.00000000000002,1,1,5.18534922883929,5.57335199857143,19521,0,1
METHOD_APPLICABILITY,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,NaN,ALL,ALL,NaN,1680,630,7,1050,623,0.375,0.0111111111111111,APPLICABILITY_LIMITED,0.0683208127300957,0.106119748718315,0.0126308407118499,0.0502261269446495,0.0683206242495261,0.0898635892139375,0.0446982768301752,0.0740054373282462,0.915577678600258,1.72543609363459,0.0560752940066477,0.182817674842697,0.373835293377655,0.91997545530558,0.0561769993645849,0.182820314240375,0.00061745,0.00081975,0,1,2
METHOD_APPLICABILITY,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,NaN,ALL,ALL,NaN,1680,630,5,1050,625,0.375,0.00793650793650794,APPLICABILITY_LIMITED,0.105234180423945,0.118916240108632,0.00944632150259594,0.0607795100431735,0.0644575547185153,0.11837524193618,0.0808264614024592,0.112331243533993,1.16956694790125,1.55104553877932,0.0601314479563119,0.120302069552461,0.40087631970875,0.574756121569421,0.0601487197845344,0.120393118406424,0.00179975,0.00209631,61,0,1
METHOD_APPLICABILITY,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,NaN,ALL,ALL,NaN,1680,1260,5,420,1255,0.75,0.00396825396825397,APPLICABILITY_LIMITED,0.475769082987347,0.629761482117948,0.443563249097975,0.596134141786228,0.172069359202238,0.213192451364397,0.277670426505876,0.541336076234758,42.4393892012262,63.7717631671537,0.300725276181289,0.82816219132043,3.00725276181289,8.28162191320432,0.333499109741178,0.889958759620982,0.0012144,0.00143276,401,0,1
METHOD_APPLICABILITY,FULL4D_BEAMSPACE_CML_MULTISTART,NaN,ALL,ALL,NaN,1680,1680,1680,0,0,1,1,ROBUSTLY_COMPARABLE,0.231588441466899,0.55083442334638,0.173419386717962,0.524239066335841,0.125874072880817,0.201556443707463,0.167188986366885,0.480515137363933,21.645811635445,72.4124690604735,0.139046113706856,0.629547111517937,0.893801748500396,4.02429435861967,0.20163959242146,0.674292644899647,3.513751,4.79058699,3850,7700,0
METHOD_APPLICABILITY,FULL4D_ELEMENT_CML_MULTISTART,NaN,ALL,ALL,NaN,1680,160,160,1520,0,0.0952380952380952,1,ROBUSTLY_COMPARABLE,0.163061625755478,0.376437669478847,0.0834843918491899,0.354626909879078,0.0965251931726999,0.172069359202238,0.103243095317761,0.279757525127267,10.241488185925,72.5379379543011,0.165078421264387,0.451531886208664,1.08017700325985,3.31373447036605,0.208268874229471,0.452878743494863,13.54723435,92.29263673,4464.5,4464.5,0
METHOD_APPLICABILITY,TANGENT_PROFILE_SAFE,NaN,ALL,ALL,NaN,1680,1680,1680,0,0,1,1,ROBUSTLY_COMPARABLE,0.17979170560746,0.539521042733711,0.112247672059656,0.501248441394086,0.0939339828220174,0.199999999999999,0.0999999999999996,0.426804534897351,21.2622465183689,71.565051177078,0.148999999999997,0.600000000000001,0.993333333333327,3.47213595499959,0.199950367151078,0.625719449019581,4.3289789,4.69697588,401,876,NaN
