trial_id,noise_profile_id,L,SNR,snr_db,profile_id,element_trial_hash,K1_center_deg,K1_center_error_deg,metric_rank,metric_condition,metric_eigenvalues,direction_hat,direction_true,direction_error_deg,rho_hat_deg,rho_true_deg,rho_error_deg,rho_max_deg,raw_tangent_candidate_valid,raw_tangent_loglik,upgrade_flag,fallback_flag,fallback_reason,endpoint_in_domain_flag,full_manifold_profile_used_flag,q,p_minus,Gamma_K2_proxy,selected_source,truth_used_in_fit_flag,direction_oriented_error_deg_original,direction_axis_error_deg,rho_relative_error,selected_separation_deg,selected_separation_error_deg,joint_RMSE_deg,separation_vector_error_deg,rho_at_registered_lower_bound_flag
TP1_K2_N1_L1_SM6_P1,WHITE,1,-6,-6,P1,984bad696a0febf494ab460bd9d6b7a70c485a11b818490c10325c77e422ed92,[7.9558488733844888 9.9032553518534456],0.106343071830841,2,1.94122913233353,[2191741.4301944794 4254672.3148358818],[-0.52963650468297419 0.84822471840143976],[0.70710678118654746 0.70710678118654746],76.9808982039255,0.001,0.3,0.299,0.243462256200313,1,-27.2262206703117,0,1,TANGENT_LOGLIK_BELOW_FIXED_GRID,1,1,88.1505156159949,0.0250006925292224,1.10191196860395,FIXED_GRID_FALLBACK,0,76.9808982039255,76.9808982039255,0.996666666666667,0.632455532033675,0.332455532033675,0.240098284578658,0.388057656837817,1
TP1_K2_N1_L1_SM6_P2,WHITE,1,-6,-6,P2,652bdeec1a071e2b177d30869787f2306e53efe1d1875242b50d8518dfd6cac1,[8.1195673191131039 10.038548310816642],0.0891929841493691,2,1.94090883590102,[2190182.9813515935 4250945.5007453533],[-0.75216981122709248 0.65896932787391549],[1 0],138.778684828049,0.001,0.2,0.199,0.49001275887684,1,-27.1790679431743,1,0,NOT_APPLICABLE,1,1,51.8069369025886,0.530647199301328,13.7456029858696,TANGENT_PROFILE_UPGRADE,0,138.778684828049,41.2213151719506,0.995,0.00100000000000024,0.199,0.133717693071436,0.199248919885425,1
TP1_K2_N1_L1_SM6_P3,WHITE,1,-6,-6,P3,fe02f667556db2a93b3891e81e7f2c4e4a03a0a4efb2a634acb6fdab773c9779,[8.0005942950546132 10.199999999999999],0.141842208800957,2,1.94058186269997,[2188425.9676999426 4246819.7407801319],[0.0099891710600426703 0.9999501069861102],[0 1],0.572346861309554,NaN,0.15,NaN,0,0,NaN,0,1,TANGENT_PROFILE_NO_FEASIBLE_SCALE,0,0,15.0068023543143,100.817528268165,756.47436028542,FIXED_GRID_FALLBACK,0,0.572346861309554,0.572346861309554,NaN,0.199999999999999,0.0499999999999993,0.103077640640441,0.0500000000000007,0
TP1_K2_N1_L1_SM6_P4,WHITE,1,-6,-6,P4,fd59f10795f9b4ea86f5bd8912c47704d5f45eef353578dd0937a6a20f93fcae,[8.1120129372803813 9.880666499025482],0.070366504954316,2,1.94117904998563,[2192002.959493475 4255070.2224752372],[0.20453329843309367 0.97885960680379447],[-0.70710678118654746 0.70710678118654746],56.8021801532977,0.001,0.1,0.099,0.164817300590993,1,-28.422543916096,0,1,TANGENT_LOGLIK_BELOW_FIXED_GRID,1,1,9.83738744086221,0.129555009301833,0.63724141070332,FIXED_GRID_FALLBACK,0,56.8021801532977,56.8021801532977,0.99,0.282842712474619,0.182842712474619,0.266191405526679,0.182842712474619,1
TP1_K2_N1_L1_SP0_P1,WHITE,1,0,0,P1,69c1f2c361e00835ced46cedc265961b39332fff744768646410904726e8261d,[7.968616206696348 10.013451493198845],0.0341450604246783,2,1.9410402638525,[2190468.4006164586 4251787.3622931372],[0.82020430399239397 0.57207071216096383],[0.70710678118654746 0.70710678118654746],10.1052505967149,0.544471765916973,0.3,0.244471765916973,0.652186881221302,1,-25.932493249974,1,0,NOT_APPLICABLE,1,1,88.1505156159949,0.139687503967038,6.15676274990288,TANGENT_PROFILE_UPGRADE,0,10.1052505967149,10.1052505967149,0.81490588638991,0.544471765916974,0.244471765916974,0.131812162633394,0.254625694435478,0
TP1_K2_N1_L1_SP0_P2,WHITE,1,0,0,P2,48afd969aa27de5d2b6e8a20c6a93c02387558c426838f644d18adbd8be4de02,[8.1050491845627004 9.9844452855400636],0.0962164564621778,2,1.94102530722338,[2190791.9111801223 4252382.5424608942],[0.94230665856322726 0.33475089428917915],[1 0],19.5573906713294,0.653712442963079,0.2,0.453712442963079,1.05050900561813,1,-32.0903250216436,1,0,NOT_APPLICABLE,1,1,51.8069369025886,2.11766277123735,54.8548107852272,TANGENT_PROFILE_UPGRADE,0,19.5573906713294,19.5573906713294,2.26856221481539,0.653712442963078,0.453712442963078,0.253954399915325,0.470043533057161,0
TP1_K2_N1_L1_SP0_P3,WHITE,1,0,0,P3,55a3b9f5727118b1d04667e9aca3536d1549fbf78c01d8352415d520be9df5b8,[7.8935569366385385 10.102231834771432],0.00681866203347747,2,1.94086961806013,[2189494.6000023657 4249523.5480513126],[0.13518879988585794 0.99081985667699524],[0 1],7.76953740907083,0.197348013505626,0.15,0.0473480135056262,0.197348013505626,1,-25.0388767507687,1,0,NOT_APPLICABLE,1,1,15.0068023543143,5.13343948335284e-05,0.000385182558622547,TANGENT_PROFILE_UPGRADE,0,7.76953740907083,7.76953740907083,0.31565342337084,0.197348013505626,0.0473480135056263,0.0272548890347395,0.0527763137920479,0
TP1_K2_N1_L1_SP0_P4,WHITE,1,0,0,P4,65feeb06e919c72394440bf1e0798b7f519199dd7174d2524e574e756ad26164,[8.1421590934282921 9.9353394975688847],0.0446354062402059,2,1.94108447632594,[2191357.8300524261 4253610.6659900676],[-0.50768439309217883 0.86154312545027367],[-0.70710678118654746 0.70710678118654746],14.4902889452625,0.001,0.1,0.099,0.314179275699404,1,-34.3093371155122,0,1,TANGENT_LOGLIK_BELOW_FIXED_GRID,1,1,9.83738744086221,0.389466193505018,1.91566492031334,FIXED_GRID_FALLBACK,0,14.4902889452625,14.4902889452625,0.99,0.447213595499958,0.347213595499958,0.379192294969721,0.353761482156572,1
TP1_K2_N1_L1_SP6_P1,WHITE,1,6,6,P1,ed0a09c2b25df0a4408e6fd81e86f3bc2724a2b44041227bfce9356f5e973a6c,[7.9950523899434671 9.9978359853295249],0.0054001671053345,2,1.94105854549213,[2190643.6748216152 4252167.6251407834],[0.8905893777824353 0.45480826749422132],[0.70710678118654746 0.70710678118654746],17.9474014981486,0.222797965944326,0.3,0.0772020340556739,0.869975325732344,1,-31.368211457278,0,1,TANGENT_LOGLIK_BELOW_FIXED_GRID,1,1,88.1505156159949,1.17933020139765,51.9792826673588,FIXED_GRID_FALLBACK,0,17.9474014981486,17.9474014981486,0.257340113518913,0.447213595499958,0.147213595499958,0.242611602552744,0.18825928602022,0
TP1_K2_N1_L1_SP6_P2,WHITE,1,6,6,P2,fd2f571293d986ec30ac620050988d1b8749b0445aa405b23d9dfa6ffc2f8a15,[8.1677014607186464 10.021541564635756],0.038823120001689,2,1.94091524663496,[2190370.1935367784 4251322.9044102915],[-0.99060812962123923 0.1367316112985954],[1 0],172.141237481279,0.160369537781701,0.2,0.0396304622182987,0.8727942490168,1,-29.9303526780637,1,0,NOT_APPLICABLE,1,1,51.8069369025886,1.40959609004823,36.5134278476322,TANGENT_PROFILE_UPGRADE,0,172.141237481279,7.85876251872057,0.198152311091495,0.160369537781701,0.0396304622182986,0.0452823919612167,0.0466158932152423,0
