domain,method_id,nominal_snr_db,applicable,fit_status,total,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,80,0,80,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.328444035714286,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":80}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,160,MUSIC_FEWER_THAN_TWO_PEAKS,160,0,0,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.80937907142857,0.0296668504464286,0.0311500504464286,3123360,0,160,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":160}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,80,0,80,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.328444035714286,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":80}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,160,MUSIC_FEWER_THAN_TWO_PEAKS,160,0,0,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.03919237142857,0.0304160004464286,0.0357446004464286,3123360,0,160,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":160}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,6,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,80,0,80,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.328444035714286,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":80}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,6,160,MUSIC_FEWER_THAN_TWO_PEAKS,160,0,0,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.76889987142857,0.0296154504464286,0.0308450004464286,3123360,0,160,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":160}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,10,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,80,0,80,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.328444035714286,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":80}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,10,160,MUSIC_FEWER_THAN_TWO_PEAKS,160,0,0,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.81074977142857,0.0296050504464286,0.0317708004464286,3123360,0,160,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":160}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,14,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,80,0,80,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.328444035714286,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":80}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,14,160,MUSIC_FEWER_THAN_TWO_PEAKS,160,0,0,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.72834307142857,0.0293101004464286,0.0302382504464286,3123360,0,160,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":160}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,18,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,80,0,80,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.328444035714286,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":80}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,18,160,MUSIC_FEWER_THAN_TWO_PEAKS,160,0,0,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.77010477142857,0.0291209004464286,0.0305391504464286,3123360,0,160,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":160}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,22,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,80,0,80,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.328444035714286,NaN,NaN,0,0,0,"{""reason"":""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK"",""count"":80}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,22,159,MUSIC_FEWER_THAN_TWO_PEAKS,159,0,0,159,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.49824202098214,0.0281005504464286,0.0293285904464286,3103839,0,159,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":159}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,22,1,MUSIC_K2_VALID,1,1,0,0,1,1,0,0.0907043344884324,0.0907043344884324,0.18720713058623,0.18720713058623,18.434948822918,18.434948822918,0.2888196601125,0.2888196601125,0.0352528504464286,0.0352528504464286,0.0352528504464286,19521,0,1,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,-6,240,FULL4D_CML_VALID,240,240,0,0,1,0.145833333333333,0.00416666666666667,0.202355460270632,0.289226401823724,0.454661256099204,0.665603677611047,43.1088523994108,83.6284831872989,0.0991121596443477,0.408636425264708,595.652928,2.35000985,4.25536555,562447,1124894,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,0,240,FULL4D_CML_VALID,240,240,0,0,1,0.279166666666667,0.0125,0.180871436032345,0.286763161983517,0.388209906083112,0.647899871059164,41.0908483117138,80.8268332135087,0.105139376030406,0.761683806564805,677.3106592,2.8296312,4.75994845,681018,1362036,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,6,240,FULL4D_CML_VALID,240,240,0,0,1,0.383333333333333,0.0208333333333333,0.133443501179123,0.282317564491512,0.304116730173698,0.563596759770062,31.6497339746021,73.5119817972058,0.148990352219315,0.746810927386412,739.0410538,3.2722131,4.63447995,830585,1661170,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,10,240,FULL4D_CML_VALID,240,240,0,0,1,0.45,0.0416666666666667,0.112525117868507,0.271514142312174,0.255800671050939,0.51480309226848,24.3413913235855,66.6091241122557,0.148876210691071,0.663197527286294,852.810872,3.8547075,4.81177635,934609,1869218,0,"{""reason"":[],""count"":[]}"
