schema_version,lifecycle_setting,aggregation_level,scenario_aggregate,fixed_measurement_hash,trial_id,repeat_count,AB_count,BA_count,paired_median_sec,paired_p10_sec,paired_p90_sec,paired_min_sec,paired_max_sec,point_saving_sec,bootstrap_lower_sec,baseline_runtime_sec,runtime_reduction_pct,speedup_ratio,AB_point_sec,BA_point_sec,bootstrap_resample_count,bootstrap_order_statistic_index,final_measurement_candidate_alias_id,final_measurement_candidate_canonical_mode_id,recommended_runtime_mode_after_screening,timing_protocol_hash,frozen_model_id,frozen_model_hash,frozen_model_status,model_residual_status,final_recommendation_status,layer_set_retention_status,final_recommended_experiment_mode,performance_status
STAGE8_K2_TECS_RUNTIME_SUMMARY_V1,WARM,TRIAL,FROZEN_TRIAL,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,TP1_K2_N1_L1_SP6_P2,20,10,10,-0.0150484000000004,-0.1001759,0.148659700000001,-0.2067676,0.439767799999999,-0.0150484000000004,NaN,4.7718156,NaN,NaN,NaN,NaN,10000,500,CM1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,c3620c6535432e6790e1563fcb21721079744113c7aa269c09dfde2a00bef21f,NONE,5049c2326771955f3923441a9a2f0399d95cfdbb16f7d65ae64c45ad0d35507d,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,DO_NOT_RETAIN_NONPOSITIVE_LAYERS,NO_RUNTIME_CACHE_LAYER_RETAINED,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,MEASURED_CACHE_STACK_NONPOSITIVE
STAGE8_K2_TECS_RUNTIME_SUMMARY_V1,WARM,TRIAL,FROZEN_TRIAL,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L4_SM6_P4,20,10,10,-0.00678780000000012,-0.3122884,0.0785628000000003,-0.5075406,0.4699845,-0.00678780000000012,NaN,4.83573515,NaN,NaN,NaN,NaN,10000,500,CM1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,c3620c6535432e6790e1563fcb21721079744113c7aa269c09dfde2a00bef21f,NONE,5049c2326771955f3923441a9a2f0399d95cfdbb16f7d65ae64c45ad0d35507d,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,DO_NOT_RETAIN_NONPOSITIVE_LAYERS,NO_RUNTIME_CACHE_LAYER_RETAINED,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,MEASURED_CACHE_STACK_NONPOSITIVE
STAGE8_K2_TECS_RUNTIME_SUMMARY_V1,WARM,TRIAL,FROZEN_TRIAL,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L1_SP6_P1,20,10,10,0.0113511000000002,-0.1560079,0.0667061999999996,-0.2206479,1.1397546,0.0113511000000002,NaN,4.74998415,NaN,NaN,NaN,NaN,10000,500,CM1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,c3620c6535432e6790e1563fcb21721079744113c7aa269c09dfde2a00bef21f,NONE,5049c2326771955f3923441a9a2f0399d95cfdbb16f7d65ae64c45ad0d35507d,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,DO_NOT_RETAIN_NONPOSITIVE_LAYERS,NO_RUNTIME_CACHE_LAYER_RETAINED,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,MEASURED_CACHE_STACK_NONPOSITIVE
STAGE8_K2_TECS_RUNTIME_SUMMARY_V1,WARM,TRIAL,FROZEN_TRIAL,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,TP1_K2_N1_L1_SP0_P1,20,10,10,0.00856630000000003,-0.0659363000000006,0.0573711000000001,-0.0837463999999999,0.1179579,0.00856630000000003,NaN,4.795117,NaN,NaN,NaN,NaN,10000,500,CM1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,c3620c6535432e6790e1563fcb21721079744113c7aa269c09dfde2a00bef21f,NONE,5049c2326771955f3923441a9a2f0399d95cfdbb16f7d65ae64c45ad0d35507d,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,DO_NOT_RETAIN_NONPOSITIVE_LAYERS,NO_RUNTIME_CACHE_LAYER_RETAINED,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,MEASURED_CACHE_STACK_NONPOSITIVE
STAGE8_K2_TECS_RUNTIME_SUMMARY_V1,WARM,TRIAL,FROZEN_TRIAL,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,TP1_K2_N1_L4_SM6_P1,20,10,10,-0.00863870000000011,-0.1084118,0.0592743999999996,-0.676719,0.0631570999999997,-0.00863870000000011,NaN,4.8101185,NaN,NaN,NaN,NaN,10000,500,CM1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,c3620c6535432e6790e1563fcb21721079744113c7aa269c09dfde2a00bef21f,NONE,5049c2326771955f3923441a9a2f0399d95cfdbb16f7d65ae64c45ad0d35507d,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,DO_NOT_RETAIN_NONPOSITIVE_LAYERS,NO_RUNTIME_CACHE_LAYER_RETAINED,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,MEASURED_CACHE_STACK_NONPOSITIVE
STAGE8_K2_TECS_RUNTIME_SUMMARY_V1,WARM,TRIAL,FROZEN_TRIAL,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L1_SP6_P2,20,10,10,0.0584348000000001,-0.0177620999999997,0.234913300000001,-0.1073494,0.5232283,0.0584348000000001,NaN,4.7863709,NaN,NaN,NaN,NaN,10000,500,CM1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,c3620c6535432e6790e1563fcb21721079744113c7aa269c09dfde2a00bef21f,NONE,5049c2326771955f3923441a9a2f0399d95cfdbb16f7d65ae64c45ad0d35507d,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,DO_NOT_RETAIN_NONPOSITIVE_LAYERS,NO_RUNTIME_CACHE_LAYER_RETAINED,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,MEASURED_CACHE_STACK_NONPOSITIVE
STAGE8_K2_TECS_RUNTIME_SUMMARY_V1,WARM,TRIAL,FROZEN_TRIAL,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,TP1_K2_N1_L8_SM6_P1,20,10,10,-0.00840599999999991,-0.2150623,0.0446211999999999,-0.262845599999999,0.1105231,-0.00840599999999991,NaN,4.950186,NaN,NaN,NaN,NaN,10000,500,CM1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,c3620c6535432e6790e1563fcb21721079744113c7aa269c09dfde2a00bef21f,NONE,5049c2326771955f3923441a9a2f0399d95cfdbb16f7d65ae64c45ad0d35507d,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,DO_NOT_RETAIN_NONPOSITIVE_LAYERS,NO_RUNTIME_CACHE_LAYER_RETAINED,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,MEASURED_CACHE_STACK_NONPOSITIVE
STAGE8_K2_TECS_RUNTIME_SUMMARY_V1,WARM,TRIAL,FROZEN_TRIAL,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,TP1_K2_N1_L4_SP6_P2,20,10,10,0.00787005000000018,-0.0933792999999996,0.0612151000000001,-0.5858324,0.1176487,0.00787005000000018,NaN,4.77963,NaN,NaN,NaN,NaN,10000,500,CM1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,c3620c6535432e6790e1563fcb21721079744113c7aa269c09dfde2a00bef21f,NONE,5049c2326771955f3923441a9a2f0399d95cfdbb16f7d65ae64c45ad0d35507d,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,DO_NOT_RETAIN_NONPOSITIVE_LAYERS,NO_RUNTIME_CACHE_LAYER_RETAINED,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,MEASURED_CACHE_STACK_NONPOSITIVE
STAGE8_K2_TECS_RUNTIME_SUMMARY_V1,WARM,TRIAL,FROZEN_TRIAL,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L4_SP6_P1,20,10,10,-0.0129488499999999,-0.0939641999999994,0.0444655999999997,-0.263312099999999,0.0653612999999993,-0.0129488499999999,NaN,4.84317945,NaN,NaN,NaN,NaN,10000,500,CM1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,c3620c6535432e6790e1563fcb21721079744113c7aa269c09dfde2a00bef21f,NONE,5049c2326771955f3923441a9a2f0399d95cfdbb16f7d65ae64c45ad0d35507d,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,DO_NOT_RETAIN_NONPOSITIVE_LAYERS,NO_RUNTIME_CACHE_LAYER_RETAINED,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,MEASURED_CACHE_STACK_NONPOSITIVE
STAGE8_K2_TECS_RUNTIME_SUMMARY_V1,WARM,TRIAL,FROZEN_TRIAL,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,TP1_K2_N2_L4_SP0_P1,20,10,10,0.00570514999999983,-0.0810988999999998,0.1117899,-0.2980239,0.256774800000001,0.00570514999999983,NaN,4.8122958,NaN,NaN,NaN,NaN,10000,500,CM1,MODE_a84d605697beb2bfed21546a4dcb675adc0fd07c20f559acd021c7b768a2f766,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,c3620c6535432e6790e1563fcb21721079744113c7aa269c09dfde2a00bef21f,NONE,5049c2326771955f3923441a9a2f0399d95cfdbb16f7d65ae64c45ad0d35507d,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,NOT_AVAILABLE_NO_MATCHED_FROZEN_MODEL,DO_NOT_RETAIN_NONPOSITIVE_LAYERS,NO_RUNTIME_CACHE_LAYER_RETAINED,MODE_0187e60dfc3e7e887708d6e8d338ea19860a3650b4853538cbea02f397105a37,MEASURED_CACHE_STACK_NONPOSITIVE
