scenario_id,scenario_index,base_realization_index,domain,observation_domain,method_id,profile_id,L,replicate_id,nominal_snr_db,realized_snr_db,signal_average_power,noise_variance,signal_energy,noise_energy,observation_hash,applicable,fit_valid,fit_status,angles_hat_deg,runtime_sec,score_call_count,SVD_call_count,eig_call_count,best_permutation_id,d_max_deg,d_max_bw,tau_trial_bw,localization_success_01bw,resolution_success,joint_RMSE_deg,azimuth_RMSE_deg,elevation_RMSE_deg,center_error_deg,axis_error_deg,rho_true_deg,rho_hat_deg,rho_error_deg,rho_relative_error,separation_vector_error_deg
RTC_S01_B001,1,1,BEAMSPACE,BEAMSPACE,TANGENT_PROFILE_CORE,P1,1,1,-6,-5.90988069054468,54.2935506091912,216.146518123282,814.403259137869,3175.61300654684,b34990b863f643227cc2c3ac9e1d8b2ac8af14e667d733613ddc9ebf2d9259f5,1,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,"[[null,null],[null,null]]",0.2605453,112,225,2,NaN,NaN,NaN,0.0417369234893116,0,0,NaN,NaN,NaN,NaN,NaN,0.299999999999999,NaN,NaN,NaN,NaN
RTC_S01_B001,1,1,BEAMSPACE,BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,P1,1,1,-6,-5.90988069054468,54.2935506091912,216.146518123282,814.403259137869,3175.61300654684,b34990b863f643227cc2c3ac9e1d8b2ac8af14e667d733613ddc9ebf2d9259f5,1,1,FULL4D_CML_VALID,"[[8.2189750625328042,9.8],[8.2417294228409634,10]]",0.9075721,715,1430,0,1,0.338341981770458,0.133709265803719,0.0417369234893116,0,0,0.268449116467571,0.249054475100963,0.100183813884297,0.251121794575614,38.5092653326194,0.299999999999999,0.201290240481334,0.0987097595186655,0.329032531728886,0.18976588124679
RTC_S01_B001,1,1,BEAMSPACE,BEAMSPACE,BEAMSPACE_MUSIC_K2,P1,1,1,-6,-5.90988069054468,54.2935506091912,216.146518123282,814.403259137869,3175.61300654684,b34990b863f643227cc2c3ac9e1d8b2ac8af14e667d733613ddc9ebf2d9259f5,0,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,"[[null,null],[null,null]]",0.00410555044642857,0,0,0,NaN,NaN,NaN,0.0417369234893116,0,0,NaN,NaN,NaN,NaN,NaN,0.299999999999999,NaN,NaN,NaN,NaN
RTC_S01_B002,2,2,BEAMSPACE,BEAMSPACE,TANGENT_PROFILE_CORE,P1,1,2,-6,-4.95803058993943,64.9636464345714,258.62493470905,974.454696518572,3051.86073801627,34ba4b3df1688bd6609c87bb5a2fc0486b3b2719a0c80e617f48a82cb68ba09b,1,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,"[[null,null],[null,null]]",0.0703039,74,149,2,NaN,NaN,NaN,0.0417369234893116,0,0,NaN,NaN,NaN,NaN,NaN,0.299999999999999,NaN,NaN,NaN,NaN
RTC_S01_B002,2,2,BEAMSPACE,BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,P1,1,2,-6,-4.95803058993943,64.9636464345714,258.62493470905,974.454696518572,3051.86073801627,34ba4b3df1688bd6609c87bb5a2fc0486b3b2719a0c80e617f48a82cb68ba09b,1,1,FULL4D_CML_VALID,"[[8.45427375373561,9.8001743934922452],[8.5998142787590623,9.9812019684630329]]",3.0010422,2856,5712,0,1,0.568129843837466,0.227481854795698,0.0417369234893116,0,0,0.539513621669839,0.528094690695634,0.110412615340768,0.538260595659853,6.20180360782646,0.299999999999999,0.232277909676978,0.0677220903230213,0.225740301076738,0.0734977313175447
RTC_S01_B002,2,2,BEAMSPACE,BEAMSPACE,BEAMSPACE_MUSIC_K2,P1,1,2,-6,-4.95803058993943,64.9636464345714,258.62493470905,974.454696518572,3051.86073801627,34ba4b3df1688bd6609c87bb5a2fc0486b3b2719a0c80e617f48a82cb68ba09b,0,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,"[[null,null],[null,null]]",0.00410555044642857,0,0,0,NaN,NaN,NaN,0.0417369234893116,0,0,NaN,NaN,NaN,NaN,NaN,0.299999999999999,NaN,NaN,NaN,NaN
RTC_S01_B003,3,3,BEAMSPACE,BEAMSPACE,TANGENT_PROFILE_CORE,P1,1,3,-6,-4.76474158039784,274.305463328845,1092.02971873212,4114.58194993267,12325.3674234001,a6b9922a70fe7dd70fdabe1956a7ee48e9be7d8d3e2d8c4c1bd46600a92718d1,1,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,"[[null,null],[null,null]]",0.0848612,113,227,2,NaN,NaN,NaN,0.0417369234893116,0,0,NaN,NaN,NaN,NaN,NaN,0.299999999999999,NaN,NaN,NaN,NaN
RTC_S01_B003,3,3,BEAMSPACE,BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,P1,1,3,-6,-4.76474158039784,274.305463328845,1092.02971873212,4114.58194993267,12325.3674234001,a6b9922a70fe7dd70fdabe1956a7ee48e9be7d8d3e2d8c4c1bd46600a92718d1,1,1,FULL4D_CML_VALID,"[[7.7656547636575644,9.8],[7.566644780019284,10]]",0.6943165,682,1364,0,2,0.457773118907756,0.16209312941132,0.0417369234893116,0,0,0.404663083500379,0.392065574341374,0.100183813884297,0.348505344067399,89.857839038872,0.299999999999999,0.282143533662759,0.0178564663372406,0.0595215544574687,0.41132097590324
RTC_S01_B003,3,3,BEAMSPACE,BEAMSPACE,BEAMSPACE_MUSIC_K2,P1,1,3,-6,-4.76474158039784,274.305463328845,1092.02971873212,4114.58194993267,12325.3674234001,a6b9922a70fe7dd70fdabe1956a7ee48e9be7d8d3e2d8c4c1bd46600a92718d1,0,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,"[[null,null],[null,null]]",0.00410555044642857,0,0,0,NaN,NaN,NaN,0.0417369234893116,0,0,NaN,NaN,NaN,NaN,NaN,0.299999999999999,NaN,NaN,NaN,NaN
RTC_S01_B004,4,4,BEAMSPACE,BEAMSPACE,TANGENT_PROFILE_CORE,P1,1,4,-6,-5.77753170722136,106.535629821572,424.125981514007,1598.03444732358,6044.20669358062,e0c500f9428ab820fd87ec0403ea5da3d64523921ce4880dbecbd5c63ca671a9,1,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,"[[null,null],[null,null]]",0.0503727,74,149,2,NaN,NaN,NaN,0.0417369234893116,0,0,NaN,NaN,NaN,NaN,NaN,0.299999999999999,NaN,NaN,NaN,NaN
