summary_scope,method_id,white_beamspace_snr_target_db,profile_id,noise_profile_id,L,total_count,applicable_count,valid_count,structural_na_count,algorithmic_invalid_count,applicability_rate,valid_rate,comparability_class,joint_RMSE_deg_median,joint_RMSE_deg_p90,azimuth_RMSE_deg_median,azimuth_RMSE_deg_p90,elevation_RMSE_deg_median,elevation_RMSE_deg_p90,center_error_deg_median,center_error_deg_p90,axis_error_deg_median,axis_error_deg_p90,rho_error_deg_median,rho_error_deg_p90,rho_relative_error_median,rho_relative_error_p90,separation_vector_error_deg_median,separation_vector_error_deg_p90,runtime_sec_median,runtime_sec_p90,score_call_count_median,SVD_call_count_median,eig_call_count_median
SNR_OVERALL,CORE_LITE,22,ALL,ALL,NaN,240,240,240,0,0,1,1,ROBUSTLY_COMPARABLE,0.183811850990091,0.301039864469807,0.100183813884298,0.264644660940673,0.100183813884297,0.172069359202238,0.111803398874989,0.282842712474619,0,46.130993247402,0.182842712474618,0.400000000000001,0.885618083164142,3.47213595499959,0.206155281280883,0.426281278913979,0.1358532,0.16176324,150,346,NaN
SNR_OVERALL,CORE_PLUS,-6,ALL,ALL,NaN,240,240,240,0,0,1,1,ROBUSTLY_COMPARABLE,0.457680541787489,0.649480414578097,0.412310562561766,0.609302880347697,0.154110350074223,0.226384628453435,0.371646904237756,0.632290952672934,45,85.823659338837,0.147213595499958,0.799984471899923,0.993064680696556,3.47213595499958,0.211672059792455,0.809608284603739,0.9796951,1.84964335,1351.5,2752,NaN
SNR_OVERALL,CORE_PLUS,0,ALL,ALL,NaN,240,240,240,0,0,1,1,ROBUSTLY_COMPARABLE,0.387428535963975,0.64329847160267,0.348977940910331,0.608701369478228,0.145040678531837,0.215074133243017,0.22403851593698,0.629540685017577,44.2996734130805,88.9113531296775,0.14896476211574,1.0015960184966,0.993098414104944,5.32455532033678,0.230972991615957,1.04211372235684,1.3366567,2.07743438,1877.5,3802.5,NaN
SNR_OVERALL,CORE_PLUS,6,ALL,ALL,NaN,240,240,240,0,0,1,1,ROBUSTLY_COMPARABLE,0.356647119277473,0.574679832142283,0.331717947305242,0.555012054590584,0.139923408959735,0.201556443707463,0.206155281280883,0.509901951359278,33.8734903684965,79.3478991096676,0.198973926445314,0.9,0.994987086306255,5.34842530460219,0.25215038277247,0.989036403711703,1.3195273,2.49824179,1839.5,3724.5,NaN
SNR_OVERALL,CORE_PLUS,10,ALL,ALL,NaN,240,240,240,0,0,1,1,ROBUSTLY_COMPARABLE,0.273088933854391,0.514124120458504,0.223606797749979,0.500003679521052,0.127170719708086,0.201556443707463,0.169916320398173,0.42904156950468,26.565051177078,74.8901668260487,0.232051022083089,0.757459040668211,1.09374727252124,5.32455532033676,0.282842712474619,0.809956976513753,1.50144875,2.59375201,2081.5,4210,NaN
SNR_OVERALL,CORE_PLUS,14,ALL,ALL,NaN,240,240,240,0,0,1,1,ROBUSTLY_COMPARABLE,0.227688573739057,0.481721708134545,0.210187849763335,0.476968687071715,0.100183813884297,0.174850884920823,0.141421356237309,0.360641425812316,18.4349488229221,63.4349488229221,0.207758196033469,0.603140166808134,1.00000000000001,4.40384432679781,0.237748871935279,0.659946755171421,1.810723,2.62605287,2365,4778,NaN
SNR_OVERALL,CORE_PLUS,18,ALL,ALL,NaN,240,240,240,0,0,1,1,ROBUSTLY_COMPARABLE,0.211647847946854,0.394784284655365,0.192634016664423,0.365329986502065,0.0860271496684912,0.1796624220323,0.141421356237309,0.320931502537947,11.0930785566307,63.4349488229219,0.201490271418402,0.525974214598692,1.00000000000001,3.8074017006187,0.215786731595981,0.594587013324331,2.09411585,2.7055152,2900,5847.5,NaN
SNR_OVERALL,CORE_PLUS,22,ALL,ALL,NaN,240,240,240,0,0,1,1,ROBUSTLY_COMPARABLE,0.154802498728631,0.304127243414254,0.100366225374424,0.302993809932831,0.0812907409999712,0.16333686720436,0.111803398874989,0.282842712474618,4.10416829896845,45.0000000000001,0.183741179967005,0.393119839140446,0.984313933153494,3.47213595499959,0.206155281280883,0.411061241756404,2.33084945,2.66041041,3226.5,6503,NaN
SNR_OVERALL,ELEMENT_MUSIC_K2,-6,ALL,ALL,NaN,240,160,3,80,157,0.666666666666667,0.01875,APPLICABILITY_LIMITED,0.574456264653802,0.574456264653802,0.53851648071345,0.53851648071345,0.199999999999999,0.199999999999999,0.282842712474618,0.282842712474618,0,0,1,1,5.00000000000002,5.00000000000002,1,1,5.18221803910714,5.55390871857143,19521,0,1
SNR_OVERALL,ELEMENT_MUSIC_K2,0,ALL,ALL,NaN,240,160,0,80,160,0.666666666666667,0,NO_VALID_OUTPUT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.18259742883929,5.61456634857143,19521,0,1
