row_type,comparison_set,scope_type,scope_value,method_id,total_row_count,applicable_count,valid_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_separation_error_deg,p90_separation_error_deg,median_separation_vector_error_deg,p90_separation_vector_error_deg,median_runtime_sec,p90_runtime_sec,comparison_id,paired_count,wins,ties,losses
METHOD,NATURAL,PROFILE,P1,CORE_LITE,18,18,18,0.141681308325435,0.240852279970884,0.141421356237309,0.16607698869111,0,26.565051177078,0.0171572875253814,0.285716457074569,0.0171572875253814,0.302397094515811,0.1787745,0.2095153,,0,0,0,0
METHOD,NATURAL,PROFILE,P2,CORE_LITE,18,18,18,0.244090964428219,0.438617393793236,0.120710678118656,0.399999999999999,0,26.5650511770779,0.200000000000001,0.544777178564958,0.200000000000001,0.575979797464466,0.15844305,0.19293032,,0,0,0,0
METHOD,NATURAL,PROFILE,P3,CORE_LITE,18,18,18,0.145911750761105,0.282811959340942,0.0999999999999996,0.112426406871193,45.0000000000001,45.0000000000001,0.13284271247462,0.332755144334742,0.206155281280883,0.365619065290999,0.16710775,0.22637165,,0,0,0,0
METHOD,NATURAL,PROFILE,P4,CORE_LITE,18,18,18,0.253437852681951,0.379192294969721,0.111803398874989,0.335410196624968,18.4349488229221,77.0955358239546,0.347213595499958,0.402786176460073,0.353761482156572,0.476747199908594,0.16467935,0.19208367,,0,0,0,0
METHOD,NATURAL,SNR_DB,-6,CORE_LITE,24,24,24,0.252336707842558,0.427375732342903,0.141421356237309,0.38062305898749,18.434948822922,45.0000000000001,0.281449510224598,0.529051948951412,0.301499462173131,0.585856338378657,0.16639115,0.25008863,,0,0,0,0
METHOD,NATURAL,SNR_DB,+0,CORE_LITE,24,24,24,0.183811850990091,0.379192294969721,0.141421356237309,0.329655467442529,18.434948822922,45.0000000000001,0.200000000000001,0.432455532033676,0.206155281280883,0.447213595499958,0.17125685,0.19916034,,0,0,0,0
METHOD,NATURAL,SNR_DB,+6,CORE_LITE,24,24,24,0.141681308325435,0.231254894513804,0.100000000000001,0.141421356237309,18.4349488229221,63.5955358239546,0.13284271247462,0.347213595499958,0.206155281280883,0.353761482156572,0.16771385,0.20441662,,0,0,0,0
METHOD,NATURAL,L,1,CORE_LITE,24,24,24,0.240391292207941,0.379192294969721,0.126612377556149,0.335410196624968,18.4349488229221,45.0000000000001,0.297213595499958,0.432455532033676,0.320156211871643,0.447213595499958,0.1525994,0.186423,,0,0,0,0
METHOD,NATURAL,L,4,CORE_LITE,24,24,24,0.149897595666927,0.41284062250105,0.105901699437495,0.38062305898749,18.4349488229221,57.9044641760454,0.19142135623731,0.502455532033676,0.206155281280883,0.550314789543874,0.17014955,0.2056026,,0,0,0,0
METHOD,NATURAL,L,8,CORE_LITE,24,24,24,0.141681308325435,0.272357421658004,0.0999999999999996,0.204308696896618,0,45.0000000000001,0.182842712474618,0.347213595499958,0.200000000000001,0.353761482156571,0.1778365,0.21332034,,0,0,0,0
METHOD,NATURAL,NOISE,WHITE,CORE_LITE,36,36,36,0.188745860881769,0.379192294969721,0.141421356237309,0.316227766016838,18.4349488229221,45.0000000000001,0.200000000000001,0.432455532033676,0.244498996877751,0.459456326051394,0.16550565,0.19144705,,0,0,0,0
METHOD,NATURAL,NOISE,STAGE5_TOEPLITZ_CORRELATED,CORE_LITE,36,36,36,0.152006918482279,0.379192294969721,0.100000000000001,0.335410196624968,18.4349488229221,45.0000000000001,0.200000000000001,0.389834563766817,0.209316976878972,0.436747437206968,0.17323485,0.2123215,,0,0,0,0
METHOD,NATURAL,PROFILE,P1,CORE_PLUS,18,18,18,0.141681308325435,0.230142720119748,0.10593945278034,0.151717366302969,0.117601100763259,20.8354461279645,0.178696374433748,0.298716346578188,0.205023570839306,0.301186177156791,3.085233,3.84776247,,0,0,0,0
METHOD,NATURAL,PROFILE,P2,CORE_PLUS,18,18,18,0.213023045023052,0.421384663255134,0.129328578198579,0.376429956974267,0,18.4349488229219,0.199498387284621,0.501791677886947,0.199498387284621,0.522513037540957,2.10318775,2.81019284,,0,0,0,0
METHOD,NATURAL,PROFILE,P3,CORE_PLUS,18,18,18,0.103077640640442,0.201951618320455,0.00664012275176429,0.100900308672818,6.26186099434098,45.0000000000001,0.13284271247462,0.251131866354722,0.206155281280883,0.251806978838621,2.1278042,3.29805705,,0,0,0,0
METHOD,NATURAL,PROFILE,P4,CORE_PLUS,18,18,18,0.248308929014664,0.379192294969721,0.111803398874989,0.335410196624968,26.1142563966332,65.5534231069874,0.293614086978661,0.532455532033676,0.307159053711572,0.594501015562695,2.94894735,3.76520199,,0,0,0,0
METHOD,NATURAL,SNR_DB,-6,CORE_PLUS,24,24,24,0.237109204164924,0.405930857908505,0.141421356237309,0.349047477443323,1.33088724853589,57.9044641760454,0.190723948770672,0.561370944094245,0.205949895914254,0.593510321352263,2.33214465,3.41689453,,0,0,0,0
METHOD,NATURAL,SNR_DB,+0,CORE_PLUS,24,24,24,0.155383536916772,0.378768607673458,0.0807302868459843,0.329655467442529,4.78295272212821,38.6931464352032,0.225045308191445,0.435634738746275,0.228150120944503,0.444773736499574,2.39162505,3.60183729,,0,0,0,0
METHOD,NATURAL,SNR_DB,+6,CORE_PLUS,24,24,24,0.116657863643405,0.206224047668121,0.0639586270145651,0.144871329685353,4.05515498919127,45.0000000000001,0.140028153987289,0.298576544966689,0.202503447664395,0.298576616360965,2.91739685,3.72093615,,0,0,0,0
