row_type,scope_type,scope_value,method_id,trial_count,valid_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_separation_vector_error_deg,p90_separation_vector_error_deg,mean_score_calls,mean_SVD_calls,median_runtime_sec,p90_runtime_sec,comparison_id,paired_count,wins,ties,losses,decision
METHOD,PROFILE,P1,CORE_LITE,18,18,0.141681308325435,0.141681308325435,0.141421356237309,0.141421356237309,0,5.53048464687665,0.0171572875253814,0.265685424949237,0.0171572875253814,0.265685424949237,154.666666666667,355.111111111111,0.1690155,0.21821069,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P2,CORE_LITE,18,18,0.173205080756888,0.402388589282479,0.100000000000001,0.33369316876853,0,32.0955358239545,0.200000000000001,0.400000000000001,0.200000000000001,0.400000000000001,148.388888888889,346.611111111111,0.16608045,0.19333325,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P3,CORE_LITE,18,18,0.103077640640442,0.301039864469807,0.0999999999999996,0.282842712474618,35.782525588539,45.0000000000001,0.13284271247462,0.297213595499958,0.206155281280883,0.320156211871643,137.222222222222,322.111111111111,0.1418203,0.2051112,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P4,CORE_LITE,18,18,0.224968624298191,0.368130438369584,0.111803398874989,0.219308696896619,18.4349488229221,71.5650511770779,0.347213595499958,0.532455532033676,0.353761482156572,0.594501015562695,157.611111111111,361.388888888889,0.1688605,0.19497222,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P1,TANGENT_PROFILE_SAFE,18,18,0.0980031637599265,0.150765604015774,0.00944479281641355,0.0690062689098945,1.75233202850191,7.6418063316056,0.0986315512015677,0.298762451047308,0.122916265757685,0.298764056692271,378.277777777778,828.333333333333,4.7526439,5.10043815,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P2,TANGENT_PROFILE_SAFE,18,18,0.111420879696066,0.221167974364494,0.0621163631950679,0.168322411038606,8.79544453386212,34.6958131577187,0.160092825823576,0.318460981963617,0.18849239648184,0.320932395071059,378.166666666667,832.166666666667,4.82963635,5.13056254,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P3,TANGENT_PROFILE_SAFE,18,18,0.0750349434885263,0.101362398576705,0.0186428299818438,0.0699044783924764,2.17254803026372,11.9742928199989,0.145415569877759,0.148999999999999,0.148942113404092,0.14901384288129,386.777777777778,847.222222222222,4.80878185,5.22838328,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P4,TANGENT_PROFILE_SAFE,18,18,0.113064045082471,0.287226635156725,0.0486440681079904,0.11438711860733,16.9475192689399,66.3051206913542,0.099,0.512798016518638,0.0992247720461717,0.534433760073314,405.333333333333,882.833333333333,4.9375145,5.23823808,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P1,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,18,18,0.0660984440932298,0.147637546791677,0.0308995407604842,0.141421356237309,1.75233202850222,7.64180633156607,0.0473600196161592,0.272710960002488,0.0551372979531804,0.285085128731155,361.333333333333,861.444444444444,4.9336183,5.20481838,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P2,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,18,18,0.105770856521756,0.414144967116639,0.0930670767505487,0.403388749662986,7.54927365821488,26.0418708758345,0.121945758774037,0.196951691153777,0.137595314262148,0.196967187270824,352.5,847.555555555556,4.84122875,5.2381818,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P3,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,18,18,0.0851670287010307,0.225052918923805,0.0639101210327554,0.189566116941011,2.30124561190541,32.0955358239547,0.110833198893432,0.162000052106311,0.113978240748143,0.240355560458111,364.5,867.666666666667,4.9416495,5.21628142,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P4,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,18,18,0.19382870306074,0.347668630837298,0.111803398874989,0.206155281280884,18.4349488229221,66.3051206913541,0.139482936062184,0.532455532033675,0.200188124781388,0.559746199186532,375.277777777778,888.111111111111,4.89412465,5.25093154,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P1,FULL4D_BEAMSPACE_CML_MULTISTART,18,18,0.0805248058532004,0.162719372320086,0.0395184760851655,0.109431326131482,2.35032670644693,10.2863890889818,0.0421504720211015,0.251603103385125,0.0440219257033891,0.281658631168901,4630.05555555556,9260.11111111111,4.9890916,5.97888081,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P2,FULL4D_BEAMSPACE_CML_MULTISTART,18,18,0.22050698908079,0.482839136239986,0.133839483632792,0.429038755970137,2.69538682171874,16.2447280157688,0.198970091620999,0.442353186412754,0.198970717390876,0.443957995998197,3901.72222222222,7803.44444444444,4.6052063,5.57909151,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P3,FULL4D_BEAMSPACE_CML_MULTISTART,18,18,0.077413915420132,0.302683984101595,0.0506292872544253,0.247560202358662,1.88982749461011,22.2601468034083,0.101754749369302,0.216062756928431,0.103919455029848,0.237617912097212,3594.61111111111,7189.22222222222,3.67199535,5.91795399,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P4,FULL4D_BEAMSPACE_CML_MULTISTART,18,18,0.213695714251728,0.358638669253707,0.0948646904471774,0.230974120078777,5.73260446303135,63.2229888376934,0.278781038663704,0.491185227340871,0.281177474034379,0.526958135517358,4692.05555555556,9384.11111111111,4.6412369,5.68795002,,NaN,NaN,NaN,NaN,
